"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Toby Bedford",12772,"ME","WB","1",5,3,4,9,0,1,0,2,1,1,0,1,2,0,0,4,5,0,1,2,1,0,55
"Jake Bowey",12931,"ME","WB","1",8,2,1,9,1,0,0,0,2,1,1,1,0,0,0,3,6,0,0,2,0,0,73
"Angus Brayshaw",12322,"ME","WB","1",12,6,11,23,0,0,0,3,2,2,0,4,1,1,0,4,19,0,0,1,0,0,83
"Ben Brown",12289,"ME","WB","1",9,8,4,13,3,3,0,0,0,1,0,1,0,1,0,6,7,2,6,2,0,0,86
"Bayley Fritsch",12598,"ME","WB","1",8,4,1,9,2,2,0,1,0,2,0,2,0,1,0,3,5,1,3,0,0,1,81
"Max Gawn",11966,"ME","WB","1",11,4,3,14,1,0,34,1,2,5,4,9,2,6,0,12,3,2,0,3,0,0,97
"James Harmes",12379,"ME","WB","1",6,1,11,17,1,0,0,5,1,3,2,4,2,1,0,7,10,1,1,3,0,0,77
"Jayden Hunt",4729,"ME","WB","1",7,4,4,11,0,0,0,1,2,0,0,2,0,0,0,4,7,1,0,2,0,0,86
"Luke Jackson",12779,"ME","WB","1",3,5,9,12,1,1,10,4,1,1,1,1,0,1,0,8,5,2,1,1,0,0,86
"James Jordon",12860,"ME","WB","1",10,4,10,20,0,0,0,2,1,0,0,2,3,0,0,8,12,0,0,0,0,0,70
"Ed Langdon",12393,"ME","WB","1",12,3,10,22,1,0,0,0,3,5,1,3,0,1,0,11,12,0,0,2,1,1,100
"Steven May",11940,"ME","WB","1",13,7,1,14,0,0,0,0,5,1,0,3,0,1,0,3,6,2,0,12,3,0,97
"Tom McDonald",12009,"ME","WB","1",10,5,2,12,0,1,0,0,5,1,0,2,1,1,0,3,8,1,0,4,0,1,83
"Alex Neal-Bullen",12367,"ME","WB","1",10,3,8,18,0,1,0,7,0,6,0,1,1,0,0,8,10,1,0,2,2,3,88
"Clayton Oliver",12410,"ME","WB","1",19,6,13,32,0,0,0,5,3,4,6,12,0,7,1,15,20,0,0,2,1,0,81
"Christian Petracca",12430,"ME","WB","1",24,8,14,38,2,1,0,2,2,11,9,3,0,1,3,16,22,0,2,0,0,1,87
"Kysaiah Pickett",12771,"ME","WB","1",5,2,0,5,1,0,0,2,2,2,0,3,1,2,0,1,4,0,1,1,0,1,68
"Christian Salem",12272,"ME","WB","1",0,0,3,3,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,1,0,0,13
"Joel Smith",12493,"ME","WB","1",10,5,1,11,0,0,0,2,4,0,0,5,0,2,0,4,5,2,0,6,0,0,81
"Charlie Spargo",12622,"ME","WB","1",8,2,6,14,0,1,0,2,0,4,0,2,2,1,0,5,10,0,0,3,0,0,63
"Tom Sparrow",12693,"ME","WB","1",6,5,7,13,0,0,0,2,1,3,2,3,0,1,0,5,8,1,1,0,0,0,65
"Adam Tomlinson",12027,"ME","WB","1",6,4,2,8,0,0,0,1,1,0,0,2,0,1,0,3,6,0,0,4,0,0,100
"Jack Viney",12147,"ME","WB","1",11,5,12,23,1,0,0,4,2,3,4,4,2,0,0,12,11,0,1,1,0,0,79
"Marcus Bontempelli",12269,"WB","ME","1",13,7,4,17,1,0,0,7,3,4,1,3,1,1,0,6,12,1,0,3,0,2,72
"Zaine Cordy",12392,"WB","ME","1",1,0,2,3,0,0,1,3,0,0,1,2,1,2,0,1,1,0,0,4,0,1,84
"Hayden Crozier",12088,"WB","ME","1",14,12,5,19,1,0,0,3,3,2,0,3,0,2,0,3,18,1,0,2,1,0,75
"Bailey Dale",12354,"WB","ME","1",17,6,8,25,1,0,0,0,6,3,1,2,1,0,0,4,17,0,0,2,0,0,83
"Caleb Daniel",12373,"WB","ME","1",14,6,12,26,0,0,0,2,7,2,0,2,0,1,0,5,17,0,0,1,2,0,80
"Josh Dunkley",12408,"WB","ME","1",14,4,15,29,0,1,0,5,2,4,3,3,1,1,0,12,17,0,0,3,1,1,84
"Tim English",12537,"WB","ME","1",16,6,4,20,0,1,18,2,4,1,8,2,8,1,0,13,7,2,1,2,0,0,86
"Ryan Gardner",12732,"WB","ME","1",6,3,1,7,0,0,0,1,0,0,0,1,1,0,0,1,6,0,0,5,0,0,100
"Mitch Hannan",12492,"WB","ME","1",5,0,3,8,1,0,0,0,0,1,0,3,1,0,0,6,2,0,0,0,0,0,72
"Lachie Hunter",12203,"WB","ME","1",7,4,6,13,0,0,0,3,0,1,0,0,1,0,0,3,10,0,0,2,0,0,88
"Alex Keath",12560,"WB","ME","1",6,1,3,9,0,0,0,0,6,0,0,0,1,0,0,7,4,0,0,7,0,0,94
"Tom Liberatore",11898,"WB","ME","1",8,4,6,14,0,0,0,4,0,3,1,2,0,0,0,3,10,0,0,0,0,1,75
"Jack Macrae",12166,"WB","ME","1",19,5,20,39,0,0,0,3,2,6,11,4,2,2,2,15,24,0,0,1,0,0,84
"Aaron Naughton",12594,"WB","ME","1",12,6,2,14,4,1,1,0,0,3,1,1,4,0,0,7,7,1,3,1,0,0,89
"Ed Richards",12605,"WB","ME","1",6,2,8,14,0,0,0,4,2,1,1,0,1,0,0,4,9,0,0,5,0,0,81
"Josh Schache",12416,"WB","ME","1",3,2,3,6,0,0,0,0,0,2,0,2,1,1,0,3,4,0,1,2,0,0,82
"Bailey Smith",12692,"WB","ME","1",20,7,13,33,0,1,0,11,2,5,8,5,5,1,0,11,20,1,0,0,0,1,79
"Roarke Smith",12390,"WB","ME","1",7,5,9,16,0,0,0,1,1,2,0,2,0,0,0,4,12,0,0,1,0,0,74
"Adam Treloar",12054,"WB","ME","1",16,5,10,26,2,0,0,0,0,4,3,4,0,0,0,4,22,0,1,0,0,1,81
"Jamarra Ugle-Hagan",12923,"WB","ME","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laitham Vandermeer",12776,"WB","ME","1",6,2,11,17,0,0,0,2,0,3,1,6,0,0,0,7,9,0,0,0,0,1,74
"Cody Weightman",12800,"WB","ME","1",3,1,2,5,1,0,0,1,0,1,0,2,1,1,0,4,2,0,0,1,0,0,76
"Bailey Williams",12441,"WB","ME","1",11,4,5,16,0,0,0,1,5,3,0,10,0,4,0,3,13,0,0,1,0,0,87
"Jake Aarts",12790,"RI","CA","1",6,2,8,14,1,1,0,3,2,0,1,4,3,3,0,8,7,0,0,1,0,0,81
"Liam Baker",12661,"RI","CA","1",6,3,8,14,1,0,0,2,1,1,0,5,1,3,0,6,9,0,1,1,0,0,82
"Noah Balta",12686,"RI","CA","1",8,5,2,10,2,0,0,1,1,1,0,5,1,0,0,4,6,1,2,5,0,0,86
"Shai Bolton",12535,"RI","CA","1",9,3,7,16,3,2,0,2,0,2,2,2,0,0,0,7,9,1,1,0,1,0,80
"Nathan Broad",12456,"RI","CA","1",14,7,4,18,0,0,0,1,6,1,0,3,0,1,0,0,18,0,0,5,1,0,86
"Jason Castagna",12431,"RI","CA","1",10,9,6,16,0,1,0,0,2,2,0,1,0,0,0,6,11,2,2,0,0,2,89
"Trent Cotchin",11666,"RI","CA","1",6,1,8,14,0,0,0,2,1,2,3,2,0,0,0,9,7,0,0,2,0,1,76
"Shane Edwards",11557,"RI","CA","1",5,2,9,14,0,1,0,3,0,2,1,3,0,1,0,5,8,0,1,1,0,2,83
"Josh Gibcus",12947,"RI","CA","1",3,5,7,10,0,0,0,0,3,0,0,2,0,1,0,3,8,0,0,6,0,0,73
"Jack Graham",12576,"RI","CA","1",8,4,6,14,0,0,0,3,2,3,1,7,2,3,0,6,9,0,0,0,0,0,64
"Dylan Grimes",11879,"RI","CA","1",7,3,7,14,0,0,0,1,3,0,1,4,1,2,0,5,6,1,0,2,0,0,83
"Tom Lynch",11948,"RI","CA","1",4,3,1,5,2,1,0,2,0,1,0,4,0,2,0,4,1,2,2,0,0,0,92
"Dustin Martin",11794,"RI","CA","1",18,3,3,21,1,0,0,0,1,7,3,3,2,2,0,11,11,0,0,2,1,0,87
"Toby Nankervis",12374,"RI","CA","1",3,1,10,13,0,0,22,1,2,0,4,5,1,2,0,6,6,0,0,1,0,0,78
"Marlion Pickett",12761,"RI","CA","1",11,7,7,18,0,0,0,5,3,3,0,4,2,2,0,6,13,1,0,0,2,0,87
