"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Joel Bowden",890,"RI","CW","1",11,1,8,19,2,0,0,3,2,5,4,3,1,1,0,8,11,0,0,3,1,0,0
"Leon Cameron",425,"RI","CW","1",9,3,7,16,0,1,0,0,1,4,2,0,1,0,0,10,6,0,1,1,0,0,0
"Wayne Campbell",869,"RI","CW","1",16,4,3,19,0,0,0,2,1,7,5,0,3,0,0,7,12,0,0,2,0,0,0
"Aaron Fiora",911,"RI","CW","1",8,2,2,10,0,0,0,2,0,0,1,2,0,0,0,4,6,1,0,4,1,0,0
"Darren Gaspar",886,"RI","CW","1",6,4,4,10,1,0,0,0,1,1,2,1,0,0,0,4,6,1,1,1,0,0,0
"Ray Hall",904,"RI","CW","1",3,2,1,4,0,0,0,1,0,2,0,2,0,1,0,1,3,0,0,3,0,0,0
"Rory Hilton",902,"RI","CW","1",7,1,0,7,0,1,0,1,0,3,1,1,0,0,0,1,6,0,0,4,2,0,0
"Ben Holland",913,"RI","CW","1",4,5,3,7,0,0,0,3,0,1,0,0,0,0,0,1,6,0,0,5,0,0,0
"Adam Houlihan",593,"RI","CW","1",14,4,4,18,0,0,0,2,1,6,1,0,2,0,0,5,15,0,0,2,1,0,0
"Andrew Kellaway",899,"RI","CW","1",11,7,3,14,1,0,0,2,3,1,1,1,1,0,0,4,10,1,1,0,0,0,0
"Clinton King",269,"RI","CW","1",9,3,5,14,1,0,0,0,1,1,5,0,2,0,0,5,9,0,1,0,0,0,0
"Matthew Knights",865,"RI","CW","1",9,2,8,17,0,0,0,0,4,4,3,3,1,1,0,5,12,0,0,3,0,0,0
"Andrew Krakouer",915,"RI","CW","1",5,2,2,7,2,1,0,3,0,1,1,1,1,0,0,3,4,0,2,4,0,0,0
"Brad Ottens",897,"RI","CW","1",11,9,2,13,4,1,18,2,1,1,1,2,1,2,0,10,4,5,4,3,0,0,0
"Matthew Richardson",870,"RI","CW","1",13,9,3,16,6,1,1,0,0,2,0,2,2,2,3,7,9,4,6,0,0,0,0
"David Rodan",1104,"RI","CW","1",2,1,1,3,0,0,0,2,1,0,0,1,0,1,0,1,2,0,0,2,1,0,0
"Matthew Rogers",864,"RI","CW","1",9,5,5,14,1,2,0,1,1,1,0,2,1,1,0,4,10,0,1,0,0,0,0
"Greg Stafford",994,"RI","CW","1",8,6,3,11,1,0,15,1,0,2,0,1,0,1,0,3,8,0,1,1,0,0,0
"Steven Sziller",914,"RI","CW","1",3,2,2,5,1,0,0,2,0,0,1,0,0,0,0,3,3,0,1,2,0,0,0
"Greg Tivendale",901,"RI","CW","1",13,4,1,14,3,1,0,1,2,5,1,2,0,1,2,5,7,0,0,3,5,0,0
"Jason Torney",883,"RI","CW","1",12,7,7,19,0,1,0,0,3,0,3,0,1,0,0,9,10,3,1,5,0,0,0
"Ty Zantuck",909,"RI","CW","1",3,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0
"Rupert Betheras",278,"CW","RI","1",9,6,7,16,0,0,0,2,2,4,1,1,0,0,0,3,11,0,0,4,1,0,0
"Nathan Buckley",217,"CW","RI","1",24,8,8,32,0,0,2,4,3,7,8,4,2,0,1,9,22,1,0,4,1,0,0
"Scott Burns",211,"CW","RI","1",12,8,7,19,0,0,0,1,1,4,2,1,2,1,0,7,12,2,0,1,0,0,0
"James Clement",299,"CW","RI","1",7,1,8,15,0,0,0,0,3,1,0,2,0,1,0,6,8,0,0,3,0,0,0
"Richard Cole",1103,"CW","RI","1",3,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
"Scott Cummings",315,"CW","RI","1",6,5,0,6,5,1,0,0,0,0,0,2,1,1,0,1,5,0,5,1,0,0,0
"Leon Davis",284,"CW","RI","1",9,1,2,11,1,0,0,0,0,3,1,3,0,0,0,6,5,0,0,4,4,0,0
"Nick Davis",272,"CW","RI","1",4,3,2,6,1,1,1,0,0,3,0,1,0,0,0,3,3,0,1,0,0,0,0
"Andrew Dimattina",290,"CW","RI","1",3,1,0,3,0,0,0,1,1,0,0,3,1,2,0,1,2,0,0,4,0,0,0
"Josh Fraser",285,"CW","RI","1",2,1,4,6,1,0,6,3,0,1,3,1,1,1,0,5,2,0,0,0,0,0,0
"Glenn Freeborn",273,"CW","RI","1",2,1,10,12,0,0,0,1,2,0,1,3,0,0,0,5,6,0,0,2,3,0,0
"Brodie Holland",298,"CW","RI","1",9,5,3,12,3,2,0,1,1,3,2,1,1,0,0,5,6,1,2,1,0,0,0
"Ben Johnson",286,"CW","RI","1",6,2,4,10,0,0,0,3,2,3,0,3,0,2,0,4,6,0,0,3,1,0,0
"Paul Licuria",275,"CW","RI","1",8,1,12,20,0,0,0,6,2,2,5,4,0,4,0,4,16,0,0,1,2,0,0
"Tarkyn Lockyer",279,"CW","RI","1",5,1,5,10,0,0,0,2,1,2,3,2,0,1,0,6,3,0,0,3,0,0,0
"Simon Prestigiacomo",249,"CW","RI","1",3,1,3,6,0,0,0,2,1,0,0,0,2,0,0,3,4,1,0,6,0,0,0
"Mark Richardson",221,"CW","RI","1",6,3,1,7,3,0,1,2,1,2,0,2,0,2,0,2,4,1,2,1,0,0,0
"Chad Rintoul",48,"CW","RI","1",12,5,4,16,1,1,0,1,0,2,1,1,0,0,0,2,14,1,2,1,0,0,0
"Anthony Rocca",251,"CW","RI","1",7,7,7,14,2,1,15,2,0,4,1,2,0,0,0,9,5,4,1,3,0,0,0
"Heath Scotland",280,"CW","RI","1",14,6,6,20,0,0,1,0,2,2,5,2,0,1,0,8,12,0,0,0,0,0,0
"Chris Tarrant",264,"CW","RI","1",10,4,5,15,1,1,1,4,0,2,3,1,1,0,0,10,5,1,1,1,0,0,0
