"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Taylor Adams",12066,"CW","FR","1",6,2,9,15,0,0,0,4,0,2,0,1,0,0,0,8,7,0,1,1,2,0,79
"Luke Ball",1430,"CW","FR","1",15,7,10,25,0,1,1,9,0,6,7,5,3,1,0,10,16,0,2,7,0,1,74
"Dayne Beams",11728,"CW","FR","1",16,3,15,31,0,1,0,9,2,6,7,4,1,1,0,13,18,0,1,2,0,1,87
"Nathan Brown",11627,"CW","FR","1",4,1,5,9,0,0,0,0,3,0,0,1,0,1,0,5,5,1,0,5,0,0,83
"Martin Clarke",11585,"CW","FR","1",7,4,6,13,0,0,0,0,1,0,1,2,0,1,0,4,8,0,0,1,0,0,59
"Travis Cloke",4086,"CW","FR","1",4,4,3,7,0,0,0,2,0,4,0,2,0,1,0,1,6,0,0,2,0,1,97
"Jamie Elliott",12083,"CW","FR","1",10,2,3,13,1,0,0,2,2,2,1,4,1,1,0,6,6,1,1,2,1,0,90
"Jack Frost",12145,"CW","FR","1",6,3,5,11,0,0,0,4,1,0,0,0,0,0,0,6,5,1,0,7,0,0,88
"Tyson Goldsack",11568,"CW","FR","1",2,0,6,8,0,0,0,4,0,1,0,0,0,0,0,7,1,0,0,0,2,0,76
"Brodie Grundy",12217,"CW","FR","1",4,2,10,14,0,1,13,9,0,2,3,2,0,0,0,7,9,0,0,2,0,0,78
"Ben Kennedy",12178,"CW","FR","1",1,0,7,8,0,0,0,2,0,0,2,1,0,1,0,7,1,0,0,0,0,0,35
"Tom Langdon",12233,"CW","FR","1",20,6,4,24,0,0,0,5,11,2,2,5,2,1,0,9,13,1,0,3,0,0,80
"Heritier Lumumba",4134,"CW","FR","1",11,4,12,23,0,0,0,4,4,5,3,2,2,1,0,7,17,0,0,2,2,0,91
"Brent Macaffer",11743,"CW","FR","1",11,8,5,16,1,0,0,5,0,1,0,2,0,1,0,4,12,1,0,0,0,0,91
"Nick Maxwell",3980,"CW","FR","1",7,5,8,15,0,0,0,2,2,1,2,3,0,2,0,5,7,0,0,3,0,0,87
"Scott Pendlebury",4182,"CW","FR","1",16,3,10,26,1,0,0,9,2,1,5,4,3,0,0,13,11,1,1,3,0,0,85
"Steele Sidebottom",11751,"CW","FR","1",15,3,7,22,0,3,0,3,2,1,1,1,1,0,0,8,12,0,1,1,1,0,88
"Ben Sinclair",11996,"CW","FR","1",9,5,11,20,0,1,0,1,2,2,0,1,0,0,0,4,15,0,0,2,0,0,84
