"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Justin Blumfield",341,"RI","CW","1",7,1,4,11,1,0,0,0,1,4,0,1,1,1,0,6,6,0,0,0,0,0,90
"Joel Bowden",890,"RI","CW","1",16,3,8,24,0,1,0,4,4,4,4,4,1,2,0,10,13,0,0,3,3,0,100
"Leon Cameron",425,"RI","CW","1",7,4,0,7,0,0,0,0,0,0,1,1,0,1,0,1,6,0,0,0,1,0,81
"Wayne Campbell",869,"RI","CW","1",21,9,9,30,1,0,0,2,3,8,5,1,4,0,1,9,21,1,1,2,0,1,92
"Mark Coughlan",916,"RI","CW","1",10,2,11,21,1,1,1,4,1,3,5,3,4,1,0,14,7,1,0,3,4,0,91
"Aaron Fiora",911,"RI","CW","1",7,6,7,14,0,0,0,1,1,5,0,1,2,0,0,4,11,0,0,1,2,0,100
"Darren Gaspar",886,"RI","CW","1",4,3,5,9,1,0,0,1,1,1,0,2,1,1,0,4,5,0,1,5,0,0,100
"Ray Hall",904,"RI","CW","1",10,6,4,14,2,2,14,4,0,5,1,2,2,1,0,7,9,1,2,2,0,1,96
"Rory Hilton",902,"RI","CW","1",10,4,2,12,1,2,0,2,1,3,1,2,1,0,0,4,8,2,1,1,2,0,83
"Adam Houlihan",593,"RI","CW","1",12,4,3,15,0,0,0,3,5,0,1,3,1,0,0,5,10,0,2,2,0,0,51
"Chris Hyde",1194,"RI","CW","1",4,1,2,6,0,0,0,2,0,1,0,0,1,0,0,1,5,0,0,3,0,0,49
"Kane Johnson",43,"RI","CW","1",7,3,9,16,0,0,0,4,2,2,1,2,1,0,0,7,8,1,0,1,0,0,95
"Andrew Kellaway",899,"RI","CW","1",9,5,7,16,0,0,0,2,0,1,1,1,2,1,0,7,7,1,0,2,0,0,100
"Clinton King",269,"RI","CW","1",2,1,5,7,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,43
"Chris Newman",1150,"RI","CW","1",5,2,3,8,0,0,0,2,2,0,0,1,0,1,0,3,5,0,0,7,0,0,87
"Matthew Richardson",870,"RI","CW","1",13,9,3,16,1,6,0,0,0,2,0,5,2,2,0,9,9,4,6,0,0,1,97
"David Rodan",1104,"RI","CW","1",5,3,4,9,0,0,0,1,3,1,1,1,0,0,0,5,4,1,0,1,2,0,100
"Matthew Rogers",864,"RI","CW","1",11,4,2,13,0,0,0,1,0,1,0,4,0,2,0,1,13,0,0,1,0,0,81
"Greg Stafford",994,"RI","CW","1",8,6,7,15,0,1,17,4,2,3,5,0,2,0,0,8,6,1,1,0,0,1,85
"Greg Tivendale",901,"RI","CW","1",10,3,2,12,0,1,0,3,2,3,2,5,1,2,0,5,7,0,0,1,0,0,93
"Royce Vardy",908,"RI","CW","1",0,0,2,2,0,0,0,1,1,0,2,1,2,1,0,3,0,0,0,1,0,0,18
"Ty Zantuck",909,"RI","CW","1",7,4,8,15,0,1,0,1,1,2,1,0,1,0,0,7,8,0,0,2,0,0,68
"Rupert Betheras",278,"CW","RI","1",2,2,3,5,1,0,0,1,0,0,0,0,1,0,0,3,3,0,1,2,0,0,46
"Nathan Buckley",217,"CW","RI","1",25,5,6,31,1,1,0,7,6,8,7,2,2,0,2,11,17,1,0,2,2,2,100
"James Clement",299,"CW","RI","1",6,4,6,12,0,0,0,0,2,1,1,1,0,1,0,3,10,0,0,3,2,0,92
"Leon Davis",284,"CW","RI","1",8,2,3,11,2,0,1,1,1,3,2,0,0,0,0,5,6,0,0,1,0,1,100
"Alan Didak",301,"CW","RI","1",12,4,3,15,2,4,1,1,0,3,1,2,1,1,0,6,9,0,2,0,2,1,91
"Brodie Holland",298,"CW","RI","1",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,28
"Ben Johnson",286,"CW","RI","1",13,7,6,19,0,0,0,2,2,3,1,0,0,0,0,3,17,0,0,0,0,2,95
"Tarkyn Lockyer",279,"CW","RI","1",9,5,7,16,0,1,0,3,0,2,0,0,2,0,0,7,9,1,2,3,0,1,93
"Matthew Lokan",1419,"CW","RI","1",5,5,5,10,0,0,2,2,3,1,1,2,0,2,0,3,7,0,0,1,5,1,100
"Ryan Lonie",294,"CW","RI","1",5,1,4,9,0,0,1,0,1,0,1,1,0,0,0,0,8,0,0,2,2,0,38
"Mark McGough",1128,"CW","RI","1",13,5,4,17,1,1,0,3,3,2,6,2,1,0,0,6,10,0,0,1,0,1,79
"Steven McKee",289,"CW","RI","1",11,5,9,20,0,0,8,2,1,2,7,3,1,3,0,15,6,2,1,1,0,1,86
"Jarrod Molloy",295,"CW","RI","1",6,3,2,8,2,0,2,5,0,1,2,3,0,3,0,4,4,1,0,2,0,0,66
"Shane OBree",287,"CW","RI","1",12,5,3,15,2,1,0,4,0,3,1,1,1,1,0,5,10,0,0,0,0,0,75
"Anthony Rocca",251,"CW","RI","1",6,3,2,8,0,1,3,3,0,2,1,9,2,7,0,6,2,1,1,5,0,0,100
"Heath Scotland",280,"CW","RI","1",2,2,5,7,0,0,0,0,1,0,0,2,0,2,0,2,5,0,0,0,0,0,34
"Rhyce Shaw",291,"CW","RI","1",6,5,3,9,0,0,0,1,1,2,0,1,0,1,0,1,8,0,0,1,2,0,97
"Chris Tarrant",264,"CW","RI","1",6,5,0,6,0,1,0,1,0,2,0,1,1,1,0,1,5,0,4,3,1,0,90
"Shane Wakelin",297,"CW","RI","1",10,5,3,13,0,0,0,1,8,0,0,1,0,1,0,2,8,0,0,5,2,0,100
"Tristen Walker",1420,"CW","RI","1",3,2,7,10,0,0,0,3,3,0,1,1,3,1,0,7,3,0,0,7,0,0,100
"Andrew Williams",1063,"CW","RI","1",16,10,7,23,1,1,0,1,2,6,1,0,1,0,0,7,16,1,1,3,0,0,92
"Shane Woewodin",725,"CW","RI","1",14,8,10,24,1,1,1,4,3,5,1,6,0,4,3,5,18,0,0,0,0,1,96
"Matthew Bishop",738,"PA","WC","1",9,5,2,11,0,0,0,3,3,0,0,1,0,0,0,2,7,0,0,0,2,0,100
"Peter Burgoyne",824,"PA","WC","1",14,9,8,22,2,2,0,2,3,4,5,6,0,3,0,10,12,3,3,1,1,0,100
"Shaun Burgoyne",1126,"PA","WC","1",5,1,4,9,1,1,0,3,1,0,0,1,0,1,0,4,5,0,0,1,2,1,95
"Domenic Cassisi",1193,"PA","WC","1",5,2,3,8,0,0,0,1,2,1,2,3,1,3,0,4,4,1,0,0,0,0,55
