"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Jake Aarts",12790,"RI","CA","1",7,2,5,12,2,0,0,2,0,3,0,4,0,3,0,4,8,0,0,1,1,0,78
"David Astbury",11828,"RI","CA","1",4,4,5,9,0,0,2,1,2,1,0,2,2,1,0,4,6,0,0,4,0,1,88
"Liam Baker",12661,"RI","CA","1",4,0,11,15,0,0,0,0,1,4,0,6,0,3,0,6,9,0,0,3,1,1,78
"Noah Balta",12686,"RI","CA","1",10,4,1,11,0,1,3,1,0,3,2,2,0,1,0,6,6,2,0,6,0,0,84
"Shai Bolton",12535,"RI","CA","1",13,2,12,25,1,1,0,1,0,8,9,4,0,1,0,14,10,0,0,0,2,1,79
"Nathan Broad",12456,"RI","CA","1",4,3,5,9,0,0,0,0,1,0,0,1,0,1,0,5,5,0,0,6,0,0,70
"Josh Caddy",12010,"RI","CA","1",12,4,5,17,1,1,0,2,2,3,0,3,0,0,0,4,13,0,0,2,0,0,79
"Jason Castagna",12431,"RI","CA","1",8,4,5,13,2,2,0,0,0,2,0,0,0,0,0,2,9,0,2,3,2,0,84
"Shane Edwards",11557,"RI","CA","1",11,2,16,27,0,0,0,3,1,3,3,1,1,0,0,12,13,0,0,3,0,1,81
"Jack Graham",12576,"RI","CA","1",22,5,11,33,0,1,0,3,1,11,5,4,2,1,1,8,26,0,0,0,0,1,76
"Dylan Grimes",11879,"RI","CA","1",4,2,6,10,0,0,0,2,0,1,0,2,0,1,0,6,2,0,0,2,0,0,92
"Kane Lambert",12333,"RI","CA","1",13,6,15,28,0,1,0,1,1,4,1,6,0,2,0,6,20,0,2,0,0,1,85
"Tom Lynch",11948,"RI","CA","1",6,4,5,11,1,1,1,0,0,2,0,4,0,2,0,4,7,0,2,2,0,0,92
"Dustin Martin",11794,"RI","CA","1",19,7,12,31,2,2,0,4,0,8,5,2,2,1,3,14,16,2,5,2,0,4,89
"Kamdyn McIntosh",12317,"RI","CA","1",8,3,5,13,0,0,0,1,3,3,2,4,3,1,0,10,5,0,0,4,4,0,88
"Toby Nankervis",12374,"RI","CA","1",4,0,8,12,0,0,27,1,0,1,3,2,0,1,0,6,5,0,0,7,0,0,75
"Marlion Pickett",12761,"RI","CA","1",7,5,6,13,0,0,0,3,3,4,0,6,0,3,0,8,7,0,0,5,0,0,79
"Dion Prestia",11917,"RI","CA","1",12,3,13,25,0,1,0,4,4,1,9,5,2,1,0,12,13,0,0,1,1,0,74
"Jack Riewoldt",11576,"RI","CA","1",9,4,1,10,4,2,0,5,0,3,0,3,1,1,0,6,4,1,3,0,0,0,90
"Daniel Rioli",12403,"RI","CA","1",6,4,4,10,2,1,0,1,0,1,0,3,1,0,0,2,9,0,2,2,0,0,72
"Jack Ross",12712,"RI","CA","1",6,2,2,8,0,0,0,4,0,5,1,1,1,0,0,2,7,0,0,0,0,1,23
"Jayden Short",12418,"RI","CA","1",21,5,2,23,0,0,0,3,9,4,0,2,0,0,0,2,12,1,0,2,0,0,88
"Nick Vlastuin",12174,"RI","CA","1",6,2,5,11,0,0,0,1,2,0,0,2,0,1,0,3,4,1,0,2,0,0,56
"Levi Casboult",12114,"CA","RI","1",7,3,1,8,1,0,1,1,0,0,1,3,1,2,0,5,5,2,1,1,0,0,85
"Patrick Cripps",12261,"CA","RI","1",8,2,20,28,0,1,0,3,2,3,5,4,3,1,0,13,15,0,0,2,0,1,91
"Ed Curnow",11883,"CA","RI","1",16,8,13,29,0,0,0,1,4,1,7,5,0,1,0,14,14,1,0,2,0,1,75
"Sam Docherty",12170,"CA","RI","1",23,5,1,24,0,0,0,1,11,1,1,3,1,0,0,5,13,0,0,2,1,0,91
"Paddy Dow",12582,"CA","RI","1",10,0,8,18,1,1,0,3,0,5,1,5,2,1,0,8,10,0,0,1,0,1,69
"Zac Fisher",12520,"CA","RI","1",10,3,10,20,0,2,0,1,0,4,1,4,0,0,0,10,13,2,1,1,0,1,79
"Lachie Fogarty",12596,"CA","RI","1",12,4,8,20,0,1,0,2,0,3,0,2,2,1,0,8,12,0,0,2,0,0,75
"Michael Gibbons",12685,"CA","RI","1",8,7,7,15,2,0,0,1,1,2,1,1,0,0,0,3,12,0,0,1,0,1,69
"Liam Jones",11866,"CA","RI","1",9,2,1,10,0,0,0,0,5,0,1,4,2,2,0,6,4,0,0,7,0,0,98
"Oscar McDonald",12394,"CA","RI","1",8,3,1,9,2,1,0,2,0,2,0,2,3,1,0,4,5,0,1,2,0,0,49
"Harry McKay",12566,"CA","RI","1",7,6,3,10,2,3,0,0,0,1,0,1,0,0,0,6,4,3,5,0,0,1,90
"Marc Murphy",4148,"CA","RI","1",8,4,3,11,0,0,0,3,0,3,0,1,0,0,0,2,9,0,0,0,0,1,76
"Jack Newnes",12050,"CA","RI","1",14,10,13,27,0,0,0,1,3,2,2,2,2,0,0,12,15,0,0,1,0,0,85
