"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Winston Abraham",485,"NM","ES","1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Glenn Archer",777,"NM","ES","1",10,6,5,15,1,0,0,2,0,2,3,2,0,1,0,8,7,1,2,3,0,0,0
"John Blakey",762,"NM","ES","1",15,8,3,18,0,0,0,2,7,0,0,1,1,0,0,3,14,0,0,1,0,0,0
"Matthew Burton",489,"NM","ES","1",5,7,8,13,0,0,19,0,0,1,1,2,0,0,0,6,5,3,0,1,0,0,0
"Shane Clayton",408,"NM","ES","1",7,7,3,10,0,1,0,3,1,1,1,0,0,2,0,3,7,0,1,1,0,0,0
"Stuart Cochrane",795,"NM","ES","1",9,5,1,10,1,0,0,0,2,2,0,1,0,0,0,2,8,0,0,1,0,0,0
"Leigh Colbert",557,"NM","ES","1",9,2,4,13,0,0,1,1,8,1,1,1,0,1,0,6,6,2,0,1,0,0,0
"Shannon Grant",794,"NM","ES","1",23,5,10,33,1,0,0,1,3,1,4,3,2,3,0,15,19,0,0,1,0,0,0
"Daniel Harris",805,"NM","ES","1",11,3,4,15,1,0,0,6,0,0,4,2,3,2,0,15,3,1,0,4,0,0,0
"Troy Makepeace",802,"NM","ES","1",8,3,4,12,1,0,0,1,1,1,1,0,0,0,0,2,9,0,1,2,0,0,0
"Jason McCartney",11,"NM","ES","1",8,1,2,10,0,0,0,0,4,0,1,1,2,1,0,5,5,0,0,2,0,0,0
"Corey McKernan",775,"NM","ES","1",12,6,0,12,2,1,4,1,1,4,1,2,0,2,0,5,7,1,1,1,0,0,0
"Shannon Motlop",800,"NM","ES","1",5,0,4,9,1,2,0,3,0,2,2,1,0,0,0,6,2,0,0,0,0,0,0
"Drew Petrie",806,"NM","ES","1",5,1,0,5,0,0,3,0,0,2,0,1,1,0,0,4,1,0,0,0,0,0,0
"Byron Pickett",791,"NM","ES","1",7,4,5,12,0,0,0,3,2,1,2,2,1,4,0,4,7,0,0,1,3,0,0
"Brady Rawlings",799,"NM","ES","1",6,1,4,10,0,0,0,1,0,3,1,4,1,0,0,2,8,0,0,1,0,0,0
"Saverio Rocca",228,"NM","ES","1",10,8,1,11,1,2,2,0,0,4,0,0,1,0,0,3,7,1,3,2,0,0,0
"Adam Simpson",780,"NM","ES","1",16,2,4,20,0,0,2,1,3,2,7,1,3,0,0,14,5,0,0,1,0,0,0
"Jess Sinclair",523,"NM","ES","1",6,1,7,13,0,1,0,6,0,1,1,3,0,2,0,11,1,0,0,1,0,0,0
"Dylan Smith",807,"NM","ES","1",5,0,4,9,0,0,0,3,0,5,1,1,2,0,0,6,3,0,0,0,0,0,0
"Anthony Stevens",772,"NM","ES","1",23,5,6,29,0,0,0,2,2,5,3,2,5,2,0,11,20,0,0,1,2,0,0
"Shannon Watt",797,"NM","ES","1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Steven Alessio",307,"ES","NM","1",4,4,6,10,2,0,11,2,0,1,1,1,0,0,0,7,3,2,1,1,0,0,0
"Paul Barnard",340,"ES","NM","1",8,5,1,9,4,1,0,0,1,1,1,0,1,0,0,1,8,0,4,1,0,0,0
"John Barnes",360,"ES","NM","1",11,10,9,20,0,0,5,2,0,5,0,4,1,0,0,3,18,0,1,4,0,0,0
"Justin Blumfield",341,"ES","NM","1",13,11,8,21,2,1,4,2,1,1,2,1,0,1,0,3,18,0,2,1,1,0,0
"Mark Bolton",350,"ES","NM","1",2,1,3,5,1,0,0,3,1,0,1,1,0,2,0,3,3,0,0,0,0,0,0
"Blake Caracella",343,"ES","NM","1",15,8,5,20,1,0,1,1,1,4,0,2,0,1,0,9,10,2,1,2,1,0,0
"Dustin Fletcher",304,"ES","NM","1",15,1,3,18,0,0,0,2,1,1,1,0,1,0,0,6,11,0,0,2,2,0,0
"Aaron Henneman",362,"ES","NM","1",4,2,6,10,0,0,0,0,2,0,1,0,0,1,0,5,5,0,0,3,0,0,0
"James Hird",312,"ES","NM","1",8,5,3,11,1,0,0,1,1,4,2,2,1,1,0,3,10,0,0,1,0,0,0
"Danny Jacobs",359,"ES","NM","1",6,7,5,11,0,0,0,1,1,1,1,1,0,1,0,4,8,0,0,2,0,0,0
"Jason Johnson",346,"ES","NM","1",19,2,11,30,2,1,0,3,2,7,10,0,4,3,2,19,13,0,0,2,0,0,0
"Mark Johnson",354,"ES","NM","1",14,4,6,20,1,0,0,4,1,4,0,0,2,2,0,8,13,0,0,0,1,0,0
"Matthew Lloyd",336,"ES","NM","1",11,3,1,12,4,2,0,2,0,3,0,2,1,2,0,3,7,0,3,1,0,0,0
"Scott Lucas",339,"ES","NM","1",11,6,5,16,2,2,0,1,2,6,2,3,1,1,0,4,11,1,1,1,0,0,0
"Mark McVeigh",355,"ES","NM","1",11,6,4,15,1,0,0,0,0,3,1,1,0,0,0,4,13,1,1,1,0,0,0
"Mark Mercuri",310,"ES","NM","1",7,5,12,19,0,0,1,0,0,3,1,0,0,0,0,11,9,2,2,1,2,0,0
"Joe Misiti",316,"ES","NM","1",19,5,11,30,0,0,0,0,1,3,8,2,3,3,3,14,18,1,0,0,0,0,0
"Gary Moorcroft",331,"ES","NM","1",3,2,1,4,0,0,0,0,0,2,1,1,0,1,0,3,2,0,0,0,0,0,0
"Adam Ramanauskas",358,"ES","NM","1",15,5,1,16,1,0,0,0,3,1,2,1,3,0,0,3,11,0,1,1,0,0,0
"Dean Rioli",356,"ES","NM","1",11,10,6,17,0,0,0,1,1,4,0,0,1,0,0,5,11,3,0,6,0,0,0
"Dean Solomon",352,"ES","NM","1",10,4,8,18,1,1,0,2,1,6,0,0,1,1,0,10,7,0,1,2,0,0,0
