"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Jake Batchelor",11889,"RI","CA","1",9,5,6,15,0,0,0,2,2,1,1,1,0,1,0,2,12,1,0,5,3,0,84
"Troy Chaplin",3962,"RI","CA","1",9,1,4,13,0,0,0,2,2,0,0,3,2,2,0,7,6,0,0,1,2,0,100
"Trent Cotchin",11666,"RI","CA","1",6,3,11,17,0,1,0,1,1,0,1,0,0,0,0,5,12,0,1,0,0,1,86
"Brett Deledio",4068,"RI","CA","1",9,3,9,18,0,2,0,0,1,2,1,2,0,1,0,6,12,1,1,1,2,0,69
"Shane Edwards",11557,"RI","CA","1",9,1,12,21,0,0,0,3,1,2,7,1,1,0,0,15,7,0,0,1,0,3,83
"Brandon Ellis",12034,"RI","CA","1",15,9,11,26,0,1,0,7,3,2,2,2,1,1,2,8,18,1,0,1,0,0,87
"Nathan Gordon",11944,"RI","CA","1",3,1,2,5,1,0,0,0,0,3,0,2,1,0,0,1,4,0,0,0,0,0,21
"Ben Griffiths",11850,"RI","CA","1",8,6,4,12,3,1,4,0,0,4,0,1,2,1,0,4,8,2,3,0,0,0,86
"Shaun Grigg",11594,"RI","CA","1",9,4,8,17,2,2,2,2,0,2,3,0,1,0,0,4,11,0,0,0,0,0,81
"Dylan Grimes",11879,"RI","CA","1",4,1,7,11,0,0,0,1,3,1,0,2,1,0,0,7,3,0,0,4,0,0,88
"Bachar Houli",11566,"RI","CA","1",15,5,6,21,0,2,0,1,4,7,0,1,0,0,0,1,18,1,0,1,9,1,85
"Taylor Hunt",11851,"RI","CA","1",17,8,10,27,0,0,0,5,5,2,1,2,3,1,3,5,21,0,0,0,6,0,84
"Sam Lloyd",12263,"RI","CA","1",10,7,4,14,3,2,0,1,0,4,1,2,0,1,0,4,9,0,2,0,1,0,80
"Ivan Maric",4165,"RI","CA","1",8,4,5,13,0,0,33,4,1,1,4,2,2,2,0,9,4,2,0,1,0,0,88
"Dustin Martin",11794,"RI","CA","1",8,0,5,13,1,0,0,4,0,5,0,4,0,1,0,3,11,0,0,0,0,0,83
"Kamdyn McIntosh",12317,"RI","CA","1",14,9,9,23,1,2,0,2,0,4,2,4,1,1,0,8,15,0,2,2,5,1,85
"Anthony Miles",12059,"RI","CA","1",10,4,13,23,0,0,0,4,0,3,3,0,0,0,0,7,16,0,0,0,0,3,82
"Steven Morris",12033,"RI","CA","1",0,1,3,3,0,0,0,4,0,1,0,5,1,5,0,2,2,0,0,4,0,0,87
