"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"David Astbury",11828,"RI","CA","1",5,1,4,9,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,3,0,0,92
"Noah Balta",12686,"RI","CA","1",5,2,0,5,1,0,6,1,0,3,1,5,1,3,0,2,4,0,0,2,0,0,52
"Nathan Broad",12456,"RI","CA","1",4,1,4,8,0,0,0,2,2,0,0,2,1,0,0,3,5,0,0,6,2,0,80
"Dan Butler",12490,"RI","CA","1",8,1,5,13,1,0,0,7,0,6,0,4,1,3,0,6,8,0,1,1,0,0,82
"Trent Cotchin",11666,"RI","CA","1",20,6,11,31,0,1,0,4,0,6,6,5,2,4,3,14,14,1,1,2,1,0,80
"Shane Edwards",11557,"RI","CA","1",8,0,14,22,0,0,0,4,0,3,5,1,1,0,0,11,12,0,0,1,0,1,85
"Jack Graham",12576,"RI","CA","1",16,7,7,23,0,1,0,6,0,5,4,6,1,1,0,9,15,0,1,2,0,0,81
"Dylan Grimes",11879,"RI","CA","1",5,1,4,9,0,0,0,4,2,1,1,2,1,1,0,5,3,1,0,7,0,0,80
"Jack Higgins",12609,"RI","CA","1",9,6,8,17,3,0,0,1,1,4,0,2,0,0,0,6,11,0,3,2,0,2,82
"Bachar Houli",11566,"RI","CA","1",16,6,8,24,0,0,0,4,8,3,1,2,1,0,0,4,14,0,0,2,0,1,83
"Kane Lambert",12333,"RI","CA","1",12,7,18,30,0,1,0,4,1,3,3,4,2,0,0,10,19,0,1,0,0,0,89
"Tom Lynch",11948,"RI","CA","1",4,1,3,7,3,1,0,2,0,0,0,3,2,1,0,5,2,1,1,1,0,0,78
"Dustin Martin",11794,"RI","CA","1",18,4,12,30,0,0,0,0,1,7,5,7,0,3,0,15,17,1,1,2,2,1,79
"Kamdyn McIntosh",12317,"RI","CA","1",9,3,4,13,1,0,0,4,2,1,0,1,0,0,0,7,7,2,0,3,0,0,79
"Toby Nankervis",12374,"RI","CA","1",13,2,4,17,3,0,34,2,0,2,3,3,3,0,1,13,7,0,0,0,0,0,83
"Dion Prestia",11917,"RI","CA","1",10,1,10,20,0,0,0,7,0,5,4,2,3,0,0,9,11,0,0,1,0,1,78
"Alex Rance",11733,"RI","CA","1",3,2,3,6,0,0,0,2,2,0,0,5,1,2,0,4,2,0,0,7,0,0,68
"Jack Riewoldt",11576,"RI","CA","1",6,2,2,8,1,1,0,2,0,1,0,7,1,4,0,9,2,1,2,3,0,2,98
"Daniel Rioli",12403,"RI","CA","1",10,4,7,17,0,2,0,2,0,4,2,0,1,0,0,6,10,0,0,2,0,2,88
"Jayden Short",12418,"RI","CA","1",18,5,2,20,0,1,0,3,9,2,1,5,0,1,0,3,10,1,0,3,0,0,89
"Nick Vlastuin",12174,"RI","CA","1",10,5,4,14,0,0,0,1,6,0,0,1,0,0,0,3,7,0,0,3,0,0,89
"Maverick Weller",11922,"RI","CA","1",9,2,6,15,1,1,0,1,2,3,1,1,0,0,0,4,11,0,0,2,0,0,85
