"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Matthew Allan",153,"CA","ES","1",8,6,4,12,0,0,19,0,1,3,1,1,2,5,0,7,5,2,1,0,0,0,0
"Brett Backwell",190,"CA","ES","1",2,1,2,4,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0
"Simon Beaumont",160,"CA","ES","1",6,3,4,10,0,0,0,0,6,0,0,0,0,1,0,4,5,1,0,0,0,0,0
"Craig Bradley",151,"CA","ES","1",21,8,9,30,0,1,0,1,2,14,7,4,1,1,3,7,21,0,1,2,0,0,0
"Fraser Brown",147,"CA","ES","1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Scott Camporeale",143,"CA","ES","1",15,2,4,19,4,2,0,1,0,6,3,1,2,5,0,8,13,0,1,1,0,0,0
"Ang Christou",138,"CA","ES","1",8,1,6,14,0,0,0,0,3,2,0,2,3,1,0,6,7,1,0,0,0,0,0
"Ron De Iulio",162,"CA","ES","1",12,2,1,13,0,0,0,0,3,4,1,2,2,1,0,5,7,0,0,0,0,0,0
"Anthony Franchina",181,"CA","ES","1",8,5,6,14,0,2,0,0,0,2,1,2,0,2,0,4,10,1,1,1,0,0,0
"Aaron Hamill",171,"CA","ES","1",8,4,3,11,1,1,1,1,1,4,0,1,2,5,0,7,5,2,1,0,0,0,0
"Anthony Koutoufides",144,"CA","ES","1",14,9,10,24,0,0,1,0,3,2,4,2,0,0,0,9,15,2,0,0,0,0,0
"Matthew Lappin",191,"CA","ES","1",12,7,3,15,0,2,0,1,1,4,1,2,2,0,0,6,10,2,1,1,0,0,0
"Glenn Manton",161,"CA","ES","1",4,9,9,13,0,1,0,0,0,1,0,3,0,0,0,4,9,3,1,0,0,0,0
"Andrew McKay",140,"CA","ES","1",9,3,3,12,0,0,0,2,1,2,0,0,1,2,0,5,7,0,0,1,0,0,0
"Justin Murphy",167,"CA","ES","1",16,10,17,33,0,0,0,1,3,2,5,4,2,1,0,10,25,0,0,0,1,0,0
"Brett Ratten",135,"CA","ES","1",12,2,12,24,0,0,0,1,1,5,12,0,1,2,0,12,12,0,0,2,0,0,0
"Dean Rice",158,"CA","ES","1",12,3,6,18,0,1,0,1,6,2,0,2,2,1,0,6,12,1,0,1,0,0,0
"Michael Sexton",137,"CA","ES","1",7,6,9,16,0,0,1,0,2,0,0,1,2,0,0,6,10,2,0,1,0,0,0
"Stephen Silvagni",136,"CA","ES","1",17,8,4,21,2,2,1,0,6,0,1,1,0,2,0,6,15,2,3,2,0,0,0
"Ben Thompson",192,"CA","ES","1",3,1,1,4,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0
"Adam White",175,"CA","ES","1",1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0
"Lance Whitnall",173,"CA","ES","1",13,9,2,15,2,2,3,1,0,2,1,2,2,0,0,6,9,3,4,0,0,0,0
"Steven Alessio",307,"ES","CA","1",7,5,8,15,0,0,10,0,1,5,4,0,1,2,0,8,7,2,0,1,0,0,0
"Peter Berbakov",338,"ES","CA","1",11,5,1,12,1,0,0,0,0,4,2,1,3,2,0,5,7,1,0,0,0,0,0
"Darren Bewick",311,"ES","CA","1",12,3,3,15,1,2,0,1,1,4,2,1,1,0,0,7,9,0,2,1,2,0,0
"Justin Blumfield",341,"ES","CA","1",10,5,3,13,1,0,0,0,2,6,2,2,1,1,0,6,9,2,0,1,0,0,0
"Blake Caracella",343,"ES","CA","1",4,1,3,7,1,0,0,0,0,3,0,0,1,0,0,5,2,0,0,0,0,0,0
"Dustin Fletcher",304,"ES","CA","1",13,3,2,15,0,1,2,0,4,2,0,2,1,2,0,5,9,2,0,3,0,0,0
"Mark Fraser",325,"ES","CA","1",18,9,7,25,2,1,0,0,2,3,1,1,1,1,1,4,19,0,3,0,0,0,0
"Damien Hardwick",324,"ES","CA","1",13,2,7,20,0,0,0,1,5,2,0,2,1,0,0,7,12,0,0,0,2,0,0
"Chris Heffernan",347,"ES","CA","1",8,1,4,12,1,0,0,0,2,5,3,1,1,1,0,7,5,0,0,0,0,0,0
"James Hird",312,"ES","CA","1",15,4,10,25,1,1,1,2,4,4,4,4,1,1,0,7,17,1,2,0,0,0,0
"Mark Johnson",354,"ES","CA","1",10,1,11,21,0,0,0,1,5,1,1,0,4,1,0,9,12,0,0,1,4,0,0
"Judd Lalich",353,"ES","CA","1",4,4,4,8,0,0,1,2,2,1,0,0,1,2,0,2,6,1,0,2,1,0,0
"Matthew Lloyd",336,"ES","CA","1",9,5,2,11,3,1,0,0,0,4,0,1,1,1,0,8,2,3,2,0,0,0,0
"Michael Long",313,"ES","CA","1",9,6,6,15,0,1,0,0,0,6,2,2,4,0,0,8,9,0,0,1,4,0,0
"Scott Lucas",339,"ES","CA","1",11,3,8,19,3,1,1,2,1,3,1,0,3,3,0,7,13,0,1,0,0,0,0
"Mark McVeigh",355,"ES","CA","1",0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"Mark Mercuri",310,"ES","CA","1",10,2,13,23,2,0,0,1,2,1,4,2,1,2,2,7,16,1,0,2,2,0,0
"Joe Misiti",316,"ES","CA","1",11,4,17,28,0,0,0,2,2,2,8,1,1,1,0,9,21,0,0,1,0,0,0
"Michael Symons",309,"ES","CA","1",2,2,5,7,0,0,0,0,1,0,0,1,1,0,0,3,5,0,0,0,1,0,0
"Andrew Ukovic",288,"ES","CA","1",5,1,5,10,0,1,0,0,0,3,0,0,0,0,0,6,5,0,0,0,0,0,0
"Dean Wallis",333,"ES","CA","1",8,5,7,15,0,0,1,1,5,0,0,2,2,2,0,5,7,2,0,0,0,0,0
"Barry Young",308,"ES","CA","1",11,5,10,21,0,0,0,0,4,1,1,1,1,1,0,8,11,1,0,0,5,0,0
"Winston Abraham",485,"NM","GE","1",8,2,9,17,2,0,0,1,2,1,3,2,0,1,0,13,4,0,0,2,1,0,0
"Brady Anderson",793,"NM","GE","1",3,0,2,5,0,0,0,1,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0
"Peter Bell",486,"NM","GE","1",14,4,3,17,3,0,0,0,1,4,2,1,0,1,1,7,9,2,1,2,0,0,0
"John Blakey",762,"NM","GE","1",18,4,6,24,0,0,0,0,5,4,1,3,1,0,0,6,15,0,0,0,1,0,0
"Mathew Capuano",774,"NM","GE","1",8,4,3,11,0,0,10,1,2,2,3,2,1,0,0,6,5,1,0,1,0,0,0
"Wayne Carey",766,"NM","GE","1",16,8,2,18,4,3,1,1,1,4,1,0,2,2,0,9,9,4,5,0,0,0,0
"Shane Clayton",408,"NM","GE","1",1,0,2,3,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Gary Dhurrkay",492,"NM","GE","1",10,1,2,12,1,0,0,1,0,5,1,0,0,1,0,6,5,0,0,1,0,0,0
"Shannon Grant",794,"NM","GE","1",8,2,6,14,1,1,0,0,0,4,4,0,1,0,0,5,11,1,0,0,2,0,0
"Brent Harvey",788,"NM","GE","1",12,6,3,15,2,2,0,1,0,9,0,0,0,1,0,6,8,2,1,0,3,0,0
"David King",759,"NM","GE","1",1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"John Longmire",760,"NM","GE","1",5,3,7,12,0,0,11,1,0,6,2,0,1,0,0,5,7,0,0,2,0,0,0
"Mick Martyn",757,"NM","GE","1",4,0,3,7,0,0,0,0,3,0,0,1,0,0,0,4,3,0,0,0,1,0,0
"Jason McCartney",11,"NM","GE","1",8,7,4,12,0,0,1,0,4,0,1,1,1,0,0,6,5,3,0,0,0,0,0
"Corey McKernan",775,"NM","GE","1",10,8,2,12,4,0,8,0,0,2,0,2,2,2,0,8,5,3,3,2,0,0,0
"Byron Pickett",791,"NM","GE","1",14,2,6,20,0,0,0,1,9,1,3,2,1,0,0,12,7,1,0,2,4,0,0
"Martin Pike",373,"NM","GE","1",7,2,3,10,0,0,0,1,0,2,1,0,1,1,0,3,6,0,0,1,0,0,0
"Robert Scott",768,"NM","GE","1",11,3,7,18,0,0,0,1,3,0,1,5,1,1,0,10,7,0,0,1,1,0,0
"Craig Sholl",761,"NM","GE","1",6,2,3,9,0,0,0,0,3,0,0,1,0,1,0,1,8,0,0,0,0,0,0
"Adam Simpson",780,"NM","GE","1",12,3,3,15,0,1,1,1,1,2,0,1,0,0,0,11,4,1,0,1,0,0,0
"Anthony Stevens",772,"NM","GE","1",22,4,6,28,0,1,0,3,4,6,13,0,0,2,0,15,14,1,0,1,3,0,0
"Scott Welsh",80,"NM","GE","1",8,7,1,9,4,0,0,0,0,0,0,1,1,1,0,4,6,2,4,0,0,0,0
"Simon Arnott",605,"GE","NM","1",10,2,9,19,3,0,0,0,0,3,3,3,0,1,0,6,12,0,1,0,0,0,0
"Scott Bamford",405,"GE","NM","1",6,3,3,9,0,0,0,0,0,3,0,3,0,1,0,1,8,0,0,1,1,0,0
"John Barnes",360,"GE","NM","1",5,3,3,8,1,0,17,1,2,1,3,1,0,1,0,4,5,1,0,3,0,0,0
"Clint Bizzell",589,"GE","NM","1",8,3,4,12,0,0,4,1,3,2,1,1,1,0,0,6,6,1,0,0,0,0,0
"Ronnie Burns",585,"GE","NM","1",13,6,6,19,2,2,0,0,2,6,0,3,0,1,0,4,16,0,1,5,1,0,0
