"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Winston Abraham",485,"NM","WC","1",10,1,5,15,1,1,0,1,0,7,4,0,2,2,0,0,0,0,0,0,0,0,0
"Brady Anderson",793,"NM","WC","1",6,2,7,13,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"Glenn Archer",777,"NM","WC","1",18,5,3,21,1,0,1,0,4,2,1,1,1,1,2,0,0,0,0,0,0,0,0
"Peter Bell",486,"NM","WC","1",18,2,6,24,1,0,0,0,1,8,5,0,1,0,0,0,0,0,0,0,0,0,0
"John Blakey",762,"NM","WC","1",11,7,8,19,0,0,0,0,5,1,3,0,1,1,0,0,0,0,0,0,0,0,0
"Mathew Capuano",774,"NM","WC","1",7,3,3,10,0,0,11,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0
"Wayne Carey",766,"NM","WC","1",14,5,4,18,1,2,1,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0
"Glenn Freeborn",273,"NM","WC","1",5,2,5,10,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Shannon Grant",794,"NM","WC","1",8,2,3,11,2,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
"Chris Groom",487,"NM","WC","1",3,2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evan Hewitt",86,"NM","WC","1",0,0,2,2,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"David King",759,"NM","WC","1",18,1,0,18,0,0,0,1,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0
"Mick Martyn",757,"NM","WC","1",5,3,5,10,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason McCartney",11,"NM","WC","1",6,1,6,12,0,0,2,1,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0
"Byron Pickett",791,"NM","WC","1",6,1,0,6,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"Martin Pike",373,"NM","WC","1",11,1,5,16,1,0,0,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"Anthony Rock",674,"NM","WC","1",6,2,5,11,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Scott",768,"NM","WC","1",8,5,4,12,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"Craig Sholl",761,"NM","WC","1",17,9,5,22,5,2,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0
"Adam Simpson",780,"NM","WC","1",8,1,5,13,1,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Stevens",772,"NM","WC","1",27,8,6,33,1,1,1,4,2,5,7,1,2,1,0,0,0,0,0,0,0,0,0
"Scott Welsh",80,"NM","WC","1",5,3,0,5,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Ball",1020,"WC","NM","1",12,6,12,24,4,0,7,0,0,7,4,0,3,0,1,0,0,0,0,0,0,0,0
"Drew Banfield",1031,"WC","NM","1",8,1,7,15,0,0,0,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0
"Michael Braun",1058,"WC","NM","1",18,5,9,27,1,0,0,2,2,4,3,0,1,1,0,0,0,0,0,0,0,0,0
"Ben Cousins",1051,"WC","NM","1",10,4,17,27,2,0,0,1,0,4,2,1,3,1,0,0,0,0,0,0,0,0,0
"Tony Evans",1036,"WC","NM","1",1,0,6,7,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"Michael Gardiner",1056,"WC","NM","1",4,4,6,10,0,0,23,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0
"Fraser Gehrig",976,"WC","NM","1",8,6,2,10,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brett Heady",1027,"WC","NM","1",14,5,6,20,2,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"Glen Jakovich",1038,"WC","NM","1",12,5,7,19,0,0,2,2,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0
"Dean Kemp",1028,"WC","NM","1",18,4,8,26,0,0,0,3,6,2,4,1,1,2,3,0,0,0,0,0,0,0,0
"Chris Lewis",1039,"WC","NM","1",4,1,0,4,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"Peter Matera",1040,"WC","NM","1",17,2,6,23,0,0,1,8,5,6,1,1,2,1,0,0,0,0,0,0,0,0,0
