"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Joel Bowden",890,"RI","CA","1",10,5,12,22,0,1,0,1,3,2,0,2,0,0,0,4,18,0,0,3,2,3,87
"Nathan Brown",452,"RI","CA","1",9,4,4,13,3,0,0,0,1,4,2,3,0,1,0,5,8,0,1,0,0,0,90
"Brett Deledio",4068,"RI","CA","1",5,3,8,13,2,0,0,1,1,0,1,1,1,0,0,6,6,0,1,0,1,0,98
"Nathan Foley",4112,"RI","CA","1",12,0,14,26,1,0,0,1,2,2,3,3,0,3,1,9,17,0,0,0,2,0,73
"Cameron Howat",2295,"RI","CA","1",7,1,5,12,0,0,0,2,0,3,0,2,0,0,0,1,10,0,0,2,4,1,81
"Cleve Hughes",4161,"RI","CA","1",7,6,3,10,0,2,0,0,1,2,0,4,1,0,0,4,6,2,1,1,0,1,69
"Daniel Jackson",4044,"RI","CA","1",6,1,9,15,1,0,0,0,2,1,5,2,0,1,0,5,10,0,0,2,0,0,62
"Kane Johnson",43,"RI","CA","1",8,4,18,26,0,0,0,5,2,4,2,3,2,3,0,10,14,0,0,2,0,0,65
"Jake King",11558,"RI","CA","1",8,4,16,24,0,0,0,3,2,2,0,4,3,1,2,11,12,0,0,6,0,1,91
"Jordan McMahon",1114,"RI","CA","1",11,7,11,22,0,0,0,0,3,3,2,3,1,1,0,3,19,0,0,1,0,0,95
"Kelvin Moore",3987,"RI","CA","1",6,5,7,13,0,0,0,0,3,1,0,1,0,1,0,1,11,0,0,5,2,0,100
"Chris Newman",1150,"RI","CA","1",8,4,10,18,0,0,0,2,1,3,2,3,0,2,0,6,11,1,0,1,9,0,87
"Adam Pattison",4108,"RI","CA","1",2,1,4,6,1,0,7,1,0,1,1,2,1,2,0,2,4,0,0,2,0,0,43
"Kayne Pettifer",917,"RI","CA","1",15,4,5,20,1,1,0,2,2,4,3,2,1,2,0,4,16,0,1,0,1,1,88
"Graham Polak",1116,"RI","CA","1",8,6,9,17,1,0,0,2,1,0,1,2,0,1,0,1,16,0,2,4,0,1,93
"Andrew Raines",4057,"RI","CA","1",14,2,8,22,0,0,0,1,4,3,2,3,4,2,0,8,16,0,0,0,1,0,88
"Matthew Richardson",870,"RI","CA","1",13,11,2,15,5,2,0,1,0,3,0,4,1,3,3,10,5,7,7,2,0,0,100
"Jay Schulz",1451,"RI","CA","1",7,4,8,15,0,0,0,2,0,2,0,1,2,1,0,4,13,0,0,3,0,0,82
"Troy Simmonds",743,"RI","CA","1",10,7,7,17,0,0,19,0,0,2,2,4,1,1,0,7,11,1,0,1,0,0,70
"Richard Tambling",4091,"RI","CA","1",6,2,8,14,1,0,0,5,0,3,3,2,1,0,0,6,8,1,0,2,2,0,68
"Will Thursfield",4124,"RI","CA","1",4,6,7,11,0,0,0,1,1,1,0,2,2,1,0,2,11,0,0,11,3,1,100
"Shane Tuck",4041,"RI","CA","1",10,2,10,20,1,0,1,2,1,4,2,2,1,1,0,9,11,0,0,2,0,1,71
"Jordan Bannister",368,"CA","RI","1",4,4,4,8,0,0,0,1,2,0,0,2,1,1,0,2,7,0,0,1,4,0,98
"Eddie Betts",4060,"CA","RI","1",7,3,2,9,2,1,0,1,0,1,0,2,0,1,0,4,4,1,0,0,0,0,72
"Paul Bower",3281,"CA","RI","1",4,1,6,10,0,0,0,0,2,0,0,2,1,2,0,2,8,0,0,5,1,0,99
"Andrew Carrazzo",4056,"CA","RI","1",15,8,10,25,0,0,0,3,2,4,2,4,1,3,0,5,21,0,0,1,1,1,82
"Cameron Cloke",3971,"CA","RI","1",10,7,4,14,0,0,16,3,1,3,2,1,3,0,0,6,8,1,0,2,0,0,69
"Jake Edwards",11624,"CA","RI","1",8,8,4,12,1,2,0,0,0,2,0,0,1,0,0,2,10,0,2,1,0,0,79
"Brendan Fevola",196,"CA","RI","1",7,4,3,10,2,2,1,1,0,2,0,6,2,3,0,5,6,0,2,0,1,2,94
"Bryce Gibbs",11535,"CA","RI","1",8,4,7,15,0,0,0,1,1,1,3,2,1,0,0,5,10,0,0,1,0,0,82
"Shaun Grigg",11594,"CA","RI","1",9,2,5,14,0,0,0,1,1,1,1,1,0,1,0,2,11,0,0,1,1,0,87
"Richard Hadley",1097,"CA","RI","1",6,4,7,13,0,2,0,2,1,2,1,0,0,0,0,3,11,0,0,2,0,0,75
"Adam Hartlett",11573,"CA","RI","1",7,4,2,9,0,0,0,2,1,3,0,1,1,0,0,3,5,0,0,1,0,0,63
"Ryan Houlihan",201,"CA","RI","1",14,8,6,20,1,1,0,0,1,4,1,1,1,0,0,4,16,1,3,0,0,0,94
"Ryan Jackson",2734,"CA","RI","1",7,3,3,10,0,0,0,1,0,2,0,2,1,1,0,3,8,0,0,0,0,0,53
"Michael Jamison",11610,"CA","RI","1",5,2,2,7,0,0,0,1,2,0,0,3,0,2,0,2,5,1,0,5,0,0,90
"Chris Judd",1122,"CA","RI","1",13,2,9,22,0,1,0,5,0,5,5,2,4,2,0,10,12,0,0,0,0,2,75
"Marc Murphy",4148,"CA","RI","1",15,7,6,21,1,0,0,3,0,4,3,1,2,0,0,7,15,0,1,0,0,0,86
"Setanta OhAilpin",4094,"CA","RI","1",2,2,5,7,1,0,9,2,0,0,3,1,1,1,0,3,3,0,2,4,0,0,50
"Heath Scotland",280,"CA","RI","1",10,8,4,14,2,0,0,0,2,2,0,1,0,1,0,2,12,1,3,2,2,1,81
"Kade Simpson",1456,"CA","RI","1",11,11,12,23,0,1,0,3,3,3,3,4,2,1,0,9,15,1,2,2,5,0,89
"Nick Stevens",842,"CA","RI","1",16,3,5,21,1,0,0,1,1,6,2,3,1,1,0,6,13,0,0,1,2,2,85
"Bret Thornton",1152,"CA","RI","1",24,12,4,28,0,1,0,1,8,2,1,3,3,0,0,12,17,3,1,1,7,0,98
"Jarrad Waite",1418,"CA","RI","1",8,3,4,12,0,0,0,1,2,1,0,3,1,2,0,7,5,2,0,5,3,0,100
