"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Craig Bird",11635,"SY","GW","1",15,8,12,27,2,2,0,7,2,6,7,7,1,3,0,10,18,0,1,2,0,1,81
"Jude Bolton",1013,"SY","GW","1",12,2,13,25,1,0,1,6,0,4,5,1,1,1,0,11,16,0,0,5,0,0,85
"Harry Cunningham",12015,"SY","GW","1",4,2,0,4,0,0,0,1,1,1,0,3,0,1,0,1,2,0,0,0,0,0,20
"Andrejs Everitt",11591,"SY","GW","1",6,1,7,13,1,2,0,6,0,6,0,3,0,1,0,7,6,1,1,2,0,1,93
"Adam Goodes",1012,"SY","GW","1",13,6,8,21,0,1,1,2,3,7,3,3,1,0,0,9,13,1,1,1,0,1,92
"Heath Grundy",1401,"SY","GW","1",12,10,4,16,0,0,0,3,0,1,0,5,0,0,0,4,12,3,0,8,1,0,95
"Dan Hannebery",11783,"SY","GW","1",5,3,5,10,0,0,0,3,0,1,1,3,1,1,0,5,5,0,0,0,0,0,69
"Kieren Jack",11546,"SY","GW","1",20,2,10,30,1,1,0,7,0,9,3,4,0,2,2,12,18,0,0,2,0,1,80
"Lewis Jetta",11804,"SY","GW","1",11,8,9,20,2,0,0,3,2,4,3,2,0,0,0,5,15,0,0,1,1,1,83
"Alex Johnson",11925,"SY","GW","1",17,8,2,19,0,1,0,0,4,4,0,1,0,0,0,2,15,1,0,3,2,0,91
"Josh Kennedy",11672,"SY","GW","1",13,2,14,27,2,0,0,4,1,6,7,4,2,3,3,15,12,1,1,2,0,1,82
"Nick Malceski",4117,"SY","GW","1",15,6,3,18,0,0,0,5,2,4,0,5,0,2,0,6,9,0,0,3,0,0,82
"Martin Mattner",1191,"SY","GW","1",9,7,5,14,0,0,0,1,1,1,0,1,0,0,0,3,12,1,0,4,0,0,86
"Ben McGlynn",4184,"SY","GW","1",7,4,7,14,1,0,0,5,0,2,1,1,2,1,0,4,11,0,0,2,0,0,89
"Jarrad McVeigh",3950,"SY","GW","1",12,4,10,22,1,1,0,1,3,0,3,3,0,2,0,6,14,0,0,1,0,0,85
"Shane Mumford",11656,"SY","GW","1",4,5,7,11,1,0,35,4,0,2,3,3,2,3,1,6,5,2,0,1,0,0,89
"Luke Parker",11953,"SY","GW","1",7,3,10,17,0,0,0,1,1,4,1,2,1,0,0,7,10,0,0,0,1,0,50
"Sam Reid",11880,"SY","GW","1",8,6,11,19,0,2,0,3,0,1,1,2,1,1,0,14,6,2,3,1,0,0,97
"Ted Richards",1119,"SY","GW","1",12,10,3,15,0,0,0,3,1,1,0,0,1,0,0,8,8,3,0,5,0,0,97
"Lewis Roberts-Thomson",1453,"SY","GW","1",5,2,6,11,1,0,6,1,0,1,1,3,0,1,0,6,5,0,1,2,0,2,95
"Gary Rohan",11842,"SY","GW","1",6,3,10,16,1,2,0,7,0,3,1,2,1,1,0,7,8,1,1,0,0,0,66
"Nick Smith",11653,"SY","GW","1",11,5,8,19,0,0,0,6,2,3,0,2,2,1,0,7,12,0,0,1,0,1,92
"Tomas Bugg",12016,"GW","SY","1",14,5,13,27,0,0,0,4,2,0,1,3,1,1,0,7,18,0,0,0,0,0,80
"Jeremy Cameron",12017,"GW","SY","1",6,5,2,8,0,0,0,1,2,0,1,2,1,1,0,4,4,2,0,4,0,0,94
