"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Alastair Clarkson",720,"ME","GE","1",19,6,5,24,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"David Cockatoo-Collins",718,"ME","GE","1",3,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Don Cockatoo-Collins",719,"ME","GE","1",5,3,1,6,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Greg Doyle",715,"ME","GE","1",8,4,1,9,4,1,7,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Damien Gaspar",712,"ME","GE","1",4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Grant",716,"ME","GE","1",5,1,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jeff Hilton",696,"ME","GE","1",5,2,3,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paul Hopgood",711,"ME","GE","1",16,4,5,21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Anthony Ingerson",25,"ME","GE","1",2,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Darren Kowal",701,"ME","GE","1",7,2,5,12,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Brett Lovett",706,"ME","GE","1",6,5,13,19,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Glenn Lovett",692,"ME","GE","1",17,5,4,21,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Garry Lyon",695,"ME","GE","1",8,4,2,10,1,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"David Neitz",689,"ME","GE","1",4,4,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Andrew Obst",704,"ME","GE","1",6,2,3,9,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Paul Prymke",687,"ME","GE","1",7,4,5,12,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Clay Sampson",55,"ME","GE","1",7,3,6,13,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Marcus Seecamp",698,"ME","GE","1",5,1,4,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Jim Stynes",702,"ME","GE","1",10,3,4,14,0,0,7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
