"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Cain Ackland",854,"SK","WC","1",5,3,2,7,0,0,6,1,1,2,2,2,2,2,0,4,3,0,0,0,0,0,33
"Steven Baker",967,"SK","WC","1",7,4,2,9,0,0,0,1,2,0,1,0,0,0,0,3,6,0,0,1,0,0,81
"Luke Ball",1430,"SK","WC","1",6,3,5,11,0,0,0,6,1,1,2,3,2,1,0,6,6,0,0,1,4,0,88
"Jason Blake",974,"SK","WC","1",8,6,10,18,0,0,13,2,2,4,5,2,1,0,0,7,11,0,0,2,3,0,71
"Nick Dal Santo",1132,"SK","WC","1",8,1,9,17,0,0,0,5,2,4,3,0,1,0,0,9,8,0,0,1,1,0,88
"Sam Fisher",3975,"SK","WC","1",9,6,4,13,0,0,0,4,3,0,0,1,2,1,0,5,9,0,0,3,2,0,100
"Fraser Gehrig",976,"SK","WC","1",7,4,2,9,2,4,0,0,0,1,0,3,1,0,0,6,3,3,2,2,0,0,96
"Brendon Goddard",1443,"SK","WC","1",17,10,5,22,0,0,0,3,4,4,1,1,0,1,0,3,17,0,0,1,1,0,77
"Jason Gram",1462,"SK","WC","1",17,9,8,25,0,0,0,4,10,0,2,0,0,0,0,7,14,0,1,3,2,0,93
"Aaron Hamill",171,"SK","WC","1",5,2,2,7,0,1,0,2,0,3,2,1,1,1,0,5,2,1,1,0,0,1,90
"Robert Harvey",930,"SK","WC","1",16,8,11,27,1,1,0,6,2,4,3,2,1,0,1,9,18,0,2,2,0,0,97
"Lenny Hayes",966,"SK","WC","1",18,7,8,26,3,0,0,7,3,6,5,0,0,0,0,9,17,1,0,2,6,0,93
"Max Hudghton",955,"SK","WC","1",9,6,4,13,0,0,0,1,0,1,0,0,1,0,0,2,11,0,0,6,0,0,100
"Matt Maguire",1136,"SK","WC","1",10,3,5,15,0,0,0,2,3,3,1,3,2,1,0,4,10,0,0,8,0,0,98
"Stephen Milne",978,"SK","WC","1",12,6,1,13,0,0,0,2,1,4,0,0,0,0,0,2,11,0,0,1,0,1,98
"Allan Murray",1214,"SK","WC","1",1,0,3,4,0,0,0,3,0,1,1,1,0,1,0,2,2,0,0,3,2,0,53
"Justin Peckett",921,"SK","WC","1",9,5,3,12,0,1,0,2,1,1,0,2,0,2,0,2,10,0,0,2,0,0,72
"Stephen Powell",456,"SK","WC","1",6,5,7,13,0,1,0,6,0,2,4,0,1,0,0,5,10,0,1,0,0,0,58
"Nick Riewoldt",981,"SK","WC","1",15,11,2,17,1,1,3,0,0,2,0,2,2,1,0,3,14,1,2,1,0,0,100
"Andrew Thompson",957,"SK","WC","1",2,0,6,8,0,0,0,4,0,1,0,1,1,0,0,2,7,0,0,3,0,0,59
"Brett Voss",975,"SK","WC","1",11,8,5,16,1,0,0,5,4,1,0,1,0,1,0,4,10,0,0,3,0,1,94
"Fergus Watts",4038,"SK","WC","1",3,1,2,5,1,1,0,0,0,3,0,0,1,0,0,4,1,0,1,0,0,0,63
"Michael Braun",1058,"WC","SK","1",6,2,5,11,0,1,0,2,1,1,0,0,0,0,0,7,3,0,1,3,0,1,73
"Daniel Chick",649,"WC","SK","1",3,0,8,11,0,0,0,3,3,0,0,2,0,1,0,5,6,0,0,5,0,0,90
"Ben Cousins",1051,"WC","SK","1",18,4,9,27,1,0,0,1,2,4,4,2,1,0,0,10,19,0,0,4,1,0,88
"Dean Cox",1079,"WC","SK","1",14,8,12,26,2,0,24,3,2,2,6,2,4,1,2,11,15,1,0,4,2,0,71
"Andrew Embley",1065,"WC","SK","1",15,6,4,19,2,2,0,1,1,8,1,3,0,1,0,2,18,0,2,0,3,1,84
"Chad Fletcher",1067,"WC","SK","1",10,6,15,25,0,0,0,0,0,3,5,4,0,1,0,8,16,2,1,3,0,0,54
"Darren Glass",1068,"WC","SK","1",2,4,7,9,0,0,0,1,2,0,0,2,0,1,0,5,4,1,0,5,0,0,90
"Jaymie Graham",4074,"WC","SK","1",3,1,5,8,0,0,1,0,3,0,1,0,0,0,0,2,5,0,0,0,0,0,86
"Ashley Hansen",3985,"WC","SK","1",7,7,2,9,0,2,0,1,0,2,0,2,0,0,0,2,7,1,2,4,0,0,75
"Adam Hunter",1072,"WC","SK","1",11,8,11,22,0,0,0,2,4,2,0,2,0,2,0,8,14,3,0,1,0,0,93
"Rowan Jones",1064,"WC","SK","1",9,3,14,23,0,1,0,6,1,2,1,3,1,1,0,11,13,0,0,0,0,0,81
"Chris Judd",1122,"WC","SK","1",17,3,6,23,0,2,0,4,3,8,5,3,1,1,0,11,13,0,0,3,7,1,87
"Daniel Kerr",1077,"WC","SK","1",14,4,16,30,1,1,0,3,0,3,3,7,0,1,3,16,16,0,1,4,0,1,84
"Quinten Lynch",1160,"WC","SK","1",3,2,4,7,1,1,1,1,0,1,0,1,0,1,0,5,1,1,2,0,0,0,93
"Mark Nicoski",3970,"WC","SK","1",11,3,6,17,0,1,0,1,4,4,2,4,0,1,0,5,14,0,0,3,3,0,90
"Ashley Sampi",1195,"WC","SK","1",4,1,4,8,1,2,0,2,0,1,0,2,1,1,0,6,2,0,0,0,0,1,75
"Mark Seaby",3963,"WC","SK","1",1,0,1,2,0,0,15,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,67
"Adam Selwood",2310,"WC","SK","1",6,4,10,16,1,0,0,5,0,1,3,6,0,3,0,5,11,0,1,3,0,1,88
"Brent Staker",2304,"WC","SK","1",7,7,6,13,1,1,0,4,0,4,0,1,1,1,0,7,6,4,1,2,0,0,86
"Tyson Stenglein",75,"WC","SK","1",10,6,6,16,1,0,0,4,1,0,0,0,0,0,0,5,11,1,1,2,3,1,97
"Beau Waters",3960,"WC","SK","1",8,4,4,12,0,1,0,2,2,2,3,2,1,0,0,6,6,1,1,3,1,0,55
"David Wirrpanda",1053,"WC","SK","1",20,3,6,26,0,0,0,3,12,2,0,2,1,1,0,7,18,1,0,1,1,1,93
"Joel Bowden",890,"RI","WB","1",14,8,10,24,0,0,0,3,6,2,0,2,0,1,0,3,20,0,0,5,1,0,100
"Patrick Bowden",474,"RI","WB","1",14,10,8,22,1,1,0,1,5,2,0,2,1,0,0,5,16,1,1,4,0,0,90
"Nathan Brown",452,"RI","WB","1",12,5,6,18,0,2,0,2,2,4,1,5,0,2,0,4,14,0,1,1,1,1,90
