"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Sean Charles",183,"ME","NM","1",7,2,3,10,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alastair Clarkson",720,"ME","NM","1",17,8,6,23,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Jeff Farmer",703,"ME","NM","1",10,3,5,15,3,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
"Matthew Febey",691,"ME","NM","1",9,4,7,16,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Steven Febey",690,"ME","NM","1",9,2,1,10,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Damien Gaspar",712,"ME","NM","1",11,5,4,15,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Paul Hopgood",711,"ME","NM","1",8,1,3,11,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Anthony Ingerson",25,"ME","NM","1",4,4,5,9,1,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Andrew Leoncelli",724,"ME","NM","1",14,3,5,19,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brett Lovett",706,"ME","NM","1",4,0,4,8,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Glenn Lovett",692,"ME","NM","1",5,1,5,10,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Garry Lyon",695,"ME","NM","1",3,2,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"David Neitz",689,"ME","NM","1",3,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Nettelbeck",721,"ME","NM","1",13,7,2,15,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Andrew Obst",704,"ME","NM","1",7,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Pyman",247,"ME","NM","1",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Smith",697,"ME","NM","1",13,7,2,15,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Jim Stynes",702,"ME","NM","1",12,6,4,16,0,0,13,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
"Stephen Tingay",693,"ME","NM","1",10,0,7,17,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Todd Viney",700,"ME","NM","1",12,2,6,18,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Shane Woewodin",725,"ME","NM","1",7,5,2,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brett Allison",770,"NM","ME","1",10,2,6,16,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
