ateam,abehinds,winner,hgoals,ascore,unixtime,tz,timestr,complete,hteamid,updated,is_grand_final,roundname,localtime,year,ateamid,id,hscore,agoals,round,winnerteamid,venue,hbehinds,hteam,date,is_final
Melbourne,7,North Melbourne,19,73,1343448600,+10:00,Full Time,100,12,2018-06-26 12:17:10,0,Round 18,2012-07-28 14:10:00,2012,11,1726,127,11,18,12.0,Docklands,13,North Melbourne,2012-07-28 14:10:00,0
Fremantle,9,Fremantle,6,75,1343531400,+10:00,Full Time,100,13,2018-06-26 12:17:10,0,Round 18,2012-07-29 12:40:00,2012,6,1730,48,11,18,6.0,Football Park,12,Port Adelaide,2012-07-29 13:10:00,0
Western Bulldogs,6,St Kilda,16,42,1343538900,+10:00,Full Time,100,15,2018-06-26 12:17:10,0,Round 18,2012-07-29 15:15:00,2012,18,1731,118,6,18,15.0,Docklands,22,St Kilda,2012-07-29 15:15:00,0
Brisbane Lions,5,West Coast,28,77,1343544000,+10:00,Full Time,100,17,2018-06-26 12:17:10,0,Round 18,2012-07-29 14:40:00,2012,2,1732,175,12,18,17.0,Subiaco,7,West Coast,2012-07-29 16:40:00,0
Essendon,10,Adelaide,16,100,1344148800,+10:00,Full Time,100,1,2018-06-26 12:17:10,0,Round 19,2012-08-05 16:10:00,2012,5,1745,104,15,19,1.0,Football Park,8,Adelaide,2012-08-05 16:40:00,0
Richmond,12,Richmond,12,132,1344073200,+10:00,Full Time,100,2,2018-06-26 12:17:10,0,Round 19,2012-08-04 19:40:00,2012,14,1742,84,20,19,14.0,Gabba,12,Brisbane Lions,2012-08-04 19:40:00,0
Sydney,9,Sydney,10,93,1344143700,+10:00,Full Time,100,3,2018-06-26 12:17:10,0,Round 19,2012-08-05 15:15:00,2012,16,1744,71,14,19,16.0,Docklands,11,Carlton,2012-08-05 15:15:00,0
St Kilda,7,Collingwood,12,85,1344073200,+10:00,Full Time,100,4,2018-06-26 12:17:10,0,Round 19,2012-08-04 19:40:00,2012,15,1741,91,13,19,4.0,M.C.G.,19,Collingwood,2012-08-04 19:40:00,0
West Coast,12,Fremantle,17,48,1344062400,+10:00,Full Time,100,6,2018-06-26 12:17:10,0,Round 19,2012-08-04 14:40:00,2012,17,1740,113,6,19,6.0,Subiaco,11,Fremantle,2012-08-04 16:40:00,0
Port Adelaide,13,Greater Western Sydney,16,73,1344053400,+10:00,Full Time,100,9,2018-06-26 12:17:10,0,Round 19,2012-08-04 14:10:00,2012,13,1739,107,10,19,9.0,Sydney Showground,11,Greater Western Sydney,2012-08-04 14:10:00,0
Geelong,10,Geelong,17,118,1343987400,+10:00,Full Time,100,10,2018-06-26 12:17:10,0,Round 19,2012-08-03 19:50:00,2012,7,1733,116,18,19,7.0,M.C.G.,14,Hawthorn,2012-08-03 19:50:00,0
Gold Coast,12,Melbourne,16,66,1344136200,+10:00,Full Time,100,11,2018-06-26 12:17:10,0,Round 19,2012-08-05 13:10:00,2012,8,1743,108,9,19,11.0,M.C.G.,12,Melbourne,2012-08-05 13:10:00,0
North Melbourne,7,North Melbourne,8,115,1344051900,+10:00,Full Time,100,18,2018-06-26 12:17:10,0,Round 19,2012-08-04 13:45:00,2012,12,1734,61,18,19,12.0,Docklands,13,Western Bulldogs,2012-08-04 13:45:00,0
Fremantle,7,Adelaide,17,91,1344658200,+10:00,Full Time,100,1,2018-06-26 12:17:10,0,Round 20,2012-08-11 13:40:00,2012,6,1748,119,14,20,1.0,Football Park,17,Adelaide,2012-08-11 14:10:00,0
Brisbane Lions,17,Carlton,17,77,1344678000,+10:00,Full Time,100,3,2018-06-26 12:17:10,0,Round 20,2012-08-11 19:40:00,2012,2,1751,113,10,20,3.0,Docklands,11,Carlton,2012-08-11 19:40:00,0
North Melbourne,10,North Melbourne,11,100,1344753600,+10:00,Full Time,100,5,2018-06-26 12:17:10,0,Round 20,2012-08-12 16:40:00,2012,12,1754,76,15,20,12.0,Docklands,10,Essendon,2012-08-12 16:40:00,0
Greater Western Sydney,7,Gold Coast,16,79,1344667200,+10:00,Full Time,100,8,2018-06-26 12:17:10,0,Round 20,2012-08-11 16:40:00,2012,9,1749,109,12,20,8.0,Carrara,13,Gold Coast,2012-08-11 16:40:00,0
Port Adelaide,9,Hawthorn,24,87,1344741000,+10:00,Full Time,100,10,2018-06-26 12:17:10,0,Round 20,2012-08-12 13:10:00,2012,13,1752,159,13,20,10.0,University of Tasmania Stadium,15,Hawthorn,2012-08-12 13:10:00,0
Western Bulldogs,8,Richmond,22,80,1344748500,+10:00,Full Time,100,14,2018-06-26 12:17:10,0,Round 20,2012-08-12 15:15:00,2012,18,1753,150,12,20,14.0,M.C.G.,18,Richmond,2012-08-12 15:15:00,0
Melbourne,10,St Kilda,16,82,1344656700,+10:00,Full Time,100,15,2018-06-26 12:17:10,0,Round 20,2012-08-11 13:45:00,2012,11,1747,107,12,20,15.0,M.C.G.,11,St Kilda,2012-08-11 13:45:00,0
Collingwood,6,Collingwood,9,78,1344678000,+10:00,Full Time,100,16,2018-06-26 12:17:10,0,Round 20,2012-08-11 19:40:00,2012,4,1750,70,12,20,4.0,Stadium Australia,16,Sydney,2012-08-11 19:40:00,0
Geelong,7,West Coast,16,97,1344595200,+10:00,Full Time,100,17,2018-06-26 12:17:10,0,Round 20,2012-08-10 18:40:00,2012,7,1746,102,15,20,17.0,Subiaco,6,West Coast,2012-08-10 20:40:00,0
Adelaide,13,Brisbane Lions,13,85,1345282800,+10:00,Full Time,100,2,2018-06-26 12:17:11,0,Round 21,2012-08-18 19:40:00,2012,1,1769,95,12,21,2.0,Gabba,17,Brisbane Lions,2012-08-18 19:40:00,0
North Melbourne,13,North Melbourne,8,91,1345282800,+10:00,Full Time,100,4,2018-06-26 12:17:11,0,Round 21,2012-08-18 19:40:00,2012,12,1768,61,13,21,12.0,Docklands,13,Collingwood,2012-08-18 19:40:00,0
Carlton,12,Carlton,8,156,1345261500,+10:00,Full Time,100,5,2018-06-26 12:17:11,0,Round 21,2012-08-18 13:45:00,2012,3,1765,60,24,21,3.0,M.C.G.,12,Essendon,2012-08-18 13:45:00,0
Richmond,6,Fremantle,13,72,1345272000,+10:00,Full Time,100,6,2018-06-26 12:17:11,0,Round 21,2012-08-18 14:40:00,2012,14,1767,94,11,21,6.0,Subiaco,16,Fremantle,2012-08-18 16:40:00,0
St Kilda,15,Geelong,18,81,1345197000,+10:00,Full Time,100,7,2018-06-26 12:17:11,0,Round 21,2012-08-17 19:50:00,2012,15,1764,123,11,21,7.0,Docklands,15,Geelong,2012-08-17 19:50:00,0
Melbourne,18,Melbourne,9,84,1345263000,+10:00,Full Time,100,9,2018-06-26 12:17:11,0,Round 21,2012-08-18 14:10:00,2012,11,1766,59,11,21,11.0,UNSW Canberra Oval,5,Greater Western Sydney,2012-08-18 14:10:00,0
Gold Coast,5,Hawthorn,19,65,1345358400,+10:00,Full Time,100,10,2018-06-26 12:17:11,0,Round 21,2012-08-19 16:40:00,2012,8,1772,129,10,21,10.0,M.C.G.,15,Hawthorn,2012-08-19 16:40:00,0
West Coast,14,West Coast,6,98,1345345800,+10:00,Full Time,100,13,2018-06-26 12:17:11,0,Round 21,2012-08-19 12:40:00,2012,17,1770,50,14,21,17.0,Football Park,14,Port Adelaide,2012-08-19 13:10:00,0
Sydney,11,Sydney,13,167,1345353300,+10:00,Full Time,100,18,2018-06-26 12:17:11,0,Round 21,2012-08-19 15:15:00,2012,16,1771,85,26,21,16.0,Docklands,7,Western Bulldogs,2012-08-19 15:15:00,0
Western Bulldogs,7,Geelong,16,73,1345950600,+10:00,Full Time,100,7,2018-06-26 12:17:11,0,Round 22,2012-08-26 13:10:00,2012,18,1789,107,11,22,7.0,GMHBA Stadium,11,Geelong,2012-08-26 13:10:00,0
Carlton,20,Gold Coast,15,86,1345887600,+10:00,Full Time,100,8,2018-06-26 12:17:11,0,Round 22,2012-08-25 19:40:00,2012,3,1788,98,11,22,8.0,Carrara,8,Gold Coast,2012-08-25 19:40:00,0
Adelaide,18,Adelaide,11,150,1345963200,+10:00,Full Time,100,11,2018-06-26 12:17:11,0,Round 22,2012-08-26 16:40:00,2012,1,1791,81,22,22,1.0,M.C.G.,15,Melbourne,2012-08-26 16:40:00,0
Fremantle,12,Fremantle,12,132,1345958100,+10:00,Full Time,100,12,2018-06-26 12:17:11,0,Round 22,2012-08-26 15:15:00,2012,6,1790,79,20,22,6.0,Docklands,7,North Melbourne,2012-08-26 15:15:00,0
Brisbane Lions,8,Brisbane Lions,14,104,1345867800,+10:00,Full Time,100,13,2018-06-26 12:17:11,0,Round 22,2012-08-25 13:40:00,2012,2,1785,93,16,22,2.0,Football Park,9,Port Adelaide,2012-08-25 14:10:00,0
Essendon,9,Richmond,13,57,1345801800,+10:00,Full Time,100,14,2018-06-26 12:17:11,0,Round 22,2012-08-24 19:50:00,2012,5,1773,102,8,22,14.0,M.C.G.,24,Richmond,2012-08-24 19:50:00,0
Greater Western Sydney,5,St Kilda,25,35,1345866300,+10:00,Full Time,100,15,2018-06-26 12:17:11,0,Round 22,2012-08-25 13:45:00,2012,9,1774,163,5,22,15.0,Docklands,13,St Kilda,2012-08-25 13:45:00,0
Hawthorn,12,Hawthorn,14,102,1345876800,+10:00,Full Time,100,16,2018-06-26 12:17:11,0,Round 22,2012-08-25 16:40:00,2012,10,1786,95,15,22,10.0,S.C.G.,11,Sydney,2012-08-25 16:40:00,0
Collingwood,10,West Coast,15,58,1345887600,+10:00,Full Time,100,17,2018-06-26 12:17:11,0,Round 22,2012-08-25 17:40:00,2012,4,1787,107,8,22,17.0,Subiaco,17,West Coast,2012-08-25 19:40:00,0
Gold Coast,8,Adelaide,22,62,1346472600,+10:00,Full Time,100,1,2018-06-26 12:17:11,0,Round 23,2012-09-01 13:40:00,2012,8,1794,153,9,23,1.0,Football Park,21,Adelaide,2012-09-01 14:10:00,0
Western Bulldogs,7,Brisbane Lions,19,61,1346568000,+10:00,Full Time,100,2,2018-06-26 12:17:11,0,Round 23,2012-09-02 16:40:00,2012,18,1803,128,9,23,2.0,Gabba,14,Brisbane Lions,2012-09-02 16:40:00,0
St Kilda,10,St Kilda,12,106,1346555400,+10:00,Full Time,100,3,2018-06-26 12:17:11,0,Round 23,2012-09-02 13:10:00,2012,15,1801,91,16,23,15.0,Docklands,19,Carlton,2012-09-02 13:10:00,0
Collingwood,20,Collingwood,10,104,1346492400,+10:00,Full Time,100,5,2018-06-26 12:17:11,0,Round 23,2012-09-01 19:40:00,2012,4,1799,72,14,23,4.0,M.C.G.,12,Essendon,2012-09-01 19:40:00,0
Melbourne,10,Fremantle,14,40,1346492400,+10:00,Full Time,100,6,2018-06-26 12:17:11,0,Round 23,2012-09-01 17:40:00,2012,11,1800,101,5,23,6.0,Subiaco,17,Fremantle,2012-09-01 19:40:00,0
Sydney,12,Geelong,17,78,1346471100,+10:00,Full Time,100,7,2018-06-26 12:17:11,0,Round 23,2012-09-01 13:45:00,2012,16,1793,112,11,23,7.0,GMHBA Stadium,10,Geelong,2012-09-01 13:45:00,0
North Melbourne,9,North Melbourne,11,105,1346481600,+10:00,Full Time,100,9,2018-06-26 12:17:11,0,Round 23,2012-09-01 16:40:00,2012,12,1798,77,16,23,12.0,Sydney Showground,11,Greater Western Sydney,2012-09-01 16:40:00,0
West Coast,10,Hawthorn,14,70,1346406600,+10:00,Full Time,100,10,2018-06-26 12:17:11,0,Round 23,2012-08-31 19:50:00,2012,17,1792,95,10,23,10.0,M.C.G.,11,Hawthorn,2012-08-31 19:50:00,0
Port Adelaide,10,,16,106,1346562900,+10:00,Full Time,100,14,2018-06-26 12:17:11,0,Round 23,2012-09-02 15:15:00,2012,13,1802,106,16,23,,M.C.G.,10,Richmond,2012-09-02 15:15:00,0
Sydney,5,Sydney,5,71,1347081300,+10:00,Full Time,100,1,2018-06-26 12:17:11,0,Finals Week 1,2012-09-08 14:45:00,2012,16,1805,42,11,24,16.0,Football Park,12,Adelaide,2012-09-08 15:15:00,3
Fremantle,12,Fremantle,11,96,1347097500,+10:00,Full Time,100,7,2018-06-26 12:17:11,0,Finals Week 1,2012-09-08 19:45:00,2012,6,1806,80,14,24,6.0,M.C.G.,14,Geelong,2012-09-08 19:45:00,2
Collingwood,7,Hawthorn,20,97,1347011400,+10:00,Full Time,100,10,2018-06-26 12:17:11,0,Finals Week 1,2012-09-07 19:50:00,2012,4,1804,135,15,24,10.0,M.C.G.,15,Hawthorn,2012-09-07 19:50:00,3
North Melbourne,12,West Coast,24,66,1347167700,+10:00,Full Time,100,17,2018-06-26 12:17:11,0,Finals Week 1,2012-09-09 13:15:00,2012,12,1807,162,9,24,17.0,Subiaco,18,West Coast,2012-09-09 15:15:00,2
Fremantle,5,Adelaide,12,71,1347619200,+10:00,Full Time,100,1,2018-06-26 12:17:11,0,Semi-Finals,2012-09-14 20:10:00,2012,6,1808,81,11,25,1.0,Football Park,9,Adelaide,2012-09-14 20:40:00,4
West Coast,6,Collingwood,10,60,1347702300,+10:00,Full Time,100,4,2018-06-26 12:17:11,0,Semi-Finals,2012-09-15 19:45:00,2012,17,1809,73,9,25,4.0,M.C.G.,13,Collingwood,2012-09-15 19:45:00,4
Adelaide,8,Hawthorn,13,92,1348298100,+10:00,Full Time,100,10,2018-06-26 12:17:11,0,Preliminary Finals,2012-09-22 17:15:00,2012,1,1811,97,14,26,10.0,M.C.G.,19,Hawthorn,2012-09-22 17:15:00,5
Collingwood,10,Sydney,13,70,1348221000,+10:00,Full Time,100,16,2018-06-26 12:17:11,0,Preliminary Finals,2012-09-21 19:50:00,2012,4,1810,96,10,26,16.0,Stadium Australia,18,Sydney,2012-09-21 19:50:00,5
Sydney,7,Sydney,11,91,1348893000,+10:00,Full Time,100,10,2018-06-26 12:17:11,1,Grand Final,2012-09-29 14:30:00,2012,16,1812,81,14,27,16.0,M.C.G.,15,Hawthorn,2012-09-29 14:30:00,6
