tz,complete,timestr,hteamid,updated,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,agoals,hscore,round,winnerteamid,hteam,hbehinds,venue,date,is_final,roundname,localtime,year,ateamid,id
+10:00,100,Full Time,14,2018-06-26 12:17:58,0,St Kilda,12,Richmond,72,15,1408862400,10,98,22,14.0,Richmond,8,M.C.G.,2014-08-24 16:40:00,0,Round 22,2014-08-24 16:40:00,2014,15,2563
+10:00,100,Full Time,17,2018-06-26 12:17:58,0,Melbourne,5,West Coast,53,18,1408786800,8,119,22,17.0,West Coast,11,Subiaco,2014-08-23 19:40:00,0,Round 22,2014-08-23 17:40:00,2014,11,2560
+10:00,100,Full Time,18,2018-06-26 12:17:58,0,Sydney,10,Sydney,130,9,1408857600,20,67,22,16.0,Western Bulldogs,13,Docklands,2014-08-24 15:20:00,0,Round 22,2014-08-24 15:20:00,2014,16,2562
+10:00,100,Full Time,1,2018-06-26 12:17:58,0,St Kilda,8,Adelaide,62,22,1409462400,9,141,23,1.0,Adelaide,9,Adelaide Oval,2014-08-31 15:20:00,0,Round 23,2014-08-31 14:50:00,2014,15,2571
+10:00,100,Full Time,3,2018-06-26 12:17:58,0,Essendon,12,,90,14,1409370300,13,90,23,,Carlton,6,M.C.G.,2014-08-30 13:45:00,0,Round 23,2014-08-30 13:45:00,2014,5,2565
+10:00,100,Full Time,4,2018-06-26 12:17:58,0,Hawthorn,13,Hawthorn,121,8,1409305800,18,56,23,10.0,Collingwood,8,M.C.G.,2014-08-29 19:50:00,0,Round 23,2014-08-29 19:50:00,2014,10,2564
+10:00,100,Full Time,6,2018-06-26 12:17:58,0,Port Adelaide,13,Fremantle,97,16,1409375400,14,105,23,6.0,Fremantle,9,Subiaco,2014-08-30 15:10:00,0,Round 23,2014-08-30 13:10:00,2014,13,2566
+10:00,100,Full Time,7,2018-06-26 12:17:58,0,Brisbane Lions,9,Geelong,81,21,1409391600,12,143,23,7.0,Geelong,17,GMHBA Stadium,2014-08-30 19:40:00,0,Round 23,2014-08-30 19:40:00,2014,2,2568
+10:00,100,Full Time,8,2018-06-26 12:17:58,0,West Coast,13,West Coast,151,15,1409454600,23,99,23,17.0,Gold Coast,9,Carrara,2014-08-31 13:10:00,0,Round 23,2014-08-31 13:10:00,2014,17,2570
+10:00,100,Full Time,12,2018-06-26 12:17:58,0,Melbourne,9,North Melbourne,93,19,1409391600,14,123,23,12.0,North Melbourne,9,Docklands,2014-08-30 19:40:00,0,Round 23,2014-08-30 19:40:00,2014,11,2569
+10:00,100,Full Time,16,2018-06-26 12:17:58,0,Richmond,8,Richmond,68,9,1409380800,10,65,23,14.0,Sydney,11,Stadium Australia,2014-08-30 16:40:00,0,Round 23,2014-08-30 16:40:00,2014,14,2567
+10:00,100,Full Time,18,2018-06-26 12:17:58,0,Greater Western Sydney,7,Greater Western Sydney,115,15,1409467200,18,109,23,9.0,Western Bulldogs,19,Docklands,2014-08-31 16:40:00,0,Round 23,2014-08-31 16:40:00,2014,9,2572
+10:00,100,Full Time,10,2018-06-26 12:17:58,0,Geelong,8,Hawthorn,68,15,1409910600,10,104,24,10.0,Hawthorn,14,M.C.G.,2014-09-05 19:50:00,3,Finals Week 1,2014-09-05 19:50:00,2014,7,2573
+10:00,100,Full Time,12,2018-06-26 12:17:59,0,Essendon,9,North Melbourne,81,14,1409994900,12,93,24,12.0,North Melbourne,9,M.C.G.,2014-09-06 19:15:00,2,Finals Week 1,2014-09-06 19:15:00,2014,5,2586
+10:00,100,Full Time,13,2018-06-26 12:17:59,0,Richmond,9,Port Adelaide,75,20,1410067200,11,132,24,13.0,Port Adelaide,12,Adelaide Oval,2014-09-07 15:20:00,2,Finals Week 1,2014-09-07 14:50:00,2014,14,2587
+10:00,100,Full Time,16,2018-06-26 12:17:58,0,Fremantle,9,Sydney,69,13,1409978700,10,93,24,16.0,Sydney,15,Stadium Australia,2014-09-06 14:45:00,3,Finals Week 1,2014-09-06 14:45:00,2014,6,2574
+10:00,100,Full Time,6,2018-06-26 12:17:59,0,Port Adelaide,15,Port Adelaide,105,11,1410601500,15,83,25,13.0,Fremantle,17,Subiaco,2014-09-13 19:45:00,4,Semi-Finals,2014-09-13 17:45:00,2014,13,2589
+10:00,100,Full Time,7,2018-06-26 12:17:59,0,North Melbourne,14,North Melbourne,98,13,1410515400,14,92,25,12.0,Geelong,14,M.C.G.,2014-09-12 19:50:00,4,Semi-Finals,2014-09-12 19:50:00,2014,12,2588
+10:00,100,Full Time,10,2018-06-26 12:17:59,0,Port Adelaide,16,Hawthorn,94,15,1411195500,13,97,26,10.0,Hawthorn,7,M.C.G.,2014-09-20 16:45:00,5,Preliminary Finals,2014-09-20 16:45:00,2014,13,2591
+10:00,100,Full Time,16,2018-06-26 12:17:59,0,North Melbourne,11,Sydney,65,19,1411120200,9,136,26,16.0,Sydney,22,Stadium Australia,2014-09-19 19:50:00,5,Preliminary Finals,2014-09-19 19:50:00,2014,12,2590
+10:00,100,Full Time,16,2018-06-26 12:17:59,1,Hawthorn,11,Hawthorn,137,11,1411792200,21,74,27,10.0,Sydney,8,M.C.G.,2014-09-27 14:30:00,6,Grand Final,2014-09-27 14:30:00,2014,10,2592
