complete,timestr,tz,is_grand_final,updated,hteamid,ascore,hgoals,winner,ateam,abehinds,unixtime,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals,is_final,date,year,localtime,roundname,id,ateamid
100,Full Time,+10:00,0,2018-08-26 15:46:03,2,98,11,West Coast,West Coast,14,1535253000,Gabba,Brisbane Lions,6,17.0,23,72,14,0,2018-08-26 13:10:00,2018,2018-08-26 13:10:00,Round 23,685,17
100,Full Time,+10:00,0,2018-08-25 22:00:02,3,165,8,Adelaide,Adelaide,9,1535189100,Docklands,Carlton,13,1.0,23,61,26,0,2018-08-25 19:25:00,2018,2018-08-25 19:25:00,Round 23,670,1
100,Full Time,+10:00,0,2018-08-25 19:08:02,6,76,9,Collingwood,Collingwood,10,1535178900,Optus Stadium,Fremantle,13,4.0,23,67,11,0,2018-08-25 16:35:00,2018,2018-08-25 14:35:00,Round 23,689,4
100,Full Time,+10:00,0,2018-08-25 16:18:02,7,40,22,Geelong,Gold Coast,10,1535168700,GMHBA Stadium,Geelong,10,7.0,23,142,5,0,2018-08-25 13:45:00,2018,2018-08-25 13:45:00,Round 23,671,8
100,Full Time,+10:00,0,2018-08-26 17:48:03,11,57,15,Melbourne,Greater Western Sydney,9,1535260800,M.C.G.,Melbourne,12,11.0,23,102,8,0,2018-08-26 15:20:00,2018,2018-08-26 15:20:00,Round 23,687,9
100,Full Time,+10:00,0,2018-08-24 22:28:02,13,111,13,Essendon,Essendon,9,1535104200,Adelaide Oval,Port Adelaide,11,5.0,23,89,17,0,2018-08-24 19:50:00,2018,2018-08-24 19:20:00,Round 23,688,5
100,Full Time,+10:00,0,2018-08-25 16:42:03,14,95,15,Richmond,Western Bulldogs,11,1535170200,M.C.G.,Richmond,8,14.0,23,98,14,0,2018-08-25 14:10:00,2018,2018-08-25 14:10:00,Round 23,683,18
100,Full Time,+10:00,0,2018-08-26 19:12:02,15,117,14,North Melbourne,North Melbourne,15,1535265600,Docklands,St Kilda,10,12.0,23,94,17,0,2018-08-26 16:40:00,2018,2018-08-26 16:40:00,Round 23,686,12
100,Full Time,+10:00,0,2018-08-25 22:04:03,16,83,10,Hawthorn,Hawthorn,11,1535189100,S.C.G.,Sydney,14,10.0,23,74,12,0,2018-08-25 19:25:00,2018,2018-08-25 19:25:00,Round 23,684,10
100,Full Time,+10:00,0,2018-09-07 22:20:02,11,46,10,Melbourne,Geelong,10,1536313800,M.C.G.,Melbourne,15,11.0,24,75,6,2,2018-09-07 19:50:00,2018,2018-09-07 19:50:00,Finals Week 1,2953,7
100,Full Time,+10:00,0,2018-09-06 21:58:01,14,64,13,Richmond,Hawthorn,10,1536225600,M.C.G.,Richmond,17,14.0,24,95,9,3,2018-09-06 19:20:00,2018,2018-09-06 19:20:00,Finals Week 1,2952,10
100,Full Time,+10:00,0,2018-09-08 18:46:02,16,79,4,Greater Western Sydney,Greater Western Sydney,19,1536387600,S.C.G.,Sydney,6,9.0,24,30,10,2,2018-09-08 16:20:00,2018,2018-09-08 16:20:00,Finals Week 1,2954,9
100,Full Time,+10:00,0,2018-09-08 22:50:02,17,70,12,West Coast,Collingwood,10,1536401400,Perth Stadium,West Coast,14,17.0,24,86,10,3,2018-09-08 20:10:00,2018,2018-09-08 18:10:00,Finals Week 1,2955,4
100,Full Time,+10:00,0,2018-09-15 21:52:02,4,59,9,Collingwood,Greater Western Sydney,5,1537003500,M.C.G.,Collingwood,15,4.0,25,69,9,4,2018-09-15 19:25:00,2018,2018-09-15 19:25:00,Semi-Finals,2961,9
100,Full Time,+10:00,0,2018-09-14 22:22:03,10,104,10,Melbourne,Melbourne,8,1536918600,M.C.G.,Hawthorn,11,11.0,25,71,16,4,2018-09-14 19:50:00,2018,2018-09-14 19:50:00,Semi-Finals,2960,11
100,Full Time,+10:00,0,2018-09-21 22:26:02,14,97,8,Collingwood,Collingwood,7,1537523400,M.C.G.,Richmond,10,4.0,26,58,15,5,2018-09-21 19:50:00,2018,2018-09-21 19:50:00,Preliminary Finals,2998,4
100,Full Time,+10:00,0,2018-09-22 18:00:03,17,55,18,West Coast,Melbourne,13,1537593600,Perth Stadium,West Coast,13,17.0,26,121,7,5,2018-09-22 15:20:00,2018,2018-09-22 13:20:00,Preliminary Finals,2999,11
100,Full Time,+10:00,1,2018-09-29 17:14:02,17,74,11,West Coast,Collingwood,8,1538195400,M.C.G.,West Coast,13,17.0,27,79,11,6,2018-09-29 14:30:00,2018,2018-09-29 14:30:00,Grand Final,3048,4
