is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,10,Full Time,100,+10:00,1177211400,Hawthorn,72,10,Geelong,18,0,2007-04-22 13:10:00,16,Hawthorn,York Park,10.0,4,76,9,9445,7,2007-04-22 13:10:00,2007,Round 4
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1177215000,Fremantle,137,13,Fremantle,11,0,2007-04-22 14:10:00,14,Melbourne,M.C.G.,6.0,4,92,21,9446,6,2007-04-22 14:10:00,2007,Round 4
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1177146900,North Melbourne,63,12,Brisbane Lions,15,0,2007-04-21 19:15:00,15,North Melbourne,Carrara,12.0,4,87,8,9443,2,2007-04-21 19:15:00,2007,Round 4
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1177062000,Western Bulldogs,132,14,Western Bulldogs,12,0,2007-04-20 19:40:00,16,Richmond,M.C.G.,18.0,4,100,20,9440,18,2007-04-20 19:40:00,2007,Round 4
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1177128600,Essendon,99,9,Essendon,9,0,2007-04-21 14:10:00,14,St Kilda,Docklands,5.0,4,68,15,9442,5,2007-04-21 14:10:00,2007,Round 4
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1177216800,West Coast,39,14,Carlton,15,0,2007-04-22 14:40:00,16,West Coast,Subiaco,17.0,4,100,4,9447,3,2007-04-22 12:40:00,2007,Round 4
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1177751400,Brisbane Lions,136,18,Brisbane Lions,10,0,2007-04-28 19:10:00,16,Carlton,Docklands,2.0,5,124,21,9451,2,2007-04-28 19:10:00,2007,Round 5
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1177476000,Collingwood,95,11,Collingwood,23,0,2007-04-25 14:40:00,13,Essendon,M.C.G.,4.0,5,79,12,9448,4,2007-04-25 14:40:00,2007,Round 5
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1177821900,Fremantle,57,7,Adelaide,9,0,2007-04-29 14:45:00,16,Fremantle,Subiaco,6.0,5,58,8,9455,1,2007-04-29 12:45:00,2007,Round 5
0,2022-01-25 11:07:11,7,Full Time,100,+10:00,1177820100,North Melbourne,118,15,North Melbourne,10,0,2007-04-29 14:15:00,12,Geelong,Kardinia Park,12.0,5,102,18,9454,12,2007-04-29 14:15:00,2007,Round 5
