unixtime,winner,ascore,hgoals,ateam,abehinds,is_grand_final,hteamid,updated,timestr,complete,tz,ateamid,id,roundname,localtime,year,is_final,date,winnerteamid,hteam,venue,hbehinds,agoals,hscore,round
987912600,North Melbourne,53,4,North Melbourne,11,0,7,2022-01-25 11:07:27,Full Time,100,+10:00,12,10556,Round 4,2001-04-22 14:10:00,2001,0,2001-04-22 14:10:00,12,Geelong,Kardinia Park,9,7,33,4
987912600,Hawthorn,44,11,Melbourne,14,0,10,2022-01-25 11:07:28,Full Time,100,+10:00,11,10557,Round 4,2001-04-22 14:10:00,2001,0,2001-04-22 14:10:00,10,Hawthorn,M.C.G.,17,5,83,4
987844200,Port Adelaide,50,17,St Kilda,8,0,13,2022-01-25 11:07:27,Full Time,100,+10:00,15,10554,Round 4,2001-04-21 18:40:00,2001,0,2001-04-21 19:10:00,13,Port Adelaide,Football Park,12,7,114,4
987759600,Essendon,102,6,Essendon,12,0,16,2022-01-25 11:07:27,Full Time,100,+10:00,5,10551,Round 4,2001-04-20 19:40:00,2001,0,2001-04-20 19:40:00,5,Sydney,S.C.G.,19,15,55,4
987826200,Western Bulldogs,87,21,Brisbane Lions,15,0,18,2022-01-25 11:07:27,Full Time,100,+10:00,2,10553,Round 4,2001-04-21 14:10:00,2001,0,2001-04-21 14:10:00,18,Western Bulldogs,Docklands,14,12,140,4
988449000,Adelaide,75,12,North Melbourne,15,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,12,10562,Round 5,2001-04-28 18:40:00,2001,0,2001-04-28 19:10:00,1,Adelaide,Football Park,18,10,90,5
988517400,Brisbane Lions,122,25,Fremantle,8,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,6,10563,Round 5,2001-04-29 14:10:00,2001,0,2001-04-29 14:10:00,2,Brisbane Lions,Gabba,21,19,171,5
988431000,Carlton,92,17,St Kilda,8,0,3,2022-01-25 11:07:28,Full Time,100,+10:00,15,10560,Round 5,2001-04-28 14:10:00,2001,0,2001-04-28 14:10:00,3,Carlton,Princes Park,23,14,125,5
988172100,Essendon,95,15,Collingwood,11,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,4,10558,Round 5,2001-04-25 14:15:00,2001,0,2001-04-25 14:15:00,5,Essendon,M.C.G.,13,14,103,5
988517400,Port Adelaide,148,15,Port Adelaide,10,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,13,10564,Round 5,2001-04-29 14:10:00,2001,0,2001-04-29 14:10:00,13,Geelong,Kardinia Park,12,23,102,5
988517400,Melbourne,104,18,Sydney,14,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,16,10565,Round 5,2001-04-29 14:10:00,2001,0,2001-04-29 14:10:00,11,Melbourne,M.C.G.,11,15,119,5
988360800,Richmond,109,11,Richmond,7,0,17,2022-01-25 11:07:28,Full Time,100,+10:00,14,10559,Round 5,2001-04-27 16:40:00,2001,0,2001-04-27 18:40:00,14,West Coast,Subiaco,4,17,70,5
988431000,Hawthorn,155,19,Hawthorn,11,0,18,2022-01-25 11:07:28,Full Time,100,+10:00,10,10561,Round 5,2001-04-28 14:10:00,2001,0,2001-04-28 14:10:00,10,Western Bulldogs,Docklands,12,24,126,5
989055600,Brisbane Lions,61,17,Geelong,13,0,2,2022-01-25 11:07:28,Full Time,100,+10:00,7,10570,Round 6,2001-05-05 19:40:00,2001,0,2001-05-05 19:40:00,2,Brisbane Lions,Gabba,14,8,116,6
989122500,Collingwood,95,15,Carlton,11,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,3,10573,Round 6,2001-05-06 14:15:00,2001,0,2001-05-06 14:15:00,4,Collingwood,M.C.G.,13,14,103,6
