venue,hbehinds,hteam,winnerteamid,round,agoals,hscore,is_final,date,year,localtime,roundname,id,ateamid,timestr,complete,tz,is_grand_final,updated,hteamid,ascore,winner,hgoals,abehinds,ateam,unixtime
Bellerive Oval,9,North Melbourne,9.0,13,15,75,0,2023-06-11 15:20:00,2023,2023-06-11 15:20:00,Round 13,34371,9,Full Time,100,+10:00,0,2023-06-11 17:54:00,12,103,Greater Western Sydney,11,13,Greater Western Sydney,1686460800
S.C.G.,12,Sydney,15.0,13,12,66,0,2023-06-08 19:10:00,2023,2023-06-08 19:10:00,Round 13,34366,15,Full Time,100,+10:00,0,2023-06-08 21:47:54,16,80,St Kilda,9,8,St Kilda,1686215400
Docklands,7,Western Bulldogs,13.0,13,16,85,0,2023-06-09 19:50:00,2023,2023-06-09 19:50:00,Round 13,34367,13,Full Time,100,+10:00,0,2023-06-09 22:26:58,18,107,Port Adelaide,13,11,Port Adelaide,1686304200
Gabba,19,Brisbane Lions,2.0,14,12,97,0,2023-06-16 19:50:00,2023,2023-06-16 19:50:00,Round 14,34375,16,Full Time,100,+10:00,0,2023-06-16 22:34:36,2,81,Brisbane Lions,13,9,Sydney,1686909000
M.C.G.,12,Carlton,3.0,14,8,120,0,2023-06-18 13:10:00,2023,2023-06-18 13:10:00,Round 14,34378,8,Full Time,100,+10:00,0,2023-06-18 15:48:21,3,61,Carlton,18,13,Gold Coast,1687057800
Sydney Showground,10,Greater Western Sydney,9.0,14,5,106,0,2023-06-17 16:35:00,2023,2023-06-17 16:35:00,Round 14,34376,6,Full Time,100,+10:00,0,2023-06-17 19:04:56,9,36,Greater Western Sydney,16,6,Fremantle,1686983700
Docklands,6,North Melbourne,18.0,14,15,84,0,2023-06-18 16:40:00,2023,2023-06-18 16:40:00,Round 14,34379,18,Full Time,100,+10:00,0,2023-06-18 19:18:38,12,105,Western Bulldogs,13,15,Western Bulldogs,1687070400
Adelaide Oval,14,Port Adelaide,13.0,14,11,110,0,2023-06-15 19:40:00,2023,2023-06-15 19:10:00,Round 14,34374,7,Full Time,100,+10:00,0,2023-06-15 22:47:04,13,72,Port Adelaide,16,6,Geelong,1686822000
M.C.G.,12,Richmond,14.0,14,11,90,0,2023-06-17 19:25:00,2023,2023-06-17 19:25:00,Round 14,34377,15,Full Time,100,+10:00,0,2023-06-17 22:04:52,14,70,Richmond,13,4,St Kilda,1686993900
M.C.G.,10,Collingwood,4.0,15,11,82,0,2023-06-25 13:10:00,2023,2023-06-25 13:10:00,Round 15,34384,1,Full Time,100,+10:00,0,2023-06-25 15:47:41,4,80,Collingwood,12,14,Adelaide,1687662600
Perth Stadium,9,Fremantle,6.0,15,9,93,0,2023-06-24 19:25:00,2023,2023-06-24 17:25:00,Round 15,34383,5,Full Time,100,+10:00,0,2023-06-24 22:03:41,6,61,Fremantle,14,7,Essendon,1687598700
Kardinia Park,12,Geelong,7.0,15,8,78,0,2023-06-22 19:20:00,2023,2023-06-22 19:20:00,Round 15,34380,11,Full Time,100,+10:00,0,2023-06-22 22:04:01,7,63,Geelong,11,15,Melbourne,1687425600
Carrara,17,Gold Coast,8.0,15,5,101,0,2023-06-25 16:40:00,2023,2023-06-25 16:40:00,Round 15,34385,10,Full Time,100,+10:00,0,2023-06-25 19:09:44,8,34,Gold Coast,14,4,Hawthorn,1687675200
Docklands,8,St Kilda,2.0,15,12,56,0,2023-06-23 19:50:00,2023,2023-06-23 19:50:00,Round 15,34381,2,Full Time,100,+10:00,0,2023-06-23 22:23:19,15,84,Brisbane Lions,8,12,Brisbane Lions,1687513800
S.C.G.,19,Sydney,16.0,15,5,205,0,2023-06-24 16:35:00,2023,2023-06-24 16:35:00,Round 15,34382,17,Full Time,100,+10:00,0,2023-06-24 19:22:18,16,34,Sydney,31,4,West Coast,1687588500
Adelaide Oval,12,Adelaide,1.0,16,11,138,0,2023-07-01 13:45:00,2023,2023-07-01 13:15:00,Round 16,34392,12,Full Time,100,+10:00,0,2023-07-01 16:33:24,1,72,Adelaide,21,6,North Melbourne,1688183100
Gabba,14,Brisbane Lions,2.0,16,7,134,0,2023-06-29 19:20:00,2023,2023-06-29 19:20:00,Round 16,34386,14,Full Time,100,+10:00,0,2023-06-29 22:00:01,2,53,Brisbane Lions,20,11,Richmond,1688030400
M.C.G.,14,Essendon,13.0,16,11,74,0,2023-07-01 19:25:00,2023,2023-07-01 19:25:00,Round 16,34387,13,Full Time,100,+10:00,0,2023-07-01 21:58:59,5,78,Port Adelaide,10,12,Port Adelaide,1688203500
Carrara,12,Gold Coast,4.0,16,18,42,0,2023-07-01 16:35:00,2023,2023-07-01 16:35:00,Round 16,34388,4,Full Time,100,+10:00,0,2023-07-01 19:08:57,8,120,Collingwood,5,12,Collingwood,1688193300
M.C.G.,10,Hawthorn,3.0,16,17,52,0,2023-07-02 13:10:00,2023,2023-07-02 13:10:00,Round 16,34389,3,Full Time,100,+10:00,0,2023-07-02 15:47:07,10,112,Carlton,7,10,Carlton,1688267400
Traeger Park,15,Melbourne,9.0,16,7,45,0,2023-07-02 15:20:00,2023,2023-07-02 14:50:00,Round 16,34393,9,Full Time,100,+10:00,0,2023-07-02 17:47:03,11,47,Greater Western Sydney,5,5,Greater Western Sydney,1688275200
S.C.G.,18,Sydney,,16,7,54,0,2023-06-30 19:50:00,2023,2023-06-30 19:50:00,Round 16,34390,7,Full Time,100,+10:00,0,2023-06-30 22:16:12,16,54,,6,12,Geelong,1688118600
Perth Stadium,5,West Coast,15.0,16,12,77,0,2023-07-02 16:40:00,2023,2023-07-02 14:40:00,Round 16,34394,15,Full Time,100,+10:00,0,2023-07-02 19:17:35,17,85,St Kilda,12,13,St Kilda,1688280000
Docklands,6,Western Bulldogs,18.0,16,11,102,0,2023-07-01 13:45:00,2023,2023-07-01 13:45:00,Round 16,34391,6,Full Time,100,+10:00,0,2023-07-01 16:24:35,18,73,Western Bulldogs,16,7,Fremantle,1688183100
Gabba,20,Brisbane Lions,2.0,17,5,116,0,2023-07-08 13:45:00,2023,2023-07-08 13:45:00,Round 17,34395,17,Full Time,100,+10:00,0,2023-07-08 16:18:55,2,35,Brisbane Lions,16,5,West Coast,1688787900
Docklands,13,Essendon,5.0,17,15,115,0,2023-07-09 15:20:00,2023,2023-07-09 15:20:00,Round 17,34396,1,Full Time,100,+10:00,0,2023-07-09 18:01:36,5,97,Essendon,17,7,Adelaide,1688880000
Perth Stadium,9,Fremantle,3.0,17,14,45,0,2023-07-09 16:40:00,2023,2023-07-09 14:40:00,Round 17,34403,3,Full Time,100,+10:00,0,2023-07-09 19:17:53,6,98,Carlton,6,14,Carlton,1688884800
Kardinia Park,11,Geelong,7.0,17,9,125,0,2023-07-09 13:10:00,2023,2023-07-09 13:10:00,Round 17,34397,12,Full Time,100,+10:00,0,2023-07-09 15:52:24,7,63,Geelong,19,9,North Melbourne,1688872200
Sydney Showground,13,Greater Western Sydney,9.0,17,10,85,0,2023-07-08 16:35:00,2023,2023-07-08 16:35:00,Round 17,34398,10,Full Time,100,+10:00,0,2023-07-08 19:06:27,9,72,Greater Western Sydney,12,12,Hawthorn,1688798100
Adelaide Oval,10,Port Adelaide,13.0,17,11,106,0,2023-07-08 19:40:00,2023,2023-07-08 19:10:00,Round 17,34402,8,Full Time,100,+10:00,0,2023-07-08 22:20:43,13,73,Port Adelaide,16,7,Gold Coast,1688809200
M.C.G.,16,Richmond,14.0,17,11,88,0,2023-07-06 19:20:00,2023,2023-07-06 19:20:00,Round 17,34399,16,Full Time,100,+10:00,0,2023-07-06 21:58:22,14,75,Richmond,12,9,Sydney,1688635200
Docklands,10,St Kilda,11.0,17,12,58,0,2023-07-08 19:25:00,2023,2023-07-08 19:25:00,Round 17,34400,11,Full Time,100,+10:00,0,2023-07-08 21:55:23,15,79,Melbourne,8,7,Melbourne,1688808300
Docklands,11,Western Bulldogs,4.0,17,13,77,0,2023-07-07 19:50:00,2023,2023-07-07 19:50:00,Round 17,34401,4,Full Time,100,+10:00,0,2023-07-07 22:23:23,18,89,Collingwood,11,11,Collingwood,1688723400
Adelaide Oval,9,Adelaide,9.0,18,10,57,0,2023-07-15 19:40:00,2023,2023-07-15 19:10:00,Round 18,34411,9,Full Time,100,+10:00,0,2023-07-15 22:16:39,1,71,Greater Western Sydney,8,11,Greater Western Sydney,1689414000
Docklands,14,Carlton,3.0,18,10,122,0,2023-07-15 16:35:00,2023,2023-07-15 16:35:00,Round 18,34404,13,Full Time,100,+10:00,0,2023-07-15 19:17:30,3,72,Carlton,18,12,Port Adelaide,1689402900
M.C.G.,5,Collingwood,4.0,18,10,113,0,2023-07-15 13:45:00,2023,2023-07-15 13:45:00,Round 18,34405,6,Full Time,100,+10:00,0,2023-07-15 16:29:26,4,67,Collingwood,18,7,Fremantle,1689392700
Kardinia Park,14,Geelong,7.0,18,7,122,0,2023-07-15 19:25:00,2023,2023-07-15 19:25:00,Round 18,34406,5,Full Time,100,+10:00,0,2023-07-15 22:01:08,7,45,Geelong,18,3,Essendon,1689413100
Carrara,11,Gold Coast,8.0,18,8,77,0,2023-07-15 14:10:00,2023,2023-07-15 14:10:00,Round 18,34407,15,Full Time,100,+10:00,0,2023-07-15 16:39:33,8,51,Gold Coast,11,3,St Kilda,1689394200
M.C.G.,9,Melbourne,11.0,18,16,105,0,2023-07-14 19:50:00,2023,2023-07-14 19:50:00,Round 18,34408,2,Full Time,100,+10:00,0,2023-07-14 22:31:34,11,104,Melbourne,16,8,Brisbane Lions,1689328200
Docklands,4,North Melbourne,10.0,18,12,40,0,2023-07-16 13:10:00,2023,2023-07-16 13:10:00,Round 18,34409,10,Full Time,100,+10:00,0,2023-07-16 15:42:05,12,88,Hawthorn,6,16,Hawthorn,1689477000
S.C.G.,12,Sydney,16.0,18,11,78,0,2023-07-13 19:20:00,2023,2023-07-13 19:20:00,Round 18,34410,18,Full Time,100,+10:00,0,2023-07-13 21:59:23,16,76,Sydney,11,10,Western Bulldogs,1689240000
Perth Stadium,12,West Coast,14.0,18,14,60,0,2023-07-16 16:40:00,2023,2023-07-16 14:40:00,Round 18,34412,14,Full Time,100,+10:00,0,2023-07-16 19:20:26,17,98,Richmond,8,14,Richmond,1689489600
Gabba,10,Brisbane Lions,2.0,19,7,64,0,2023-07-22 16:35:00,2023,2023-07-22 16:35:00,Round 19,34413,7,Full Time,100,+10:00,0,2023-07-22 19:07:36,2,53,Brisbane Lions,9,11,Geelong,1690007700
Docklands,14,Carlton,3.0,19,10,140,0,2023-07-22 14:10:00,2023,2023-07-22 14:10:00,Round 19,34414,17,Full Time,100,+10:00,0,2023-07-22 16:50:19,3,69,Carlton,21,9,West Coast,1689999000
Docklands,7,Essendon,18.0,19,13,49,0,2023-07-21 19:50:00,2023,2023-07-21 19:50:00,Round 19,34415,18,Full Time,100,+10:00,0,2023-07-21 22:20:16,5,90,Western Bulldogs,7,12,Western Bulldogs,1689933000
Perth Stadium,4,Fremantle,16.0,19,16,76,0,2023-07-22 19:40:00,2023,2023-07-22 17:40:00,Round 19,34421,16,Full Time,100,+10:00,0,2023-07-22 22:14:04,6,105,Sydney,12,9,Sydney,1690018800
Manuka Oval,13,Greater Western Sydney,9.0,19,9,103,0,2023-07-23 13:10:00,2023,2023-07-23 13:10:00,Round 19,34416,8,Full Time,100,+10:00,0,2023-07-23 15:44:39,9,63,Greater Western Sydney,15,9,Gold Coast,1690081800
M.C.G.,13,Melbourne,11.0,19,13,97,0,2023-07-23 15:20:00,2023,2023-07-23 15:20:00,Round 19,34417,1,Full Time,100,+10:00,0,2023-07-23 17:59:35,11,93,Melbourne,14,15,Adelaide,1690089600
Adelaide Oval,11,Port Adelaide,4.0,19,13,83,0,2023-07-22 19:40:00,2023,2023-07-22 19:10:00,Round 19,34420,4,Full Time,100,+10:00,0,2023-07-22 22:25:43,13,85,Collingwood,12,7,Collingwood,1690018800
M.C.G.,12,Richmond,14.0,19,15,96,0,2023-07-22 13:45:00,2023,2023-07-22 13:45:00,Round 19,34418,10,Full Time,100,+10:00,0,2023-07-22 16:26:06,14,95,Richmond,14,5,Hawthorn,1689997500
Docklands,15,St Kilda,15.0,19,9,69,0,2023-07-23 16:40:00,2023,2023-07-23 16:40:00,Round 19,34419,12,Full Time,100,+10:00,0,2023-07-23 19:14:15,15,61,St Kilda,9,7,North Melbourne,1690094400
Adelaide Oval,16,Adelaide,1.0,20,9,112,0,2023-07-29 19:40:00,2023,2023-07-29 19:10:00,Round 20,34429,13,Full Time,100,+10:00,0,2023-07-29 22:19:33,1,65,Adelaide,16,11,Port Adelaide,1690623600
M.C.G.,16,Collingwood,3.0,20,14,76,0,2023-07-28 19:50:00,2023,2023-07-28 19:50:00,Round 20,34422,3,Full Time,100,+10:00,0,2023-07-28 22:26:53,4,93,Carlton,10,9,Carlton,1690537800
Docklands,9,Essendon,16.0,20,15,99,0,2023-07-29 19:25:00,2023,2023-07-29 19:25:00,Round 20,34423,16,Full Time,100,+10:00,0,2023-07-29 22:03:29,5,101,Sydney,15,11,Sydney,1690622700
Kardinia Park,10,Geelong,6.0,20,10,64,0,2023-07-29 13:45:00,2023,2023-07-29 13:45:00,Round 20,34424,6,Full Time,100,+10:00,0,2023-07-29 16:17:01,7,71,Fremantle,9,11,Fremantle,1690602300
Carrara,6,Gold Coast,8.0,20,7,96,0,2023-07-29 16:35:00,2023,2023-07-29 16:35:00,Round 20,34425,2,Full Time,100,+10:00,0,2023-07-29 19:12:54,8,55,Gold Coast,15,13,Brisbane Lions,1690612500
Docklands,9,Hawthorn,15.0,20,19,93,0,2023-07-30 13:10:00,2023,2023-07-30 13:10:00,Round 20,34426,15,Full Time,100,+10:00,0,2023-07-30 15:48:49,10,122,St Kilda,14,8,St Kilda,1690686600
M.C.G.,8,Richmond,11.0,20,20,98,0,2023-07-30 15:20:00,2023,2023-07-30 15:20:00,Round 20,34427,11,Full Time,100,+10:00,0,2023-07-30 18:09:58,14,130,Melbourne,15,10,Melbourne,1690694400
Perth Stadium,12,West Coast,17.0,20,10,72,0,2023-07-30 16:40:00,2023,2023-07-30 14:40:00,Round 20,34430,12,Full Time,100,+10:00,0,2023-07-30 19:14:29,17,67,West Coast,10,7,North Melbourne,1690699200
Eureka Stadium,13,Western Bulldogs,9.0,20,11,73,0,2023-07-29 13:45:00,2023,2023-07-29 13:45:00,Round 20,34428,9,Full Time,100,+10:00,0,2023-07-29 16:29:26,18,78,Greater Western Sydney,10,12,Greater Western Sydney,1690602300
Adelaide Oval,11,Adelaide,1.0,21,9,89,0,2023-08-05 14:10:00,2023,2023-08-05 13:40:00,Round 21,34438,8,Full Time,100,+10:00,0,2023-08-05 16:55:11,1,61,Adelaide,13,7,Gold Coast,1691208600
Docklands,13,Essendon,5.0,21,11,73,0,2023-08-05 13:45:00,2023,2023-08-05 13:45:00,Round 21,34431,17,Full Time,100,+10:00,0,2023-08-05 16:16:52,5,72,Essendon,10,6,West Coast,1691207100
Perth Stadium,8,Fremantle,2.0,21,11,74,0,2023-08-06 16:40:00,2023,2023-08-06 14:40:00,Round 21,34439,2,Full Time,100,+10:00,0,2023-08-06 19:16:52,6,77,Brisbane Lions,11,11,Brisbane Lions,1691304000
Kardinia Park,13,Geelong,7.0,21,12,97,0,2023-08-05 19:25:00,2023,2023-08-05 19:25:00,Round 21,34432,13,Full Time,100,+10:00,0,2023-08-05 22:00:48,7,85,Geelong,14,13,Port Adelaide,1691227500
Sydney Showground,13,Greater Western Sydney,16.0,21,15,85,0,2023-08-05 19:30:00,2023,2023-08-05 19:30:00,Round 21,34433,16,Full Time,100,+10:00,0,2023-08-05 22:15:54,9,96,Sydney,12,6,Sydney,1691227800
M.C.G.,9,Hawthorn,10.0,21,11,105,0,2023-08-05 16:35:00,2023,2023-08-05 16:35:00,Round 21,34434,4,Full Time,100,+10:00,0,2023-08-05 19:10:25,10,73,Hawthorn,16,7,Collingwood,1691217300
Bellerive Oval,11,North Melbourne,11.0,21,15,71,0,2023-08-06 13:10:00,2023,2023-08-06 13:10:00,Round 21,34435,11,Full Time,100,+10:00,0,2023-08-06 15:51:04,12,103,Melbourne,10,13,Melbourne,1691291400
Docklands,6,St Kilda,3.0,21,10,54,0,2023-08-06 15:20:00,2023,2023-08-06 15:20:00,Round 21,34436,3,Full Time,100,+10:00,0,2023-08-06 17:49:09,15,73,Carlton,8,13,Carlton,1691299200
Docklands,12,Western Bulldogs,18.0,21,10,126,0,2023-08-04 19:50:00,2023,2023-08-04 19:50:00,Round 21,34437,14,Full Time,100,+10:00,0,2023-08-04 22:36:05,18,71,Western Bulldogs,19,11,Richmond,1691142600
Gabba,9,Brisbane Lions,2.0,22,13,99,0,2023-08-12 16:35:00,2023,2023-08-12 16:35:00,Round 22,34441,1,Full Time,100,+10:00,0,2023-08-12 19:20:25,2,93,Brisbane Lions,15,15,Adelaide,1691822100
M.C.G.,6,Carlton,3.0,22,8,60,0,2023-08-12 19:30:00,2023,2023-08-12 19:30:00,Round 22,34440,11,Full Time,100,+10:00,0,2023-08-12 22:08:02,3,56,Carlton,9,8,Melbourne,1691832600
M.C.G.,13,Collingwood,4.0,22,15,109,0,2023-08-11 19:50:00,2023,2023-08-11 19:50:00,Round 22,34442,7,Full Time,100,+10:00,0,2023-08-12 07:32:04,4,101,Collingwood,16,11,Geelong,1691747400
York Park,13,Hawthorn,10.0,22,9,67,0,2023-08-13 13:10:00,2023,2023-08-13 13:10:00,Round 22,34443,18,Full Time,100,+10:00,0,2023-08-13 15:40:51,10,64,Hawthorn,9,10,Western Bulldogs,1691896200
Docklands,5,North Melbourne,5.0,22,13,77,0,2023-08-12 13:45:00,2023,2023-08-12 13:45:00,Round 22,34444,5,Full Time,100,+10:00,0,2023-08-12 16:21:11,12,86,Essendon,12,8,Essendon,1691811900
Adelaide Oval,10,Port Adelaide,13.0,22,13,136,0,2023-08-13 16:40:00,2023,2023-08-13 16:10:00,Round 22,34447,9,Full Time,100,+10:00,0,2023-08-13 19:17:55,13,85,Port Adelaide,21,7,Greater Western Sydney,1691908800
Docklands,9,St Kilda,15.0,22,8,93,0,2023-08-13 15:20:00,2023,2023-08-13 15:20:00,Round 22,34445,14,Full Time,100,+10:00,0,2023-08-13 17:51:38,15,57,St Kilda,14,9,Richmond,1691904000
S.C.G.,6,Sydney,16.0,22,13,114,0,2023-08-12 13:45:00,2023,2023-08-12 13:45:00,Round 22,34446,8,Full Time,100,+10:00,0,2023-08-12 16:28:38,16,90,Sydney,18,12,Gold Coast,1691811900
Perth Stadium,9,West Coast,6.0,22,20,33,0,2023-08-12 20:10:00,2023,2023-08-12 18:10:00,Round 22,34448,6,Full Time,100,+10:00,0,2023-08-12 22:46:33,17,134,Fremantle,4,14,Fremantle,1691835000
Adelaide Oval,13,Adelaide,16.0,23,11,73,0,2023-08-19 19:40:00,2023,2023-08-19 19:10:00,Round 23,34456,16,Full Time,100,+10:00,0,2023-08-19 22:20:27,1,74,Sydney,10,8,Sydney,1692438000
Docklands,10,Collingwood,2.0,23,19,100,0,2023-08-18 19:50:00,2023,2023-08-18 19:50:00,Round 23,34449,2,Full Time,100,+10:00,0,2023-08-18 22:33:56,4,124,Brisbane Lions,15,10,Brisbane Lions,1692352200
Perth Stadium,10,Fremantle,13.0,23,11,58,0,2023-08-20 16:40:00,2023,2023-08-20 14:40:00,Round 23,34457,13,Full Time,100,+10:00,0,2023-08-20 19:11:54,6,74,Port Adelaide,8,8,Port Adelaide,1692513600
Carrara,9,Gold Coast,3.0,23,13,87,0,2023-08-19 14:10:00,2023,2023-08-19 14:10:00,Round 23,34450,3,Full Time,100,+10:00,0,2023-08-19 16:47:03,8,91,Carlton,13,13,Carlton,1692418200
Sydney Showground,12,Greater Western Sydney,9.0,23,5,162,0,2023-08-19 16:35:00,2023,2023-08-19 16:35:00,Round 23,34451,5,Full Time,100,+10:00,0,2023-08-19 19:16:22,9,36,Greater Western Sydney,25,6,Essendon,1692426900
M.C.G.,9,Melbourne,11.0,23,9,87,0,2023-08-20 15:20:00,2023,2023-08-20 15:20:00,Round 23,34452,10,Full Time,100,+10:00,0,2023-08-20 17:50:00,11,60,Melbourne,13,6,Hawthorn,1692508800
M.C.G.,17,Richmond,14.0,23,10,101,0,2023-08-19 13:45:00,2023,2023-08-19 13:45:00,Round 23,34453,12,Full Time,100,+10:00,0,2023-08-19 16:21:22,14,72,Richmond,14,12,North Melbourne,1692416700
Docklands,16,St Kilda,15.0,23,8,88,0,2023-08-19 19:25:00,2023,2023-08-19 19:25:00,Round 23,34454,7,Full Time,100,+10:00,0,2023-08-19 21:51:35,15,55,St Kilda,12,7,Geelong,1692437100
Docklands,13,Western Bulldogs,17.0,23,14,85,0,2023-08-20 13:10:00,2023,2023-08-20 13:10:00,Round 23,34455,17,Full Time,100,+10:00,0,2023-08-20 15:52:05,18,92,West Coast,12,8,West Coast,1692501000
Gabba,18,Brisbane Lions,2.0,24,9,72,0,2023-08-26 16:35:00,2023,2023-08-26 16:35:00,Round 24,34458,15,Full Time,100,+10:00,0,2023-08-26 19:12:00,2,60,Brisbane Lions,9,6,St Kilda,1693031700
Docklands,7,Carlton,9.0,24,16,73,0,2023-08-27 18:10:00,2023,2023-08-27 18:10:00,Round 24,34459,9,Full Time,100,+10:00,0,2023-08-27 20:54:34,3,105,Greater Western Sydney,11,9,Greater Western Sydney,1693123800
M.C.G.,13,Essendon,4.0,24,16,31,0,2023-08-25 19:50:00,2023,2023-08-25 19:50:00,Round 24,34460,4,Full Time,100,+10:00,0,2023-08-25 22:16:54,5,101,Collingwood,3,5,Collingwood,1692957000
Kardinia Park,13,Geelong,18.0,24,16,79,0,2023-08-26 19:25:00,2023,2023-08-26 19:25:00,Round 24,34461,18,Full Time,100,+10:00,0,2023-08-26 22:07:31,7,104,Western Bulldogs,11,8,Western Bulldogs,1693041900
M.C.G.,8,Hawthorn,6.0,24,14,56,0,2023-08-26 13:45:00,2023,2023-08-26 13:45:00,Round 24,34462,6,Full Time,100,+10:00,0,2023-08-26 16:18:02,10,93,Fremantle,8,9,Fremantle,1693021500
Bellerive Oval,12,North Melbourne,12.0,24,14,132,0,2023-08-26 13:45:00,2023,2023-08-26 13:45:00,Round 24,34463,8,Full Time,100,+10:00,0,2023-08-26 16:33:29,12,97,North Melbourne,20,13,Gold Coast,1693021500
Adelaide Oval,16,Port Adelaide,13.0,24,8,94,0,2023-08-27 12:30:00,2023,2023-08-27 12:00:00,Round 24,34465,14,Full Time,100,+10:00,0,2023-08-27 15:11:09,13,63,Port Adelaide,13,15,Richmond,1693103400
S.C.G.,14,Sydney,11.0,24,11,56,0,2023-08-27 15:20:00,2023,2023-08-27 15:20:00,Round 24,34464,11,Full Time,100,+10:00,0,2023-08-27 17:52:54,16,77,Melbourne,7,11,Melbourne,1693113600
Perth Stadium,6,West Coast,1.0,24,17,78,0,2023-08-26 20:10:00,2023,2023-08-26 18:10:00,Round 24,34466,1,Full Time,100,+10:00,0,2023-08-26 22:51:56,17,123,Adelaide,12,21,Adelaide,1693044600
Gabba,9,Brisbane Lions,2.0,25,11,123,3,2023-09-09 19:25:00,2023,2023-09-09 19:25:00,Finals Week 1,34677,13,Full Time,100,+10:00,0,2023-09-09 22:12:50,2,75,Brisbane Lions,19,9,Port Adelaide,1694251500
M.C.G.,8,Carlton,3.0,25,9,74,2,2023-09-08 19:50:00,2023,2023-09-08 19:50:00,Finals Week 1,34674,16,Full Time,100,+10:00,0,2023-09-08 22:28:56,3,68,Carlton,11,14,Sydney,1694166600
M.C.G.,6,Collingwood,4.0,25,7,60,3,2023-09-07 19:20:00,2023,2023-09-07 19:20:00,Finals Week 1,34676,11,Full Time,100,+10:00,0,2023-09-07 22:02:10,4,53,Collingwood,9,11,Melbourne,1694078400
M.C.G.,11,St Kilda,9.0,25,15,77,2,2023-09-09 15:20:00,2023,2023-09-09 15:20:00,Finals Week 1,34675,9,Full Time,100,+10:00,0,2023-09-09 17:59:22,15,101,Greater Western Sydney,11,11,Greater Western Sydney,1694236800
M.C.G.,17,Melbourne,3.0,26,11,71,4,2023-09-15 19:50:00,2023,2023-09-15 19:50:00,Semi-Finals,34678,3,Full Time,100,+10:00,0,2023-09-15 22:30:53,11,73,Carlton,9,7,Carlton,1694771400
Adelaide Oval,16,Port Adelaide,9.0,26,13,70,4,2023-09-16 19:40:00,2023,2023-09-16 19:10:00,Semi-Finals,34679,9,Full Time,100,+10:00,0,2023-09-16 22:22:51,13,93,Greater Western Sydney,9,15,Greater Western Sydney,1694857200
Gabba,13,Brisbane Lions,2.0,27,9,79,5,2023-09-23 17:15:00,2023,2023-09-23 17:15:00,Preliminary Finals,35046,3,Full Time,100,+10:00,0,2023-09-23 19:55:19,2,63,Brisbane Lions,11,9,Carlton,1695453300
M.C.G.,10,Collingwood,4.0,27,8,58,5,2023-09-22 19:50:00,2023,2023-09-22 19:50:00,Preliminary Finals,35045,9,Full Time,100,+10:00,0,2023-09-22 22:23:02,4,57,Collingwood,8,9,Greater Western Sydney,1695376200
M.C.G.,18,Collingwood,4.0,28,13,90,6,2023-09-30 14:30:00,2023,2023-09-30 14:30:00,Grand Final,34682,2,Full Time,100,+10:00,1,2023-09-30 17:21:43,4,86,Collingwood,12,8,Brisbane Lions,1696048200
