unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
892869000,Western Bulldogs,94,11,10,Western Bulldogs,0,2022-11-10 21:14:18,7,,100,+11:00,21791,18,1998,1998-04-18 13:10:00,Round 4,0,1998-04-18 14:10:00,Kardinia Park,13,Geelong,18.0,4,14,79
892874400,St Kilda,129,18,9,St Kilda,0,2022-11-10 21:14:18,10,,100,+11:00,21792,15,1998,1998-04-18 14:40:00,Round 4,0,1998-04-18 15:40:00,Waverley Park,13,Hawthorn,15.0,4,20,121
892955400,North Melbourne,120,21,18,Brisbane Lions,0,2022-11-10 21:14:18,12,,100,+11:00,21796,2,1998,1998-04-19 13:10:00,Round 4,0,1998-04-19 14:10:00,M.C.G.,11,North Melbourne,12.0,4,17,137
892955400,Port Adelaide,64,11,16,Adelaide,0,2022-11-10 21:14:18,13,,100,+11:00,21797,1,1998,1998-04-19 12:40:00,Round 4,0,1998-04-19 14:10:00,Football Park,7,Port Adelaide,13.0,4,8,73
892892400,Sydney,118,14,10,Sydney,0,2022-11-10 21:14:18,17,,100,+11:00,21793,16,1998,1998-04-18 17:40:00,Round 4,0,1998-04-18 20:40:00,W.A.C.A.,15,West Coast,16.0,4,18,99
893564400,Adelaide,61,12,13,Geelong,0,2022-11-10 21:14:18,1,,100,+11:00,21924,7,1998,1998-04-26 13:50:00,Round 5,0,1998-04-26 15:20:00,Football Park,15,Adelaide,1.0,5,8,87
893479200,Collingwood,88,15,16,Essendon,0,2022-11-10 21:14:18,4,,100,+11:00,21919,5,1998,1998-04-25 14:40:00,Round 5,0,1998-04-25 15:40:00,M.C.G.,18,Collingwood,4.0,5,12,108
893497200,Fremantle,87,16,15,North Melbourne,0,2022-11-10 21:14:18,6,,100,+11:00,21920,12,1998,1998-04-25 17:40:00,Round 5,0,1998-04-25 20:40:00,W.A.C.A.,8,Fremantle,6.0,5,12,104
893473800,Hawthorn,83,18,11,Brisbane Lions,0,2022-11-10 21:14:18,10,,100,+11:00,21918,2,1998,1998-04-25 13:10:00,Round 5,0,1998-04-25 14:10:00,Waverley Park,16,Hawthorn,10.0,5,12,124
893560200,Melbourne,53,14,17,Port Adelaide,0,2022-11-10 21:14:18,11,,100,+11:00,21922,13,1998,1998-04-26 13:10:00,Round 5,0,1998-04-26 14:10:00,M.C.G.,18,Melbourne,11.0,5,6,102
893407200,Richmond,71,12,11,West Coast,0,2022-11-10 21:14:18,14,,100,+11:00,21917,17,1998,1998-04-24 18:40:00,Round 5,0,1998-04-24 19:40:00,M.C.G.,14,Richmond,14.0,5,10,86
893560200,St Kilda,66,13,12,Carlton,0,2022-11-10 21:14:18,15,,100,+11:00,21921,3,1998,1998-04-26 13:10:00,Round 5,0,1998-04-26 14:10:00,Waverley Park,10,St Kilda,15.0,5,9,88
893562000,Sydney,83,14,11,Western Bulldogs,0,2022-11-10 21:14:18,16,,100,+11:00,21923,18,1998,1998-04-26 13:40:00,Round 5,0,1998-04-26 14:40:00,S.C.G.,15,Sydney,16.0,5,12,99
894012000,Brisbane Lions,51,13,9,Richmond,0,2022-11-10 21:14:18,2,,100,+11:00,21782,14,1998,1998-05-01 18:40:00,Round 6,0,1998-05-01 19:40:00,Gabba,8,Brisbane Lions,2.0,6,7,86
894084000,Collingwood,96,9,12,Collingwood,0,2022-11-10 21:14:18,3,,100,+11:00,21785,4,1998,1998-05-02 14:40:00,Round 6,0,1998-05-02 15:40:00,M.C.G.,13,Carlton,4.0,6,14,67
894078600,Geelong,73,13,13,Hawthorn,0,2022-11-10 21:14:18,7,,100,+11:00,21784,10,1998,1998-05-02 13:10:00,Round 6,0,1998-05-02 14:10:00,Kardinia Park,12,Geelong,7.0,6,10,90
894165000,North Melbourne,102,15,12,Adelaide,0,2022-11-10 21:14:18,12,,100,+11:00,21787,1,1998,1998-05-03 13:10:00,Round 6,0,1998-05-03 14:10:00,M.C.G.,16,North Melbourne,12.0,6,15,106
894102000,Port Adelaide,60,13,6,Fremantle,0,2022-11-10 21:14:18,13,,100,+11:00,21786,6,1998,1998-05-02 19:10:00,Round 6,0,1998-05-02 20:40:00,Football Park,18,Port Adelaide,13.0,6,9,96
894166800,Melbourne,80,8,8,Melbourne,0,2022-11-10 21:14:18,16,,100,+11:00,21788,11,1998,1998-05-03 13:40:00,Round 6,0,1998-05-03 14:40:00,S.C.G.,13,Sydney,11.0,6,12,61
894169200,St Kilda,121,18,13,St Kilda,0,2022-11-10 21:14:18,17,,100,+11:00,21789,15,1998,1998-05-03 12:20:00,Round 6,0,1998-05-03 15:20:00,Subiaco,11,West Coast,15.0,6,18,119
894078600,Western Bulldogs,89,13,11,Essendon,0,2022-11-10 21:14:18,18,,100,+11:00,21783,5,1998,1998-05-02 13:10:00,Round 6,0,1998-05-02 14:10:00,Princes Park,19,Western Bulldogs,18.0,6,13,97
894768000,Adelaide,71,11,11,West Coast,0,2022-11-10 21:14:18,1,,100,+11:00,21883,17,1998,1998-05-10 12:10:00,Round 7,0,1998-05-10 13:40:00,Football Park,13,Adelaide,1.0,7,10,79
894683400,Port Adelaide,165,11,15,Port Adelaide,0,2022-11-10 21:14:18,3,,100,+11:00,21880,13,1998,1998-05-09 13:10:00,Round 7,0,1998-05-09 14:10:00,Princes Park,10,Carlton,13.0,7,25,76
