round,agoals,hscore,hbehinds,hteam,venue,winnerteamid,date,is_final,year,localtime,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,hgoals,ascore,winner,unixtime
18,8,66,6,West Coast,Subiaco,17,2016-07-23 14:35:00,0,2016,2016-07-23 11:35:00,Round 18,950,11,+11:00,100,Full Time,2018-06-26 12:16:17,17,0,12,Melbourne,10,60,West Coast,1469244900
18,11,60,6,Western Bulldogs,Docklands,15,2016-07-23 19:25:00,0,2016,2016-07-23 18:25:00,Round 18,951,15,+11:00,100,Full Time,2018-06-26 12:16:17,18,0,9,St Kilda,9,75,St Kilda,1469262300
19,9,143,11,Adelaide,Adelaide Oval,1,2016-07-31 16:10:00,0,2016,2016-07-31 14:40:00,Round 19,964,5,+11:00,100,Full Time,2018-06-26 12:16:17,1,0,7,Essendon,22,61,Adelaide,1469941800
19,25,79,13,Brisbane Lions,Gabba,13,2016-07-30 19:25:00,0,2016,2016-07-30 18:25:00,Round 19,961,13,+11:00,100,Full Time,2018-06-26 12:16:17,2,0,23,Port Adelaide,11,173,Port Adelaide,1469867100
19,11,91,13,Collingwood,M.C.G.,4,2016-07-30 16:35:00,0,2016,2016-07-30 15:35:00,Round 19,959,17,+11:00,100,Full Time,2018-06-26 12:16:17,4,0,6,West Coast,13,72,Collingwood,1469856900
19,21,47,5,Fremantle,Subiaco,16,2016-07-31 13:20:00,0,2016,2016-07-31 10:20:00,Round 19,963,16,+11:00,100,Full Time,2018-06-26 12:16:17,6,0,11,Sydney,7,137,Sydney,1469931600
19,11,103,7,Geelong,Kardinia Park,7,2016-07-29 19:50:00,0,2016,2016-07-29 18:50:00,Round 19,956,18,+11:00,100,Full Time,2018-06-26 12:16:17,7,0,12,Western Bulldogs,16,78,Geelong,1469782200
19,3,111,9,Greater Western Sydney,Manuka Oval,9,2016-07-30 13:45:00,0,2016,2016-07-30 12:45:00,Round 19,957,14,+11:00,100,Full Time,2018-06-26 12:16:17,9,0,5,Richmond,17,23,Greater Western Sydney,1469846700
19,7,74,14,Hawthorn,York Park,10,2016-07-30 14:10:00,0,2016,2016-07-30 13:10:00,Round 19,958,3,+11:00,100,Full Time,2018-06-26 12:16:17,10,0,13,Carlton,10,55,Hawthorn,1469848200
19,9,66,12,Melbourne,M.C.G.,11,2016-07-31 13:10:00,0,2016,2016-07-31 12:10:00,Round 19,962,8,+11:00,100,Full Time,2018-06-26 12:16:17,11,0,10,Gold Coast,9,64,Melbourne,1469931000
19,8,85,13,North Melbourne,Docklands,12,2016-07-30 19:25:00,0,2016,2016-07-30 18:25:00,Round 19,960,15,+11:00,100,Full Time,2018-06-26 12:16:17,12,0,14,St Kilda,12,62,North Melbourne,1469867100
20,6,177,15,Adelaide,Adelaide Oval,1,2016-08-06 19:10:00,0,2016,2016-08-06 17:40:00,Round 20,981,2,+11:00,100,Full Time,2018-06-26 12:16:17,1,0,3,Brisbane Lions,27,39,Adelaide,1470471000
20,19,51,9,Carlton,M.C.G.,15,2016-08-07 13:10:00,0,2016,2016-08-07 12:10:00,Round 20,983,15,+11:00,100,Full Time,2018-06-26 12:16:17,3,0,8,St Kilda,7,122,St Kilda,1470535800
20,17,64,10,Fremantle,Subiaco,17,2016-08-07 14:40:00,0,2016,2016-08-07 11:40:00,Round 20,984,17,+11:00,100,Full Time,2018-06-26 12:16:17,6,0,8,West Coast,9,110,West Coast,1470541200
20,4,100,10,Geelong,Docklands,7,2016-08-07 15:20:00,0,2016,2016-08-07 14:20:00,Round 20,982,5,+11:00,100,Full Time,2018-06-26 12:16:17,7,0,10,Essendon,15,34,Geelong,1470543600
20,14,84,6,Gold Coast,Carrara,9,2016-08-06 16:35:00,0,2016,2016-08-06 15:35:00,Round 20,979,9,+11:00,100,Full Time,2018-06-26 12:16:17,8,0,8,Greater Western Sydney,13,92,Greater Western Sydney,1470461700
20,11,110,8,Melbourne,M.C.G.,11,2016-08-06 14:10:00,0,2016,2016-08-06 13:10:00,Round 20,978,10,+11:00,100,Full Time,2018-06-26 12:16:17,11,0,15,Hawthorn,17,81,Melbourne,1470453000
20,11,92,8,Richmond,M.C.G.,14,2016-08-05 19:50:00,0,2016,2016-08-05 18:50:00,Round 20,965,4,+11:00,100,Full Time,2018-06-26 12:16:17,14,0,11,Collingwood,14,77,Richmond,1470387000
20,4,100,16,Sydney,S.C.G.,16,2016-08-06 13:45:00,0,2016,2016-08-06 12:45:00,Round 20,966,13,+11:00,100,Full Time,2018-06-26 12:16:17,16,0,9,Port Adelaide,14,33,Sydney,1470451500
20,7,61,7,Western Bulldogs,Docklands,18,2016-08-06 19:25:00,0,2016,2016-08-06 18:25:00,Round 20,980,12,+11:00,100,Full Time,2018-06-26 12:16:17,18,0,5,North Melbourne,9,47,Western Bulldogs,1470471900
21,13,99,9,Brisbane Lions,Gabba,2,2016-08-13 13:45:00,0,2016,2016-08-13 12:45:00,Round 21,986,3,+11:00,100,Full Time,2018-06-26 12:16:17,2,0,17,Carlton,15,95,Brisbane Lions,1471056300
21,9,75,9,Essendon,Docklands,5,2016-08-14 13:10:00,0,2016,2016-08-14 12:10:00,Round 21,995,8,+11:00,100,Full Time,2018-06-26 12:16:17,5,0,15,Gold Coast,11,69,Essendon,1471140600
21,21,70,4,Fremantle,Subiaco,1,2016-08-14 14:40:00,0,2016,2016-08-14 11:40:00,Round 21,997,1,+11:00,100,Full Time,2018-06-26 12:16:17,6,0,16,Adelaide,11,142,Adelaide,1471146000
21,14,96,12,Greater Western Sydney,Sydney Showground,17,2016-08-13 16:35:00,0,2016,2016-08-13 15:35:00,Round 21,992,17,+11:00,100,Full Time,2018-06-26 12:16:17,9,0,13,West Coast,14,97,West Coast,1471066500
21,8,96,12,Hawthorn,M.C.G.,10,2016-08-13 14:10:00,0,2016,2016-08-13 13:10:00,Round 21,991,12,+11:00,100,Full Time,2018-06-26 12:16:17,10,0,9,North Melbourne,14,57,Hawthorn,1471057800
21,13,54,6,Port Adelaide,Adelaide Oval,11,2016-08-13 19:10:00,0,2016,2016-08-13 17:40:00,Round 21,994,11,+11:00,100,Full Time,2018-06-26 12:16:17,13,0,16,Melbourne,8,94,Melbourne,1471075800
21,10,78,6,Richmond,M.C.G.,7,2016-08-14 15:20:00,0,2016,2016-08-14 14:20:00,Round 21,996,7,+11:00,100,Full Time,2018-06-26 12:16:17,14,0,22,Geelong,12,82,Geelong,1471148400
21,23,76,10,St Kilda,Docklands,16,2016-08-13 19:25:00,0,2016,2016-08-13 18:25:00,Round 21,993,16,+11:00,100,Full Time,2018-06-26 12:16:17,15,0,8,Sydney,11,146,Sydney,1471076700
21,14,95,11,Western Bulldogs,Docklands,18,2016-08-12 19:50:00,0,2016,2016-08-12 18:50:00,Round 21,985,4,+11:00,100,Full Time,2018-06-26 12:16:17,18,0,8,Collingwood,14,92,Western Bulldogs,1470991800
22,19,69,9,Brisbane Lions,Gabba,7,2016-08-21 15:20:00,0,2016,2016-08-21 14:20:00,Round 22,1005,7,+11:00,100,Full Time,2018-06-26 12:16:17,2,0,15,Geelong,10,129,Geelong,1471753200
22,7,78,12,Carlton,M.C.G.,3,2016-08-21 13:10:00,0,2016,2016-08-21 12:10:00,Round 22,1004,11,+11:00,100,Full Time,2018-06-26 12:16:17,3,0,16,Melbourne,11,58,Carlton,1471745400
22,6,118,22,Collingwood,Docklands,4,2016-08-20 19:25:00,0,2016,2016-08-20 18:25:00,Round 22,1002,8,+11:00,100,Full Time,2018-06-26 12:16:17,4,0,11,Gold Coast,16,47,Collingwood,1471681500
22,14,53,11,Essendon,Docklands,18,2016-08-21 16:40:00,0,2016,2016-08-21 15:40:00,Round 22,1006,18,+11:00,100,Full Time,2018-06-26 12:16:17,5,0,9,Western Bulldogs,7,93,Western Bulldogs,1471758000
22,5,129,15,Greater Western Sydney,Sydney Showground,9,2016-08-20 16:35:00,0,2016,2016-08-20 15:35:00,Round 22,1001,6,+11:00,100,Full Time,2018-06-26 12:16:17,9,0,7,Fremantle,19,37,Greater Western Sydney,1471671300
22,12,76,16,North Melbourne,Bellerive Oval,16,2016-08-20 13:45:00,0,2016,2016-08-20 12:45:00,Round 22,999,16,+11:00,100,Full Time,2018-06-26 12:16:17,12,0,13,Sydney,10,85,Sydney,1471661100
22,15,94,10,Port Adelaide,Adelaide Oval,1,2016-08-20 19:10:00,0,2016,2016-08-20 17:40:00,Round 22,1003,1,+11:00,100,Full Time,2018-06-26 12:16:17,13,0,19,Adelaide,14,109,Adelaide,1471680600
22,7,46,10,Richmond,M.C.G.,15,2016-08-20 14:10:00,0,2016,2016-08-20 13:10:00,Round 22,1000,15,+11:00,100,Full Time,2018-06-26 12:16:17,14,0,13,St Kilda,6,55,St Kilda,1471662600
22,10,92,14,West Coast,Subiaco,17,2016-08-19 18:10:00,0,2016,2016-08-19 15:10:00,Round 22,998,10,+11:00,100,Full Time,2018-06-26 12:16:17,17,0,7,Hawthorn,13,67,West Coast,1471590600
23,14,71,11,Adelaide,Adelaide Oval,17,2016-08-26 19:40:00,0,2016,2016-08-26 18:10:00,Round 23,1016,17,+11:00,100,Full Time,2018-06-26 12:16:18,1,0,16,West Coast,10,100,West Coast,1472200800
23,10,103,13,Essendon,M.C.G.,5,2016-08-27 14:10:00,0,2016,2016-08-27 13:10:00,Round 23,1018,3,+11:00,100,Full Time,2018-06-26 12:16:18,5,0,19,Carlton,15,79,Essendon,1472267400
23,6,69,9,Fremantle,Subiaco,6,2016-08-28 14:40:00,0,2016,2016-08-28 11:40:00,Round 23,1024,18,+11:00,100,Full Time,2018-06-26 12:16:18,6,0,13,Western Bulldogs,10,49,Fremantle,1472355600
23,6,155,11,Geelong,Kardinia Park,7,2016-08-27 13:45:00,0,2016,2016-08-27 12:45:00,Round 23,1017,11,+11:00,100,Full Time,2018-06-26 12:16:18,7,0,8,Melbourne,24,44,Geelong,1472265900
23,13,66,12,Gold Coast,Carrara,13,2016-08-27 19:25:00,0,2016,2016-08-27 18:25:00,Round 23,1020,13,+11:00,100,Full Time,2018-06-26 12:16:18,8,0,11,Port Adelaide,9,89,Port Adelaide,1472286300
23,17,112,10,Hawthorn,M.C.G.,10,2016-08-28 15:20:00,0,2016,2016-08-28 14:20:00,Round 23,1023,4,+11:00,100,Full Time,2018-06-26 12:16:18,10,0,9,Collingwood,17,111,Hawthorn,1472358000
23,14,63,9,North Melbourne,Docklands,9,2016-08-27 19:25:00,0,2016,2016-08-27 18:25:00,Round 23,1021,9,+11:00,100,Full Time,2018-06-26 12:16:18,12,0,16,Greater Western Sydney,9,100,Greater Western Sydney,1472286300
23,15,161,11,St Kilda,Docklands,15,2016-08-28 13:10:00,0,2016,2016-08-28 12:10:00,Round 23,1022,2,+11:00,100,Full Time,2018-06-26 12:16:18,15,0,13,Brisbane Lions,25,103,St Kilda,1472350200
23,7,164,14,Sydney,S.C.G.,16,2016-08-27 16:35:00,0,2016,2016-08-27 15:35:00,Round 23,1019,14,+11:00,100,Full Time,2018-06-26 12:16:18,16,0,9,Richmond,25,51,Sydney,1472276100
24,12,141,15,Adelaide,Adelaide Oval,1,2016-09-10 19:10:00,2,2016,2016-09-10 17:40:00,Finals Week 1,1038,12,+11:00,100,Full Time,2018-06-26 12:16:18,1,0,7,North Melbourne,21,79,Adelaide,1473495000
24,12,85,13,Geelong,M.C.G.,7,2016-09-09 19:50:00,3,2016,2016-09-09 18:50:00,Finals Week 1,1026,10,+11:00,100,Full Time,2018-06-26 12:16:18,7,0,11,Hawthorn,12,83,Geelong,1473411000
24,12,55,13,Sydney,Stadium Australia,9,2016-09-10 15:20:00,3,2016,2016-09-10 14:20:00,Finals Week 1,1037,9,+11:00,100,Full Time,2018-06-26 12:16:18,16,0,19,Greater Western Sydney,7,91,Greater Western Sydney,1473481200
24,14,52,10,West Coast,Subiaco,18,2016-09-08 18:10:00,2,2016,2016-09-08 15:10:00,Finals Week 1,1025,18,+11:00,100,Full Time,2018-06-26 12:16:18,17,0,15,Western Bulldogs,7,99,Western Bulldogs,1473318600
25,16,84,12,Hawthorn,M.C.G.,18,2016-09-16 19:50:00,4,2016,2016-09-16 18:50:00,Semi-Finals,1039,18,+11:00,100,Full Time,2018-06-26 12:16:18,10,0,11,Western Bulldogs,12,107,Western Bulldogs,1474015800
25,12,118,10,Sydney,S.C.G.,16,2016-09-17 19:25:00,4,2016,2016-09-17 18:25:00,Semi-Finals,1040,1,+11:00,100,Full Time,2018-06-26 12:16:18,16,0,10,Adelaide,18,82,Sydney,1474100700
26,15,60,12,Geelong,M.C.G.,16,2016-09-23 19:50:00,5,2016,2016-09-23 18:50:00,Preliminary Finals,1041,16,+11:00,100,Full Time,2018-06-26 12:16:18,7,0,7,Sydney,8,97,Sydney,1474620600
26,13,83,11,Greater Western Sydney,Sydney Showground,18,2016-09-24 17:15:00,5,2016,2016-09-24 16:15:00,Preliminary Finals,1042,18,+11:00,100,Full Time,2018-06-26 12:16:18,9,0,11,Western Bulldogs,12,89,Western Bulldogs,1474697700
27,13,67,7,Sydney,M.C.G.,18,2016-10-01 14:30:00,6,2016,2016-10-01 13:30:00,Grand Final,1043,18,+11:00,100,Full Time,2018-06-26 12:16:18,16,1,11,Western Bulldogs,10,89,Western Bulldogs,1475292600
