unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1554610800,Gold Coast,73,9,13,Gold Coast,0,2019-04-07 16:50:02,18,100,Full Time,+10:00,3103,8,2019,2019-04-07 14:20:00,Round 3,0,2019-04-07 14:20:00,Marvel Stadium,Western Bulldogs,14,8,3,68,10
1555062600,Collingwood,64,11,10,Western Bulldogs,0,2019-04-12 22:22:03,4,100,Full Time,+10:00,3107,18,2019,2019-04-12 19:50:00,Round 4,0,2019-04-12 19:50:00,M.C.G.,Collingwood,12,4,4,78,9
1555128600,Essendon,65,17,11,Brisbane Lions,0,2019-04-13 16:46:02,5,100,Full Time,+10:00,3109,2,2019,2019-04-13 14:10:00,Round 4,0,2019-04-13 14:10:00,M.C.G.,Essendon,10,5,4,112,9
1555127100,Greater Western Sydney,79,11,13,Greater Western Sydney,0,2019-04-13 16:20:03,7,100,Full Time,+10:00,3108,9,2019,2019-04-13 13:45:00,Round 4,0,2019-04-13 13:45:00,Kardinia Park,Geelong,9,9,4,75,11
1555216800,Gold Coast,57,8,9,Carlton,0,2019-04-14 17:14:02,8,100,Full Time,+10:00,3117,3,2019,2019-04-14 14:40:00,Round 4,0,2019-04-14 14:40:00,Carrara,Gold Coast,11,8,4,59,8
1555147500,North Melbourne,59,9,11,Adelaide,0,2019-04-13 21:50:02,12,100,Full Time,+10:00,3115,1,2019,2019-04-13 19:25:00,Round 4,0,2019-04-13 19:25:00,Marvel Stadium,North Melbourne,17,12,4,71,8
1555137300,Richmond,99,14,9,Richmond,0,2019-04-13 19:14:02,13,100,Full Time,+10:00,3114,14,2019,2019-04-13 16:05:00,Round 4,0,2019-04-13 16:35:00,Adelaide Oval,Port Adelaide,8,14,4,92,15
1555219200,St Kilda,69,10,9,Hawthorn,0,2019-04-14 18:02:02,15,100,Full Time,+10:00,3118,10,2019,2019-04-14 15:20:00,Round 4,0,2019-04-14 15:20:00,Marvel Stadium,St Kilda,14,15,4,74,10
1554974400,Melbourne,100,11,10,Melbourne,0,2019-04-11 22:02:02,16,100,Full Time,+10:00,3106,11,2019,2019-04-11 19:20:00,Round 4,0,2019-04-11 19:20:00,S.C.G.,Sydney,12,11,4,78,15
1555150200,West Coast,56,10,14,Fremantle,0,2019-04-13 22:38:02,17,100,Full Time,+10:00,3116,6,2019,2019-04-13 18:10:00,Round 4,0,2019-04-13 20:10:00,Perth Stadium,West Coast,9,17,4,69,7
1555828800,Adelaide,46,18,10,Gold Coast,0,2019-04-21 19:12:02,1,100,Full Time,+10:00,3126,8,2019,2019-04-21 16:10:00,Round 5,0,2019-04-21 16:40:00,Adelaide Oval,Adelaide,11,1,5,119,6
1555580100,Collingwood,123,8,15,Collingwood,0,2019-04-18 22:10:03,2,100,Full Time,+10:00,3119,4,2019,2019-04-18 19:35:00,Round 5,0,2019-04-18 19:35:00,Gabba,Brisbane Lions,13,4,5,61,18
1555731900,Fremantle,106,11,10,Fremantle,0,2019-04-20 16:24:02,9,100,Full Time,+10:00,3122,6,2019,2019-04-20 13:45:00,Round 5,0,2019-04-20 13:45:00,Manuka Oval,Greater Western Sydney,16,6,5,82,16
1555910400,Geelong,113,13,11,Geelong,0,2019-04-22 18:00:03,10,100,Full Time,+10:00,3127,7,2019,2019-04-22 15:20:00,Round 5,0,2019-04-22 15:20:00,M.C.G.,Hawthorn,12,7,5,90,17
1555742100,St Kilda,95,7,5,St Kilda,0,2019-04-20 19:08:03,11,100,Full Time,+10:00,3123,15,2019,2019-04-20 16:35:00,Round 5,0,2019-04-20 16:35:00,M.C.G.,Melbourne,13,15,5,55,15
1555654800,Essendon,116,7,14,Essendon,0,2019-04-19 18:52:02,12,100,Full Time,+10:00,3120,5,2019,2019-04-19 16:20:00,Round 5,0,2019-04-19 16:20:00,Marvel Stadium,North Melbourne,16,5,5,58,17
1555752300,Richmond,67,13,7,Sydney,0,2019-04-20 22:04:03,14,100,Full Time,+10:00,3124,16,2019,2019-04-20 19:25:00,Round 5,0,2019-04-20 19:25:00,Marvel Stadium,Richmond,11,14,5,89,10
1555668600,Port Adelaide,95,8,17,Port Adelaide,0,2019-04-19 22:46:02,17,100,Full Time,+10:00,3121,13,2019,2019-04-19 18:10:00,Round 5,0,2019-04-19 20:10:00,Perth Stadium,West Coast,5,13,5,53,13
1555816200,Carlton,101,7,11,Carlton,0,2019-04-21 15:46:02,18,100,Full Time,+10:00,3125,3,2019,2019-04-21 13:10:00,Round 5,0,2019-04-21 13:10:00,Marvel Stadium,Western Bulldogs,15,3,5,57,15
1556169600,Collingwood,73,10,13,Collingwood,0,2019-04-25 17:54:03,5,100,Full Time,+10:00,3129,4,2019,2019-04-25 15:20:00,Round 6,0,2019-04-25 15:20:00,M.C.G.,Essendon,9,4,6,69,10
1556359800,Fremantle,69,13,15,Western Bulldogs,0,2019-04-27 22:42:02,6,100,Full Time,+10:00,3144,18,2019,2019-04-27 18:10:00,Round 6,0,2019-04-27 20:10:00,Perth Stadium,Fremantle,10,6,6,88,9
1556433600,Geelong,46,15,4,West Coast,0,2019-04-28 19:16:02,7,100,Full Time,+10:00,3146,17,2019,2019-04-28 16:40:00,Round 6,0,2019-04-28 16:40:00,Kardinia Park,Geelong,14,7,6,104,7
1556336700,Brisbane Lions,111,9,15,Brisbane Lions,0,2019-04-27 16:24:03,8,100,Full Time,+10:00,3141,2,2019,2019-04-27 13:45:00,Round 6,0,2019-04-27 13:45:00,Carrara,Gold Coast,8,2,6,62,16
1556428800,Hawthorn,88,13,10,Carlton,0,2019-04-28 18:00:04,10,100,Full Time,+10:00,3145,3,2019,2019-04-28 15:20:00,Round 6,0,2019-04-28 15:20:00,York Park,Hawthorn,15,10,6,93,13
