round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
14,98,17,M.C.G.,Western Bulldogs,8,15.0,2005-07-03 14:10:00,0,2005-07-03 14:10:00,2005,Round 14,9896,15,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,14,St Kilda,St Kilda,116,15,1120363800
15,133,7,Gabba,Brisbane Lions,19,2.0,2005-07-09 19:10:00,0,2005-07-09 19:10:00,2005,Round 15,9901,4,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,13,Collingwood,Brisbane Lions,55,19,1120900200
15,145,13,Subiaco,Fremantle,13,6.0,2005-07-10 14:40:00,0,2005-07-10 12:40:00,2005,Round 15,9905,18,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,14,Western Bulldogs,Fremantle,92,22,1120970400
15,68,12,York Park,Hawthorn,8,1.0,2005-07-10 13:10:00,0,2005-07-10 13:10:00,2005,Round 15,9903,1,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,6,Adelaide,Adelaide,78,10,1120965000
15,97,15,Docklands,North Melbourne,13,17.0,2005-07-08 19:40:00,0,2005-07-08 19:40:00,2005,Round 15,9898,17,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,11,West Coast,West Coast,101,14,1120815600
15,137,11,Football Park,Port Adelaide,17,13.0,2005-07-09 14:10:00,0,2005-07-09 13:40:00,2005,Round 15,9900,11,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,9,Melbourne,Port Adelaide,75,20,1120882200
15,92,9,M.C.G.,Richmond,8,14.0,2005-07-09 14:10:00,0,2005-07-09 14:10:00,2005,Round 15,9899,5,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,12,Essendon,Richmond,66,14,1120882200
15,153,11,Docklands,St Kilda,15,15.0,2005-07-10 14:10:00,0,2005-07-10 14:10:00,2005,Round 15,9904,3,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,7,Carlton,St Kilda,73,23,1120968600
15,105,7,S.C.G.,Sydney,9,16.0,2005-07-09 19:10:00,0,2005-07-09 19:10:00,2005,Round 15,9902,7,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,9,Geelong,Sydney,51,16,1120900200
16,109,5,Football Park,Adelaide,13,1.0,2005-07-17 12:40:00,0,2005-07-17 12:10:00,2005,Round 16,9911,18,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,5,Western Bulldogs,Adelaide,35,16,1121568000
16,117,24,M.C.G.,Carlton,15,6.0,2005-07-17 14:10:00,0,2005-07-17 14:10:00,2005,Round 16,9912,6,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,8,Fremantle,Fremantle,152,17,1121573400
16,105,21,M.C.G.,Collingwood,15,5.0,2005-07-15 19:40:00,0,2005-07-15 19:40:00,2005,Round 16,9906,5,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,5,Essendon,Essendon,131,15,1121420400
16,126,7,Kardinia Park,Geelong,18,7.0,2005-07-16 14:10:00,0,2005-07-16 14:10:00,2005,Round 16,9907,13,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,5,Port Adelaide,Geelong,47,18,1121487000
16,68,16,Docklands,Hawthorn,8,12.0,2005-07-17 14:10:00,0,2005-07-17 14:10:00,2005,Round 16,9913,12,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,13,North Melbourne,North Melbourne,109,10,1121573400
16,78,16,Docklands,Melbourne,12,16.0,2005-07-16 19:10:00,0,2005-07-16 19:10:00,2005,Round 16,9909,16,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,8,Sydney,Sydney,104,11,1121505000
16,37,16,M.C.G.,Richmond,7,15.0,2005-07-16 14:10:00,0,2005-07-16 14:10:00,2005,Round 16,9908,15,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,10,St Kilda,St Kilda,106,5,1121487000
16,111,13,Subiaco,West Coast,9,17.0,2005-07-16 17:40:00,0,2005-07-16 15:40:00,2005,Round 16,9910,2,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,10,Brisbane Lions,West Coast,88,17,1121499600
17,114,14,Gabba,Brisbane Lions,12,2.0,2005-07-23 19:10:00,0,2005-07-23 19:10:00,2005,Round 17,9917,5,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,17,Essendon,Brisbane Lions,101,17,1122109800
17,101,11,Subiaco,Fremantle,11,6.0,2005-07-24 14:40:00,0,2005-07-24 12:40:00,2005,Round 17,9921,11,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,10,Melbourne,Fremantle,76,15,1122180000
17,127,15,M.C.G.,Hawthorn,13,10.0,2005-07-23 14:10:00,0,2005-07-23 14:10:00,2005,Round 17,9915,3,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,13,Carlton,Hawthorn,103,19,1122091800
17,109,19,Docklands,North Melbourne,13,1.0,2005-07-24 14:10:00,0,2005-07-24 14:10:00,2005,Round 17,9920,1,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,8,Adelaide,Adelaide,122,16,1122178200
17,96,12,Football Park,Port Adelaide,12,13.0,2005-07-23 19:10:00,0,2005-07-23 18:40:00,2005,Round 17,9918,14,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,11,Richmond,Port Adelaide,83,14,1122109800
17,143,10,Docklands,St Kilda,17,15.0,2005-07-22 19:40:00,0,2005-07-22 19:40:00,2005,Round 17,9914,4,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,10,Collingwood,St Kilda,70,21,1122025200
17,88,9,S.C.G.,Sydney,10,16.0,2005-07-24 13:10:00,0,2005-07-24 13:10:00,2005,Round 17,9919,17,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,13,West Coast,Sydney,67,13,1122174600
17,133,14,Docklands,Western Bulldogs,13,18.0,2005-07-23 14:10:00,0,2005-07-23 14:10:00,2005,Round 17,9916,7,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,14,Geelong,Western Bulldogs,98,20,1122091800
18,54,6,Football Park,Adelaide,6,1.0,2005-07-30 19:10:00,0,2005-07-30 18:40:00,2005,Round 18,9926,16,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,11,Sydney,Adelaide,47,8,1122714600
18,141,16,Docklands,Carlton,9,3.0,2005-07-31 14:10:00,0,2005-07-31 14:10:00,2005,Round 18,9928,14,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,10,Richmond,Carlton,106,22,1122783000
18,85,15,M.C.G.,Collingwood,13,6.0,2005-07-31 14:10:00,0,2005-07-31 14:10:00,2005,Round 18,9929,6,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,8,Fremantle,Fremantle,98,12,1122783000
18,107,13,Docklands,Essendon,11,5.0,2005-07-29 19:40:00,0,2005-07-29 19:40:00,2005,Round 18,9922,7,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,16,Geelong,Essendon,94,16,1122630000
18,88,27,M.C.G.,Melbourne,10,15.0,2005-07-30 14:10:00,0,2005-07-30 14:10:00,2005,Round 18,9923,15,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,14,St Kilda,St Kilda,176,13,1122696600
18,100,14,Manuka Oval,North Melbourne,10,12.0,2005-07-31 13:10:00,0,2005-07-31 13:10:00,2005,Round 18,9927,13,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,12,Port Adelaide,North Melbourne,96,15,1122779400
18,97,7,Subiaco,West Coast,25,17.0,2005-07-30 14:10:00,0,2005-07-30 12:10:00,2005,Round 18,9924,10,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,7,Hawthorn,West Coast,49,12,1122696600
18,151,18,Docklands,Western Bulldogs,13,18.0,2005-07-30 19:10:00,0,2005-07-30 19:10:00,2005,Round 18,9925,2,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,15,Brisbane Lions,Western Bulldogs,123,23,1122714600
19,100,7,Football Park,Adelaide,22,1.0,2005-08-06 14:10:00,0,2005-08-06 13:40:00,2005,Round 19,9932,11,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,4,Melbourne,Adelaide,46,13,1123301400
19,121,11,Gabba,Brisbane Lions,13,2.0,2005-08-07 13:10:00,0,2005-08-07 13:10:00,2005,Round 19,9935,10,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,14,Hawthorn,Brisbane Lions,80,18,1123384200
19,109,18,M.C.G.,Carlton,13,13.0,2005-08-07 14:10:00,0,2005-08-07 14:10:00,2005,Round 19,9936,13,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,15,Port Adelaide,Port Adelaide,123,16,1123387800
19,98,15,Docklands,Collingwood,14,12.0,2005-08-07 14:10:00,0,2005-08-07 14:10:00,2005,Round 19,9937,12,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,14,North Melbourne,North Melbourne,104,14,1123387800
19,98,18,Docklands,Essendon,8,16.0,2005-08-06 19:10:00,0,2005-08-06 19:10:00,2005,Round 19,9933,16,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,10,Sydney,Sydney,118,15,1123319400
19,93,9,Subiaco,Fremantle,15,6.0,2005-08-06 17:40:00,0,2005-08-06 15:40:00,2005,Round 19,9934,14,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,12,Richmond,Fremantle,66,13,1123314000
19,96,8,Docklands,St Kilda,18,15.0,2005-08-05 19:40:00,0,2005-08-05 19:40:00,2005,Round 19,9930,7,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,7,Geelong,St Kilda,55,13,1123234800
19,140,14,M.C.G.,Western Bulldogs,14,18.0,2005-08-06 14:10:00,0,2005-08-06 14:10:00,2005,Round 19,9931,17,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,13,West Coast,Western Bulldogs,97,21,1123301400
20,94,19,M.C.G.,Collingwood,10,3.0,2005-08-13 19:10:00,0,2005-08-13 19:10:00,2005,Round 20,9941,3,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,15,Carlton,Carlton,129,14,1123924200
20,99,14,Kardinia Park,Geelong,9,11.0,2005-08-13 14:10:00,0,2005-08-13 14:10:00,2005,Round 20,9939,11,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,16,Melbourne,Melbourne,100,15,1123906200
20,117,16,M.C.G.,Hawthorn,15,10.0,2005-08-14 14:10:00,0,2005-08-14 14:10:00,2005,Round 20,9944,5,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,8,Essendon,Hawthorn,104,17,1123992600
20,85,16,Docklands,North Melbourne,7,15.0,2005-08-13 14:10:00,0,2005-08-13 14:10:00,2005,Round 20,9940,15,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,12,St Kilda,St Kilda,108,13,1123906200
20,81,13,Football Park,Port Adelaide,9,1.0,2005-08-13 19:10:00,0,2005-08-13 18:40:00,2005,Round 20,9942,1,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,10,Adelaide,Adelaide,88,12,1123924200
20,107,18,Docklands,Richmond,11,18.0,2005-08-14 14:10:00,0,2005-08-14 14:10:00,2005,Round 20,9945,18,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,11,Western Bulldogs,Western Bulldogs,119,16,1123992600
20,124,6,Stadium Australia,Sydney,10,16.0,2005-08-14 13:10:00,0,2005-08-14 13:10:00,2005,Round 20,9943,2,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,4,Brisbane Lions,Sydney,40,19,1123989000
20,128,12,Subiaco,West Coast,14,17.0,2005-08-12 18:40:00,0,2005-08-12 16:40:00,2005,Round 20,9938,6,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,8,Fremantle,West Coast,80,19,1123836000
21,151,5,Football Park,Adelaide,19,1.0,2005-08-20 14:10:00,0,2005-08-20 13:40:00,2005,Round 21,9948,4,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,11,Collingwood,Adelaide,41,22,1124511000
21,51,11,Gabba,Brisbane Lions,9,13.0,2005-08-20 19:10:00,0,2005-08-20 19:10:00,2005,Round 21,9950,13,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,15,Port Adelaide,Port Adelaide,81,7,1124529000
21,182,11,M.C.G.,Essendon,14,5.0,2005-08-21 14:10:00,0,2005-08-21 14:10:00,2005,Round 21,9952,3,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,17,Carlton,Essendon,83,28,1124597400
21,80,11,Subiaco,Fremantle,8,6.0,2005-08-19 18:40:00,0,2005-08-19 16:40:00,2005,Round 21,9946,15,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,9,St Kilda,Fremantle,75,12,1124440800
21,109,5,Kardinia Park,Geelong,13,7.0,2005-08-20 14:10:00,0,2005-08-20 14:10:00,2005,Round 21,9947,17,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,3,West Coast,Geelong,33,16,1124511000
21,109,16,M.C.G.,Melbourne,13,11.0,2005-08-20 19:10:00,0,2005-08-20 19:10:00,2005,Round 21,9949,18,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,9,Western Bulldogs,Melbourne,105,16,1124529000
21,137,21,Docklands,Richmond,17,14.0,2005-08-21 14:10:00,0,2005-08-21 14:10:00,2005,Round 21,9953,10,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,7,Hawthorn,Richmond,133,20,1124597400
21,101,9,S.C.G.,Sydney,11,16.0,2005-08-21 13:10:00,0,2005-08-21 13:10:00,2005,Round 21,9951,12,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,10,North Melbourne,Sydney,64,15,1124593800
22,83,17,Docklands,Carlton,11,12.0,2005-08-28 14:10:00,0,2005-08-28 14:10:00,2005,Round 22,9960,12,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,11,North Melbourne,North Melbourne,113,12,1125202200
22,85,13,M.C.G.,Essendon,13,11.0,2005-08-28 14:10:00,0,2005-08-28 14:10:00,2005,Round 22,9961,11,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,17,Melbourne,Melbourne,95,12,1125202200
22,69,10,Kardinia Park,Geelong,9,7.0,2005-08-28 13:10:00,0,2005-08-28 13:10:00,2005,Round 22,9959,14,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,8,Richmond,Geelong,68,10,1125198600
22,75,20,M.C.G.,Hawthorn,9,16.0,2005-08-27 14:10:00,0,2005-08-27 14:10:00,2005,Round 22,9955,16,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,9,Sydney,Sydney,129,11,1125115800
22,120,11,Football Park,Port Adelaide,12,13.0,2005-08-27 19:10:00,0,2005-08-27 18:40:00,2005,Round 22,9958,6,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,9,Fremantle,Port Adelaide,75,18,1125133800
22,186,7,Docklands,St Kilda,18,15.0,2005-08-27 19:10:00,0,2005-08-27 19:10:00,2005,Round 22,9957,2,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,5,Brisbane Lions,St Kilda,47,28,1125133800
22,74,12,Subiaco,West Coast,14,1.0,2005-08-27 14:10:00,0,2005-08-27 12:10:00,2005,Round 22,9956,1,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,10,Adelaide,Adelaide,82,10,1125115800
22,141,14,Docklands,Western Bulldogs,15,18.0,2005-08-26 19:40:00,0,2005-08-26 19:40:00,2005,Round 22,9954,4,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,16,Collingwood,Western Bulldogs,100,21,1125049200
23,57,10,Football Park,Adelaide,9,15.0,2005-09-03 19:00:00,3,2005-09-03 18:30:00,2005,Finals Week 1,9964,15,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,5,St Kilda,St Kilda,65,8,1125738000
23,116,9,M.C.G.,Geelong,8,7.0,2005-09-03 14:30:00,2,2005-09-03 14:30:00,2005,Finals Week 1,9963,11,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,7,Melbourne,Geelong,61,18,1125721800
23,77,26,Docklands,North Melbourne,11,13.0,2005-09-04 14:30:00,2,2005-09-04 14:30:00,2005,Finals Week 1,9965,13,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,8,Port Adelaide,Port Adelaide,164,11,1125808200
23,69,10,Subiaco,West Coast,9,17.0,2005-09-02 18:30:00,3,2005-09-02 16:30:00,2005,Finals Week 1,9962,16,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,5,Sydney,West Coast,65,10,1125649800
24,123,5,Football Park,Adelaide,15,1.0,2005-09-10 19:00:00,4,2005-09-10 18:30:00,2005,Semi-Finals,9967,13,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,10,Port Adelaide,Adelaide,40,18,1126342800
24,56,7,S.C.G.,Sydney,14,16.0,2005-09-09 20:00:00,4,2005-09-09 20:00:00,2005,Semi-Finals,9966,7,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,11,Geelong,Sydney,53,7,1126260000
25,65,15,M.C.G.,St Kilda,11,16.0,2005-09-16 20:00:00,5,2005-09-16 20:00:00,2005,Preliminary Finals,9968,16,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,6,Sydney,Sydney,96,9,1126864800
25,93,11,Subiaco,West Coast,9,17.0,2005-09-17 13:00:00,5,2005-09-17 11:00:00,2005,Preliminary Finals,9969,1,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,11,Adelaide,West Coast,77,14,1126926000
26,54,8,M.C.G.,West Coast,12,16.0,2005-09-24 14:35:00,6,2005-09-24 14:35:00,2005,Grand Final,9970,16,+10:00,100,Full Time,2022-01-25 11:07:17,17,1,10,Sydney,Sydney,58,7,1127536500
