round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
4,93,13,M.C.G.,North Melbourne,9,12.0,2005-04-15 19:40:00,0,2005-04-15 19:40:00,2005,Round 4,9810,4,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,12,Collingwood,North Melbourne,90,14,1113558000
4,109,16,Football Park,Port Adelaide,19,,2005-04-16 19:10:00,0,2005-04-16 18:40:00,2005,Round 4,9814,3,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,13,Carlton,,109,15,1113642600
4,100,7,M.C.G.,Richmond,16,14.0,2005-04-17 14:10:00,0,2005-04-17 14:10:00,2005,Round 4,9816,6,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,10,Fremantle,Richmond,52,14,1113711000
4,151,15,Docklands,St Kilda,13,15.0,2005-04-17 14:10:00,0,2005-04-17 14:10:00,2005,Round 4,9817,11,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,14,Melbourne,St Kilda,104,23,1113711000
4,79,18,S.C.G.,Sydney,13,1.0,2005-04-17 13:10:00,0,2005-04-17 13:10:00,2005,Round 4,9815,1,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,12,Adelaide,Adelaide,120,11,1113707400
4,143,17,Subiaco,West Coast,17,17.0,2005-04-16 14:10:00,0,2005-04-16 12:10:00,2005,Round 4,9812,18,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,5,Western Bulldogs,West Coast,107,21,1113624600
5,84,23,Gabba,Brisbane Lions,12,17.0,2005-04-24 13:10:00,0,2005-04-24 13:10:00,2005,Round 5,9823,17,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,19,West Coast,West Coast,157,12,1114312200
5,83,10,M.C.G.,Essendon,17,5.0,2005-04-25 14:10:00,0,2005-04-25 14:10:00,2005,Round 5,9825,4,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,9,Collingwood,Essendon,69,11,1114402200
5,103,11,Subiaco,Fremantle,13,6.0,2005-04-23 14:10:00,0,2005-04-23 12:10:00,2005,Round 5,9820,3,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,18,Carlton,Fremantle,84,15,1114229400
5,108,13,M.C.G.,North Melbourne,12,12.0,2005-04-23 14:10:00,0,2005-04-23 14:10:00,2005,Round 5,9819,10,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,11,Hawthorn,North Melbourne,89,16,1114229400
5,95,15,Football Park,Port Adelaide,5,7.0,2005-04-22 20:10:00,0,2005-04-22 19:40:00,2005,Round 5,9818,7,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,9,Geelong,Geelong,99,15,1114164600
5,147,11,Docklands,St Kilda,15,15.0,2005-04-24 17:10:00,0,2005-04-24 17:10:00,2005,Round 5,9824,14,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,13,Richmond,St Kilda,79,22,1114326600
