hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,961298400,Sydney,12,20,Fremantle,96,2000-06-18 13:20:00,0,14,123,15,6.0,3,Subiaco,Fremantle,16,10830,Round 15,2000,2000-06-18 11:20:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,961215000,Brisbane Lions,8,7,Brisbane Lions,128,2000-06-17 14:10:00,0,20,59,15,2.0,17,Kardinia Park,Geelong,2,10825,Round 15,2000,2000-06-17 14:10:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,961215000,Melbourne,9,10,Melbourne,141,2000-06-17 14:10:00,0,22,72,15,11.0,12,M.C.G.,Hawthorn,11,10826,Round 15,2000,2000-06-17 14:10:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,961301400,Richmond,9,15,Port Adelaide,75,2000-06-18 14:10:00,0,11,103,15,13.0,13,Football Park,Port Adelaide,14,10829,Round 15,2000,2000-06-18 13:40:00
18,2022-01-25 11:07:31,0,+10:00,Full Time,100,961301400,North Melbourne,12,16,Western Bulldogs,102,2000-06-18 14:10:00,0,15,106,15,18.0,10,Docklands,Western Bulldogs,12,10828,Round 15,2000,2000-06-18 14:10:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,961908000,Carlton,18,17,Carlton,156,2000-06-25 14:40:00,0,23,112,16,3.0,10,Gabba,Brisbane Lions,3,10837,Round 16,2000,2000-06-25 14:40:00
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,961753200,Hawthorn,11,10,Hawthorn,125,2000-06-23 19:40:00,0,19,68,16,10.0,8,Docklands,Collingwood,10,10831,Round 16,2000,2000-06-23 19:40:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,961819800,Fremantle,12,12,Geelong,84,2000-06-24 14:10:00,0,12,90,16,7.0,18,Kardinia Park,Geelong,6,10832,Round 16,2000,2000-06-24 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,961819800,Richmond,16,16,Melbourne,100,2000-06-24 14:10:00,0,14,110,16,11.0,14,M.C.G.,Melbourne,14,10833,Round 16,2000,2000-06-24 14:10:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,961841400,Essendon,17,7,Essendon,89,2000-06-24 20:10:00,0,12,58,16,5.0,16,Football Park,Port Adelaide,5,10835,Round 16,2000,2000-06-24 19:40:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,961839600,St Kilda,5,14,Sydney,65,2000-06-24 19:40:00,0,10,93,16,16.0,9,S.C.G.,Sydney,15,10834,Round 16,2000,2000-06-24 19:40:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,961903200,North Melbourne,17,7,North Melbourne,113,2000-06-25 13:20:00,0,16,52,16,12.0,10,Subiaco,West Coast,12,10838,Round 16,2000,2000-06-25 11:20:00
18,2022-01-25 11:07:31,0,+10:00,Full Time,100,961906200,Adelaide,14,21,Western Bulldogs,74,2000-06-25 14:10:00,0,10,135,16,18.0,9,Docklands,Western Bulldogs,1,10836,Round 16,2000,2000-06-25 14:10:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,962513400,Collingwood,13,22,Adelaide,109,2000-07-02 14:50:00,0,16,147,17,1.0,15,Football Park,Adelaide,4,10846,Round 17,2000,2000-07-02 14:20:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,962512800,Western Bulldogs,15,20,Brisbane Lions,81,2000-07-02 14:40:00,0,11,138,17,2.0,18,Gabba,Brisbane Lions,18,10845,Round 17,2000,2000-07-02 14:40:00
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,962440800,Port Adelaide,16,12,Fremantle,64,2000-07-01 18:40:00,0,8,82,17,6.0,10,W.A.C.A.,Fremantle,13,10842,Round 17,2000,2000-07-01 16:40:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,962511000,Carlton,12,9,Carlton,120,2000-07-02 14:10:00,0,18,63,17,3.0,9,M.C.G.,Hawthorn,3,10843,Round 17,2000,2000-07-02 14:10:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,962444400,Melbourne,18,14,North Melbourne,102,2000-07-01 19:40:00,0,14,103,17,12.0,19,Docklands,North Melbourne,11,10841,Round 17,2000,2000-07-01 19:40:00
14,2022-01-25 11:07:31,0,+10:00,Full Time,100,962424600,Essendon,23,10,Essendon,167,2000-07-01 14:10:00,0,24,66,17,5.0,6,M.C.G.,Richmond,5,10840,Round 17,2000,2000-07-01 14:10:00
15,2022-01-25 11:07:31,0,+10:00,Full Time,100,962358000,Geelong,7,16,St Kilda,85,2000-06-30 19:40:00,0,13,109,17,15.0,13,Docklands,St Kilda,7,10839,Round 17,2000,2000-06-30 19:40:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,962511000,West Coast,8,22,Sydney,80,2000-07-02 14:10:00,0,12,151,17,16.0,19,S.C.G.,Sydney,17,10844,Round 17,2000,2000-07-02 14:10:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,963120000,Hawthorn,16,16,Hawthorn,124,2000-07-09 15:20:00,0,18,106,18,10.0,10,Gabba,Brisbane Lions,10,10854,Round 18,2000,2000-07-09 15:20:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,963115800,Collingwood,9,28,Carlton,69,2000-07-09 14:10:00,0,10,180,18,3.0,12,Princes Park,Carlton,4,10852,Round 18,2000,2000-07-09 14:10:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,962962800,Fremantle,6,24,Essendon,72,2000-07-07 19:40:00,0,11,159,18,5.0,15,Docklands,Essendon,6,10847,Round 18,2000,2000-07-07 19:40:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,963029400,Adelaide,18,17,Geelong,102,2000-07-08 14:10:00,0,14,109,18,7.0,7,Kardinia Park,Geelong,1,10848,Round 18,2000,2000-07-08 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,963029400,Sydney,9,19,Melbourne,99,2000-07-08 14:10:00,0,15,125,18,11.0,11,M.C.G.,Melbourne,16,10849,Round 18,2000,2000-07-08 14:10:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,963049200,Richmond,14,20,North Melbourne,56,2000-07-08 19:40:00,0,7,134,18,12.0,14,S.C.G.,North Melbourne,14,10850,Round 18,2000,2000-07-08 19:40:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,963115800,Western Bulldogs,10,23,Port Adelaide,106,2000-07-09 14:10:00,0,16,149,18,13.0,11,Football Park,Port Adelaide,18,10853,Round 18,2000,2000-07-09 13:40:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,963047400,St Kilda,5,17,West Coast,29,2000-07-08 19:10:00,0,4,115,18,17.0,13,W.A.C.A.,West Coast,15,10851,Round 18,2000,2000-07-08 17:10:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,963569400,West Coast,12,15,Adelaide,90,2000-07-14 20:10:00,0,13,107,19,1.0,17,Football Park,Adelaide,17,10856,Round 19,2000,2000-07-14 19:40:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,963715200,Port Adelaide,11,18,Brisbane Lions,53,2000-07-16 12:40:00,0,7,120,19,2.0,12,Gabba,Brisbane Lions,13,10859,Round 19,2000,2000-07-16 12:40:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,963634200,Western Bulldogs,9,11,Western Bulldogs,75,2000-07-15 14:10:00,0,11,72,19,18.0,6,Princes Park,Carlton,18,10857,Round 19,2000,2000-07-15 14:10:00
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,963720600,Sydney,14,12,Sydney,104,2000-07-16 14:10:00,0,15,84,19,16.0,12,M.C.G.,Collingwood,16,10860,Round 19,2000,2000-07-16 14:10:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,963654000,Hawthorn,4,25,Essendon,82,2000-07-15 19:40:00,0,13,165,19,5.0,15,Docklands,Essendon,10,10858,Round 19,2000,2000-07-15 19:40:00
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,963717600,Richmond,16,12,Richmond,106,2000-07-16 13:20:00,0,15,79,19,14.0,7,W.A.C.A.,Fremantle,14,10862,Round 19,2000,2000-07-16 11:20:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,963567600,North Melbourne,16,13,North Melbourne,124,2000-07-14 19:40:00,0,18,85,19,12.0,7,Docklands,Geelong,12,10855,Round 19,2000,2000-07-14 19:40:00
15,2022-01-25 11:07:31,0,+10:00,Full Time,100,963720600,Melbourne,14,14,Melbourne,116,2000-07-16 14:10:00,0,17,98,19,11.0,14,Docklands,St Kilda,11,10861,Round 19,2000,2000-07-16 14:10:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,964323600,Brisbane Lions,13,11,Brisbane Lions,115,2000-07-23 13:40:00,0,17,78,20,2.0,12,Football Park,Adelaide,2,10868,Round 20,2000,2000-07-23 13:10:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,964172400,Essendon,13,12,Essendon,109,2000-07-21 19:40:00,0,16,83,20,5.0,11,M.C.G.,Carlton,5,10863,Round 20,2000,2000-07-21 19:40:00
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,964258800,Western Bulldogs,10,13,Western Bulldogs,100,2000-07-22 19:40:00,0,15,91,20,18.0,13,Docklands,Collingwood,18,10865,Round 20,2000,2000-07-22 19:40:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,964239000,Port Adelaide,8,15,Hawthorn,80,2000-07-22 14:10:00,0,12,101,20,10.0,11,M.C.G.,Hawthorn,13,10864,Round 20,2000,2000-07-22 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,964325400,Fremantle,11,25,Melbourne,77,2000-07-23 14:10:00,0,11,160,20,11.0,10,Docklands,Melbourne,6,10869,Round 20,2000,2000-07-23 14:10:00
14,2022-01-25 11:07:31,0,+10:00,Full Time,100,964325400,St Kilda,7,18,Richmond,79,2000-07-23 14:10:00,0,12,119,20,14.0,11,M.C.G.,Richmond,15,10870,Round 20,2000,2000-07-23 14:10:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,964258800,North Melbourne,7,21,Sydney,91,2000-07-22 19:40:00,0,14,145,20,16.0,19,S.C.G.,Sydney,12,10866,Round 20,2000,2000-07-22 19:40:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,964255200,Geelong,24,12,Geelong,108,2000-07-22 18:40:00,0,14,78,20,7.0,6,Subiaco,West Coast,7,10867,Round 20,2000,2000-07-22 16:40:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,964863600,St Kilda,15,23,Brisbane Lions,63,2000-07-29 19:40:00,0,8,153,21,2.0,15,Gabba,Brisbane Lions,15,10874,Round 21,2000,2000-07-29 19:40:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,964777200,Western Bulldogs,8,12,Western Bulldogs,92,2000-07-28 19:40:00,0,14,81,21,18.0,9,Docklands,Essendon,18,10871,Round 21,2000,2000-07-28 19:40:00
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,964927200,West Coast,10,15,Fremantle,100,2000-07-30 13:20:00,0,15,101,21,6.0,11,Subiaco,Fremantle,17,10878,Round 21,2000,2000-07-30 11:20:00
10,2022-01-25 11:07:31,0,+10:00,Full Time,100,964843800,Adelaide,13,15,Hawthorn,67,2000-07-29 14:10:00,0,9,98,21,10.0,8,M.C.G.,Hawthorn,1,10872,Round 21,2000,2000-07-29 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,964930200,Geelong,6,18,Melbourne,108,2000-07-30 14:10:00,0,17,126,21,11.0,18,M.C.G.,Melbourne,7,10877,Round 21,2000,2000-07-30 14:10:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,964930200,Collingwood,14,11,Collingwood,98,2000-07-30 14:10:00,0,14,80,21,4.0,14,Docklands,North Melbourne,4,10876,Round 21,2000,2000-07-30 14:10:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,964928400,Carlton,11,12,Port Adelaide,83,2000-07-30 13:40:00,0,12,88,21,13.0,16,Football Park,Port Adelaide,3,10875,Round 21,2000,2000-07-30 13:10:00
14,2022-01-25 11:07:31,0,+10:00,Full Time,100,964843800,Sydney,12,12,Sydney,84,2000-07-29 14:10:00,0,12,83,21,16.0,11,Docklands,Richmond,16,10873,Round 21,2000,2000-07-29 14:10:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,965535000,Port Adelaide,19,14,Port Adelaide,139,2000-08-06 14:10:00,0,20,92,22,13.0,8,Football Park,Adelaide,13,10885,Round 22,2000,2000-08-06 13:40:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,965468400,Fremantle,7,23,Brisbane Lions,49,2000-08-05 19:40:00,0,7,156,22,2.0,18,Gabba,Brisbane Lions,6,10882,Round 22,2000,2000-08-05 19:40:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,965535000,Richmond,10,19,Carlton,52,2000-08-06 14:10:00,0,7,125,22,3.0,11,M.C.G.,Carlton,14,10884,Round 22,2000,2000-08-06 14:10:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,965448600,Collingwood,12,13,Essendon,78,2000-08-05 14:10:00,0,11,97,22,5.0,19,M.C.G.,Essendon,4,10880,Round 22,2000,2000-08-05 14:10:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,965448600,Sydney,12,18,Geelong,120,2000-08-05 14:10:00,0,18,124,22,7.0,16,Kardinia Park,Geelong,16,10881,Round 22,2000,2000-08-05 14:10:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,965468400,St Kilda,17,18,North Melbourne,77,2000-08-05 19:40:00,0,10,120,22,12.0,12,Docklands,North Melbourne,15,10883,Round 22,2000,2000-08-05 19:40:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,965531400,Melbourne,14,15,Melbourne,170,2000-08-06 13:10:00,0,26,100,22,11.0,10,Subiaco,West Coast,11,10886,Round 22,2000,2000-08-06 11:10:00
18,2022-01-25 11:07:31,0,+10:00,Full Time,100,965382000,Hawthorn,15,9,Hawthorn,81,2000-08-04 19:40:00,0,11,66,22,10.0,12,Docklands,Western Bulldogs,10,10879,Round 22,2000,2000-08-04 19:40:00
2,2022-01-25 11:07:31,0,+10:00,Full Time,100,966073500,Western Bulldogs,16,15,Brisbane Lions,76,2000-08-12 19:45:00,2,10,110,23,2.0,20,Gabba,Brisbane Lions,18,10889,Finals Week 1,2000,2000-08-12 19:45:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,966141000,Melbourne,6,12,Melbourne,96,2000-08-13 14:30:00,3,15,87,23,11.0,15,M.C.G.,Carlton,11,10890,Finals Week 1,2000,2000-08-13 14:30:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,966054600,North Melbourne,7,31,Essendon,73,2000-08-12 14:30:00,3,11,198,23,5.0,12,M.C.G.,Essendon,12,10888,Finals Week 1,2000,2000-08-12 14:30:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,965987100,Hawthorn,8,12,Hawthorn,92,2000-08-11 19:45:00,2,14,83,23,10.0,11,Docklands,Geelong,10,10887,Finals Week 1,2000,2000-08-11 19:45:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,966659400,Brisbane Lions,9,23,Carlton,69,2000-08-19 14:30:00,4,10,151,24,3.0,13,M.C.G.,Carlton,2,10892,Semi-Finals,2000,2000-08-19 14:30:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,966591900,Hawthorn,10,16,North Melbourne,100,2000-08-18 19:45:00,4,15,110,24,12.0,14,M.C.G.,North Melbourne,10,10891,Semi-Finals,2000,2000-08-18 19:45:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,967264200,Carlton,8,18,Essendon,80,2000-08-26 14:30:00,5,12,125,25,5.0,17,M.C.G.,Essendon,3,10894,Preliminary Finals,2000,2000-08-26 14:30:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,967196700,North Melbourne,4,23,Melbourne,106,2000-08-25 19:45:00,5,17,156,25,11.0,18,M.C.G.,Melbourne,12,10893,Preliminary Finals,2000,2000-08-25 19:45:00
5,2022-01-25 11:07:31,1,+11:00,Full Time,100,967866300,Melbourne,9,19,Essendon,75,2000-09-02 14:45:00,6,11,135,26,5.0,21,M.C.G.,Essendon,11,10895,Grand Final,2000,2000-09-02 14:45:00
