hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
12,2022-01-25 11:07:30,0,+10:00,Full Time,100,954495600,Geelong,9,15,North Melbourne,99,2000-03-31 19:40:00,0,15,104,4,12.0,14,Docklands,North Melbourne,7,10735,Round 4,2000,2000-03-31 19:40:00
13,2022-01-25 11:07:30,0,+10:00,Full Time,100,954646800,Brisbane Lions,16,23,Port Adelaide,106,2000-04-02 13:40:00,0,15,149,4,13.0,11,Football Park,Port Adelaide,2,10740,Round 4,2000,2000-04-02 13:10:00
14,2022-01-25 11:07:30,0,+10:00,Full Time,100,954648600,Fremantle,16,13,Fremantle,88,2000-04-02 14:10:00,0,12,87,4,6.0,9,Docklands,Richmond,6,10741,Round 4,2000,2000-04-02 14:10:00
16,2022-01-25 11:07:30,0,+10:00,Full Time,100,954582000,Collingwood,16,15,Collingwood,106,2000-04-01 19:40:00,0,15,101,4,4.0,11,S.C.G.,Sydney,4,10738,Round 4,2000,2000-04-01 19:40:00
17,2022-01-25 11:07:30,0,+10:00,Full Time,100,954583800,Adelaide,13,29,West Coast,73,2000-04-01 20:10:00,0,10,187,4,17.0,13,W.A.C.A.,West Coast,1,10739,Round 4,2000,2000-04-01 18:10:00
18,2022-01-25 11:07:30,0,+10:00,Full Time,100,954562200,Carlton,11,14,Western Bulldogs,59,2000-04-01 14:10:00,0,8,98,4,18.0,14,Docklands,Western Bulldogs,3,10736,Round 4,2000,2000-04-01 14:10:00
2,2022-01-25 11:07:30,0,+10:00,Full Time,100,955186800,Adelaide,14,17,Brisbane Lions,92,2000-04-08 19:40:00,0,13,122,5,2.0,20,Gabba,Brisbane Lions,1,10745,Round 5,2000,2000-04-08 19:40:00
5,2022-01-25 11:07:30,0,+10:00,Full Time,100,955167000,Carlton,9,18,Essendon,99,2000-04-08 14:10:00,0,15,123,5,5.0,15,M.C.G.,Essendon,3,10744,Round 5,2000,2000-04-08 14:10:00
6,2022-01-25 11:07:30,0,+10:00,Full Time,100,955188600,Melbourne,22,10,Melbourne,106,2000-04-08 20:10:00,0,14,75,5,11.0,15,W.A.C.A.,Fremantle,11,10746,Round 5,2000,2000-04-08 18:10:00
7,2022-01-25 11:07:30,0,+10:00,Full Time,100,955253400,West Coast,15,24,Geelong,81,2000-04-09 14:10:00,0,11,162,5,7.0,18,Kardinia Park,Geelong,17,10747,Round 5,2000,2000-04-09 14:10:00
12,2022-01-25 11:07:30,0,+10:00,Full Time,100,955253400,Sydney,12,19,North Melbourne,120,2000-04-09 14:10:00,0,18,128,5,12.0,14,S.C.G.,North Melbourne,16,10748,Round 5,2000,2000-04-09 14:10:00
13,2022-01-25 11:07:30,0,+10:00,Full Time,100,955275000,Hawthorn,17,10,Hawthorn,113,2000-04-09 20:10:00,0,16,74,5,10.0,14,Football Park,Port Adelaide,10,10750,Round 5,2000,2000-04-09 19:40:00
15,2022-01-25 11:07:30,0,+10:00,Full Time,100,955253400,Richmond,8,11,Richmond,110,2000-04-09 14:10:00,0,17,84,5,14.0,18,Docklands,St Kilda,14,10749,Round 5,2000,2000-04-09 14:10:00
18,2022-01-25 11:07:30,0,+10:00,Full Time,100,955100400,Collingwood,16,16,Collingwood,118,2000-04-07 19:40:00,0,17,110,5,4.0,14,Docklands,Western Bulldogs,4,10743,Round 5,2000,2000-04-07 19:40:00
1,2022-01-25 11:07:30,0,+10:00,Full Time,100,955860600,Hawthorn,9,22,Adelaide,57,2000-04-16 14:50:00,0,8,143,6,1.0,11,Football Park,Adelaide,10,10758,Round 6,2000,2000-04-16 14:20:00
3,2022-01-25 11:07:30,0,+10:00,Full Time,100,955771800,Port Adelaide,6,26,Carlton,78,2000-04-15 14:10:00,0,12,169,6,3.0,13,Princes Park,Carlton,13,10752,Round 6,2000,2000-04-15 14:10:00
