tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,ascore,winner,hgoals,unixtime,round,hscore,agoals,hbehinds,venue,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2017-08-26 19:57:02,16,0,9,Carlton,57,Sydney,21,1503729300,23,138,8,12,S.C.G.,Sydney,16.0,2017-08-26 16:35:00,0,2017-08-26 16:35:00,2017,Round 23,318,3
+10:00,100,Full Time,2017-08-27 19:57:02,17,0,11,Adelaide,71,West Coast,15,1503816000,23,100,10,10,Subiaco,West Coast,17.0,2017-08-27 16:40:00,0,2017-08-27 14:40:00,2017,Round 23,317,1
+10:00,100,Full Time,2017-09-08 12:18:57,1,0,12,Greater Western Sydney,48,Adelaide,12,1504777800,24,84,6,12,Adelaide Oval,Adelaide,1.0,2017-09-07 19:50:00,3,2017-09-07 19:20:00,2017,Finals Week 1,337,9
+10:00,100,Full Time,2017-09-08 22:57:02,7,0,13,Richmond,91,Richmond,5,1504864200,24,40,13,10,M.C.G.,Geelong,14.0,2017-09-08 19:50:00,3,2017-09-08 19:50:00,2017,Finals Week 1,338,14
+10:00,100,Full Time,2017-09-09 22:57:03,13,0,6,West Coast,78,West Coast,10,1504950600,24,76,12,16,Adelaide Oval,Port Adelaide,17.0,2017-09-09 19:50:00,2,2017-09-09 19:20:00,2017,Finals Week 1,342,17
+10:00,100,Full Time,2017-09-09 18:57:02,16,0,8,Essendon,56,Sydney,19,1504938000,24,121,8,7,S.C.G.,Sydney,16.0,2017-09-09 16:20:00,2,2017-09-09 16:20:00,2017,Finals Week 1,341,5
+10:00,100,Full Time,2017-09-15 22:57:01,7,0,9,Sydney,39,Geelong,15,1505469000,25,98,5,8,M.C.G.,Geelong,7.0,2017-09-15 19:50:00,4,2017-09-15 19:50:00,2017,Semi-Finals,349,16
+10:00,100,Full Time,2017-09-16 22:57:02,9,0,4,West Coast,58,Greater Western Sydney,19,1505553900,25,125,9,11,Sydney Showground,Greater Western Sydney,9.0,2017-09-16 19:25:00,4,2017-09-16 19:25:00,2017,Semi-Finals,350,17
+10:00,100,Full Time,2017-09-22 22:57:02,1,0,15,Geelong,75,Adelaide,21,1506073800,26,136,10,10,Adelaide Oval,Adelaide,1.0,2017-09-22 19:50:00,5,2017-09-22 19:20:00,2017,Preliminary Finals,359,7
+10:00,100,Full Time,2017-09-23 19:57:02,14,0,13,Greater Western Sydney,67,Richmond,15,1506149100,26,103,9,13,M.C.G.,Richmond,14.0,2017-09-23 16:45:00,5,2017-09-23 16:45:00,2017,Preliminary Finals,360,9
+10:00,100,Full Time,2017-09-30 17:57:02,1,1,12,Richmond,108,Richmond,8,1506745800,27,60,16,12,M.C.G.,Adelaide,14.0,2017-09-30 14:30:00,6,2017-09-30 14:30:00,2017,Grand Final,371,14
