date,is_final,round,hscore,agoals,hbehinds,hteam,venue,winnerteamid,id,ateamid,year,localtime,roundname,updated,hteamid,is_grand_final,tz,complete,timestr,unixtime,abehinds,ateam,ascore,winner,hgoals
2009-04-18 14:10:00,0,4,85,17,13,Hawthorn,M.C.G.,13.0,9072,13,2009,2009-04-18 14:10:00,Round 4,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1240027800,13,Port Adelaide,115,Port Adelaide,12
2009-04-19 13:10:00,0,4,69,7,9,North Melbourne,Docklands,12.0,9075,5,2009,2009-04-19 13:10:00,Round 4,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1240110600,15,Essendon,57,North Melbourne,10
2009-04-19 14:10:00,0,4,92,14,14,Richmond,M.C.G.,11.0,9076,11,2009,2009-04-19 14:10:00,Round 4,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1240114200,16,Melbourne,100,Melbourne,13
2009-04-18 19:10:00,0,4,111,4,9,St Kilda,Docklands,15.0,9073,6,2009,2009-04-18 19:10:00,Round 4,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1240045800,4,Fremantle,28,St Kilda,17
2009-04-18 14:10:00,0,4,84,9,12,Sydney,S.C.G.,16.0,9071,3,2009,2009-04-18 14:10:00,Round 4,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1240027800,13,Carlton,67,Sydney,12
2009-04-19 14:40:00,0,4,116,12,14,West Coast,Subiaco,17.0,9077,18,2009,2009-04-19 12:40:00,Round 4,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1240116000,11,Western Bulldogs,83,West Coast,17
2009-04-25 14:20:00,0,5,93,12,15,Essendon,M.C.G.,5.0,9079,4,2009,2009-04-25 14:20:00,Round 5,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1240633200,16,Collingwood,88,Essendon,13
2009-04-25 18:45:00,0,5,121,16,13,Fremantle,Subiaco,6.0,9082,16,2009,2009-04-25 16:45:00,Round 5,2022-01-25 11:07:05,6,0,+10:00,100,Full Time,1240649100,4,Sydney,100,Fremantle,18
2009-04-26 13:10:00,0,5,126,5,18,Geelong,Kardinia Park,7.0,9083,2,2009,2009-04-26 13:10:00,Round 5,2022-01-25 11:07:05,7,0,+10:00,100,Full Time,1240715400,3,Brisbane Lions,33,Geelong,18
2009-04-25 17:20:00,0,5,74,7,8,Hawthorn,York Park,10.0,9080,17,2009,2009-04-25 17:20:00,Round 5,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1240644000,14,West Coast,56,Hawthorn,11
2009-04-26 16:40:00,0,5,34,7,10,Melbourne,M.C.G.,1.0,9085,1,2009,2009-04-26 16:40:00,Round 5,2022-01-25 11:07:05,11,0,+10:00,100,Full Time,1240728000,9,Adelaide,51,Adelaide,4
2009-04-25 19:20:00,0,5,58,13,16,North Melbourne,Docklands,14.0,9081,14,2009,2009-04-25 19:20:00,Round 5,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1240651200,16,Richmond,94,Richmond,7
2009-04-24 19:45:00,0,5,36,15,6,Port Adelaide,Football Park,15.0,9078,15,2009,2009-04-24 19:15:00,Round 5,2022-01-25 11:07:05,13,0,+10:00,100,Full Time,1240566300,12,St Kilda,102,St Kilda,5
2009-04-26 14:10:00,0,5,90,21,12,Western Bulldogs,Docklands,3.0,9084,3,2009,2009-04-26 14:10:00,Round 5,2022-01-25 11:07:05,18,0,+10:00,100,Full Time,1240719000,7,Carlton,133,Carlton,13
2009-05-02 19:10:00,0,6,111,9,9,Brisbane Lions,Gabba,2.0,9089,5,2009,2009-05-02 19:10:00,Round 6,2022-01-25 11:07:05,2,0,+10:00,100,Full Time,1241255400,14,Essendon,68,Brisbane Lions,17
2009-05-02 14:10:00,0,6,106,15,10,Hawthorn,M.C.G.,10.0,9087,3,2009,2009-05-02 14:10:00,Round 6,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1241237400,12,Carlton,102,Hawthorn,16
2009-05-03 14:10:00,0,6,68,15,8,Melbourne,M.C.G.,7.0,9092,7,2009,2009-05-03 14:10:00,Round 6,2022-01-25 11:07:05,11,0,+10:00,100,Full Time,1241323800,21,Geelong,111,Geelong,10
2009-05-01 19:40:00,0,6,75,19,9,North Melbourne,Docklands,4.0,9086,4,2009,2009-05-01 19:40:00,Round 6,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1241170800,13,Collingwood,127,Collingwood,11
2009-05-02 19:10:00,0,6,105,12,15,Port Adelaide,Football Park,13.0,9090,1,2009,2009-05-02 18:40:00,Round 6,2022-01-25 11:07:05,13,0,+10:00,100,Full Time,1241255400,7,Adelaide,79,Port Adelaide,15
2009-05-03 13:10:00,0,6,94,11,10,Sydney,S.C.G.,16.0,9091,14,2009,2009-05-03 13:10:00,Round 6,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1241320200,9,Richmond,75,Sydney,14
2009-05-02 14:10:00,0,6,74,13,20,West Coast,Subiaco,6.0,9088,6,2009,2009-05-02 12:10:00,Round 6,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1241237400,9,Fremantle,87,Fremantle,9
2009-05-03 16:40:00,0,6,76,14,10,Western Bulldogs,Docklands,15.0,9093,15,2009,2009-05-03 16:40:00,Round 6,2022-01-25 11:07:05,18,0,+10:00,100,Full Time,1241332800,20,St Kilda,104,St Kilda,11
2009-05-10 12:40:00,0,7,86,17,14,Adelaide,Football Park,18.0,9099,18,2009,2009-05-10 12:10:00,Round 7,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1241923200,16,Western Bulldogs,118,Western Bulldogs,12
2009-05-09 19:10:00,0,7,81,13,15,Carlton,Carrara,6.0,9097,6,2009,2009-05-09 19:10:00,Round 7,2022-01-25 11:07:05,3,0,+10:00,100,Full Time,1241860200,10,Fremantle,88,Fremantle,11
2009-05-11 19:20:00,0,7,40,20,10,Collingwood,Docklands,15.0,9101,15,2009,2009-05-11 19:20:00,Round 7,2022-01-25 11:07:05,4,0,+10:00,100,Full Time,1242033600,8,St Kilda,128,St Kilda,5
2009-05-08 19:40:00,0,7,116,10,14,Essendon,Docklands,5.0,9094,10,2009,2009-05-08 19:40:00,Round 7,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1241775600,12,Hawthorn,72,Essendon,17
2009-05-09 14:10:00,0,7,116,10,14,Geelong,Kardinia Park,7.0,9095,16,2009,2009-05-09 14:10:00,Round 7,2022-01-25 11:07:05,7,0,+10:00,100,Full Time,1241842200,5,Sydney,65,Geelong,17
2009-05-09 19:10:00,0,7,125,18,5,North Melbourne,Docklands,12.0,9098,13,2009,2009-05-09 19:10:00,Round 7,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1241860200,12,Port Adelaide,120,North Melbourne,20
2009-05-09 14:10:00,0,7,71,15,11,Richmond,M.C.G.,2.0,9096,2,2009,2009-05-09 14:10:00,Round 7,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1241842200,7,Brisbane Lions,97,Brisbane Lions,10
2009-05-10 14:40:00,0,7,90,13,18,West Coast,Subiaco,17.0,9100,11,2009,2009-05-10 12:40:00,Round 7,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1241930400,4,Melbourne,82,West Coast,12
2009-05-16 19:10:00,0,8,119,12,11,Brisbane Lions,Gabba,2.0,9105,1,2009,2009-05-16 19:10:00,Round 8,2022-01-25 11:07:05,2,0,+10:00,100,Full Time,1242465000,11,Adelaide,83,Brisbane Lions,18
2009-05-17 14:10:00,0,8,53,16,11,Collingwood,M.C.G.,3.0,9108,3,2009,2009-05-17 14:10:00,Round 8,2022-01-25 11:07:05,4,0,+10:00,100,Full Time,1242533400,8,Carlton,104,Carlton,7
2009-05-15 18:40:00,0,8,65,13,11,Fremantle,Subiaco,10.0,9102,10,2009,2009-05-15 16:40:00,Round 8,2022-01-25 11:07:05,6,0,+10:00,100,Full Time,1242376800,9,Hawthorn,87,Hawthorn,9
2009-05-16 14:10:00,0,8,119,7,11,Geelong,Kardinia Park,7.0,9104,12,2009,2009-05-16 14:10:00,Round 8,2022-01-25 11:07:05,7,0,+10:00,100,Full Time,1242447000,7,North Melbourne,49,Geelong,18
2009-05-16 14:10:00,0,8,97,15,7,Melbourne,M.C.G.,18.0,9103,18,2009,2009-05-16 14:10:00,Round 8,2022-01-25 11:07:05,11,0,+10:00,100,Full Time,1242447000,14,Western Bulldogs,104,Western Bulldogs,15
2009-05-17 12:40:00,0,8,102,15,18,Port Adelaide,Football Park,13.0,9107,14,2009,2009-05-17 12:10:00,Round 8,2022-01-25 11:07:05,13,0,+10:00,100,Full Time,1242528000,9,Richmond,99,Port Adelaide,14
2009-05-17 16:40:00,0,8,90,10,12,St Kilda,Docklands,15.0,9109,5,2009,2009-05-17 16:40:00,Round 8,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1242542400,11,Essendon,71,St Kilda,13
2009-05-16 19:10:00,0,8,106,15,10,Sydney,Stadium Australia,16.0,9106,17,2009,2009-05-16 19:10:00,Round 8,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1242465000,11,West Coast,101,Sydney,16
2009-05-23 14:40:00,0,9,104,8,14,Adelaide,Football Park,1.0,9112,3,2009,2009-05-23 14:10:00,Round 9,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1243053600,12,Carlton,60,Adelaide,15
2009-05-22 19:40:00,0,9,116,17,14,Geelong,Docklands,7.0,9110,18,2009,2009-05-22 19:40:00,Round 9,2022-01-25 11:07:05,7,0,+10:00,100,Full Time,1242985200,12,Western Bulldogs,114,Geelong,17
2009-05-24 16:40:00,0,9,114,13,12,Hawthorn,M.C.G.,10.0,9117,11,2009,2009-05-24 16:40:00,Round 9,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1243147200,14,Melbourne,92,Hawthorn,17
2009-05-23 14:10:00,0,9,98,12,14,North Melbourne,Docklands,12.0,9111,6,2009,2009-05-23 14:10:00,Round 9,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1243051800,13,Fremantle,85,North Melbourne,14
2009-05-23 19:45:00,0,9,85,19,13,Richmond,M.C.G.,5.0,9114,5,2009,2009-05-23 19:45:00,Round 9,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1243071900,11,Essendon,125,Essendon,12
2009-05-24 14:10:00,0,9,97,13,13,St Kilda,Docklands,15.0,9116,2,2009,2009-05-24 14:10:00,Round 9,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1243138200,3,Brisbane Lions,81,St Kilda,14
2009-05-24 13:10:00,0,9,123,10,15,Sydney,S.C.G.,16.0,9115,13,2009,2009-05-24 13:10:00,Round 9,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1243134600,8,Port Adelaide,68,Sydney,18
