tz,complete,timestr,updated,hteamid,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Essendon,17,Collingwood,89,15,1145940000,4,12,106,M.C.G.,16,Collingwood,4.0,2006-04-25 14:40:00,0,2006-04-25 14:40:00,2006,Round 4,9632,5
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,Adelaide,16,Adelaide,70,9,1145691600,4,9,59,Subiaco,5,Fremantle,1.0,2006-04-22 17:40:00,0,2006-04-22 15:40:00,2006,Round 4,9628,1
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,West Coast,11,West Coast,95,10,1145761800,4,14,71,Manuka Oval,11,North Melbourne,17.0,2006-04-23 13:10:00,0,2006-04-23 13:10:00,2006,Round 4,9630,17
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,St Kilda,10,Port Adelaide,118,19,1145869800,4,18,122,Football Park,8,Port Adelaide,13.0,2006-04-24 19:10:00,0,2006-04-24 18:40:00,2006,Round 4,9631,15
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,Melbourne,7,Melbourne,97,13,1145761800,4,15,92,S.C.G.,14,Sydney,11.0,2006-04-23 13:10:00,0,2006-04-23 13:10:00,2006,Round 4,9629,11
+10:00,100,Full Time,2022-01-25 11:07:14,18,0,Geelong,13,Western Bulldogs,97,14,1145679000,4,14,98,Docklands,14,Western Bulldogs,18.0,2006-04-22 14:10:00,0,2006-04-22 14:10:00,2006,Round 4,9626,7
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,Western Bulldogs,13,Adelaide,55,20,1146285600,5,7,132,Football Park,12,Adelaide,1.0,2006-04-29 14:40:00,0,2006-04-29 14:10:00,2006,Round 5,9635,18
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Port Adelaide,13,Collingwood,79,18,1146370200,5,11,120,Docklands,12,Collingwood,4.0,2006-04-30 14:10:00,0,2006-04-30 14:10:00,2006,Round 5,9639,13
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Essendon,11,Hawthorn,83,12,1146370200,5,12,84,M.C.G.,12,Hawthorn,10.0,2006-04-30 14:10:00,0,2006-04-30 14:10:00,2006,Round 5,9640,5
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,North Melbourne,14,Melbourne,86,13,1146283800,5,12,90,M.C.G.,12,Melbourne,11.0,2006-04-29 14:10:00,0,2006-04-29 14:10:00,2006,Round 5,9634,12
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,Carlton,18,Richmond,84,12,1146217200,5,11,92,M.C.G.,20,Richmond,14.0,2006-04-28 19:40:00,0,2006-04-28 19:40:00,2006,Round 5,9633,3
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Fremantle,10,Fremantle,94,13,1146366600,5,14,93,York Park,15,St Kilda,6.0,2006-04-30 13:10:00,0,2006-04-30 13:10:00,2006,Round 5,9638,6
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,Geelong,7,Sydney,85,15,1146301800,5,13,107,Stadium Australia,17,Sydney,16.0,2006-04-29 19:10:00,0,2006-04-29 19:10:00,2006,Round 5,9636,7
+10:00,100,Full Time,2022-01-25 11:07:14,17,0,Brisbane Lions,9,West Coast,63,18,1146296400,5,9,122,Subiaco,14,West Coast,17.0,2006-04-29 17:40:00,0,2006-04-29 15:40:00,2006,Round 5,9637,2
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,Port Adelaide,5,Adelaide,53,15,1146906600,6,8,103,Football Park,13,Adelaide,1.0,2006-05-06 19:10:00,0,2006-05-06 18:40:00,2006,Round 6,9645,13
